Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,Les côtelettes,2003,5.0,tt0293672
Drama,Movie,Mia thalassa makria,2003,4.0,tt0295565
Drama,Movie,Back Spot Turn,2003,1.0,tt0295182
Drama,Movie,En territoire indien,2003,5.0,tt0296618
Drama,Movie,Rosenstrasse,2003,10.0,tt0298131
Drama,Movie,Toujours tout droit,2003,1.0,tt0296245
Drama,Movie,Collusion,2003,9.0,tt0295838
Drama,Movie,The Devil's Tattoo,2003,9.0,tt0297853
Drama,Movie,Des plumes dans la tête,2004,2.0,tt0296587
Drama,Movie,Eierdiebe,2004,1.0,tt0297871
Drama,Movie,El regreso,2003,4.0,tt0298125
Drama,Movie,"Ni pour, ni contre (bien au contraire)",2003,3.0,tt0298082
Drama,Movie,The Favourite Game,2003,2.0,tt0299868
Drama,Movie,All the Real Girls,2003,8.0,tt0299458
Drama,Movie,I Capture the Castle,2003,5.0,tt0300015
Drama,Movie,Kart Racer,2004,10.0,tt0300069
Drama,Movie,Good Bye Lenin!,2003,11.0,tt0301357
Drama,Movie,Robot Stories,2004,4.0,tt0301777
Drama,Movie,Visitors,2003,11.0,tt0301989
Drama,Movie,Deliver Us from Eva,2003,2.0,tt0301181
Drama,Movie,Wash Dry and Spin Out,2003,6.0,tt0302018
Drama,Movie,Bookies,2004,11.0,tt0302361
Drama,Movie,The Final Victim,2003,2.0,tt0302566
Drama,Movie,Gott ist tot,2003,5.0,tt0301360
Drama,Movie,The United States of Leland,2005,3.0,tt0301976
Drama,Movie,"Marc, la sucia rata",2003,12.0,tt0301604
Drama,Movie,The Principles of Lust,2004,3.0,tt0301744
Drama,Movie,Le pharmacien de garde,2003,1.0,tt0301730
Drama,Movie,To Kill a King,2003,5.0,tt0302436
Drama,Movie,Casa de los babys,2004,1.0,tt0303830
Drama,Movie,Lejontämjaren,2003,2.0,tt0302713
Drama,Movie,Betrayal,2003,8.0,tt0303758
Drama,Movie,La vie nue,2003,6.0,tt0304897
Drama,Movie,Levity,2003,8.0,tt0304328
Drama,Movie,American Splendor,2004,7.0,tt0305206
Drama,Movie,Quand je vois le soleil,2003,7.0,tt0304600
Drama,Movie,Massa'ot James Be'eretz Hakodesh,2004,1.0,tt0305178
