,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
0,Drama,Movie,La fête espagnole,2019,1.0,tt0011216
1,Drama,Movie,Sha Ou,2019,4.0,tt0083060
2,Drama,Movie,Mariette in Ecstasy,2019,11.0,tt0116991
3,Drama,Movie,Wo men fu fu zhi jian,2019,4.0,tt0339917
4,Drama,Movie,Motherless Brooklyn,2019,12.0,tt0385887
5,Drama,Movie,Danger Close: The Battle of Long Tan,2019,8.0,tt0441881
6,Drama,Movie,The Last Full Measure,2020,7.0,tt0783640
7,Drama,Movie,The Dirt,2019,3.0,tt0800325
8,Drama,Movie,Dirt Music,2020,10.0,tt0810836
9,Drama,Movie,Bolden,2019,5.0,tt0858419
10,Drama,Movie,Mistero di un Impiegato,2019,2.0,tt10001116
11,Drama,Movie,Adalat,2019,3.0,tt10003792
12,Drama,Movie,Krishnam,2019,3.0,tt10006156
13,Drama,Movie,Child of Wisdom,2019,,tt10003990
14,Drama,Movie,Jagtsæson,2019,10.0,tt10006270
15,Drama,Movie,Pattabhiraman,2019,8.0,tt10002654
16,Drama,Movie,Ali the Blind Boxer,2019,10.0,tt10004074
17,Drama,Movie,Paradise,2019,4.0,tt10004574
18,Drama,Movie,He's My Daddy Too,2019,11.0,tt10006276
19,Drama,Movie,Barof 2019,2019,2.0,tt10005864
20,Drama,Movie,"In Their Own Words, Billy the Kid & The Lincoln County War",2019,12.0,tt10005378
21,Drama,Movie,Mesto!,2020,4.0,tt10007268
22,Drama,Movie,The Australian Dream,2019,8.0,tt10010368
23,Drama,Movie,Changing the Game,2021,6.0,tt10011320
24,Drama,Movie,Bull,2020,5.0,tt10008784
25,Drama,Movie,The Sholay Girl,2019,3.0,tt10011102
26,Drama,Movie,Family Obligations,2019,6.0,tt10009434
27,Drama,Movie,Lucky Grandma,2020,5.0,tt10011336
28,Drama,Movie,Encrypted: The Cyber Crime,2019,5.0,tt10009878
29,Drama,Movie,Death Whisper,2019,4.0,tt10015812
30,Drama,Movie,I Watched TV Show and Died from Blood,2019,3.0,tt10015644
31,Drama,Movie,Zabuti,2020,9.0,tt10014838
32,Drama,Movie,Kader Postasi,2019,12.0,tt10015248
33,Drama,Movie,Finals,2019,9.0,tt10019402
34,Drama,Movie,Ispade Rajavum Idhaya Raniyum,2019,3.0,tt10016532
35,Drama,Movie,The Purple Mist,2019,2.0,tt10017454
36,Drama,Movie,Gone Kesh,2019,3.0,tt10017956
37,Drama,Movie,Incursão,2019,8.0,tt10021754
38,Drama,Movie,Sucker for Love,2019,4.0,tt10022858
39,Drama,Movie,Nemesis,2020,8.0,tt10022974
40,Drama,Movie,Nedunalvaadai,2019,3.0,tt10023080
41,Drama,Movie,Dracula,2019,9.0,tt10025196
42,Drama,Movie,Katha Karana Heena,2019,3.0,tt10023506
43,Drama,Movie,Jack Lives Alone,2019,10.0,tt10031940
44,Drama,Movie,Piola,2021,3.0,tt10035478
45,Drama,Movie,Lucky One,2019,3.0,tt10033908
46,Drama,Movie,Mukherjee Dar Bou,2019,3.0,tt10034272
47,Drama,Movie,Death of a Traveling Life Insurance Salesman,2019,3.0,tt10036992
48,Drama,Movie,A fast passing angel,2019,1.0,tt10041300
49,Drama,Movie,Los atardeceres rojos,2019,3.0,tt10037428
50,Drama,Movie,Delta Byrd Sings,2019,7.0,tt10038080
51,Drama,Movie,Killer's Whisper,2019,7.0,tt10037836
52,Drama,Movie,Old Is Gold,2019,3.0,tt10039014
53,Drama,Movie,Flatmates,2019,7.0,tt10038708
54,Drama,Movie,Mle Kyu,2019,3.0,tt10037834
55,Drama,Movie,Muttayikkallanum Mammaliyum,2019,3.0,tt10039064
56,Drama,Movie,Perspectives of the Mind,2019,4.0,tt10040094
57,Drama,Movie,Suporter Masuk Pesantren,2019,3.0,tt10039546
58,Drama,Movie,Vinterrejse,2020,10.0,tt10041952
59,Drama,Movie,Between Maybes,2019,5.0,tt10044704
60,Drama,Movie,Butsaagui Amlalt,2019,3.0,tt10045266
61,Drama,Movie,Jiyan,2019,11.0,tt10043742
62,Drama,Movie,Humba Dreams,2019,7.0,tt10043746
63,Drama,Movie,Bumi Itu Bulat,2019,4.0,tt10044934
64,Drama,Movie,Kapi,2019,4.0,tt10045434
65,Drama,Movie,Sinner,2019,10.0,tt10046522
66,Drama,Movie,La vida en común,2019,11.0,tt10046208
67,Drama,Movie,Hang Ten,2019,12.0,tt10050004
68,Drama,Movie,Unarmed Man,2019,3.0,tt10049768
69,Drama,Movie,Ya podaryu tebe pobedu,2019,4.0,tt10048376
70,Drama,Movie,Arayakadavil,2019,3.0,tt10050614
71,Drama,Movie,Drama,2019,4.0,tt10050608
72,Drama,Movie,Brené Brown: The Call to Courage,2019,4.0,tt10050766
73,Drama,Movie,Black Fox: Age of the Ninja,2019,10.0,tt10052928
74,Drama,Movie,White Fish Season,2019,9.0,tt10052314
75,Drama,Movie,Reincarnation,2019,8.0,tt10050292
76,Drama,Movie,Milosc i milosierdzie,2019,3.0,tt10052290
77,Drama,Movie,Angel Sign,2019,11.0,tt10053058
78,Drama,Movie,Shiva's Daughter,2019,11.0,tt10054536
79,Drama,Movie,Mullapoo Viplavam,2019,3.0,tt10055762
80,Drama,Movie,Shell and Joint,2020,1.0,tt10052156
81,Drama,Movie,MeloDylan,2019,4.0,tt10056322
82,Drama,Movie,Dharmaprabhu,2019,6.0,tt10056510
83,Drama,Movie,Vellaipookal,2019,4.0,tt10055770
84,Drama,Movie,Arbëria,2021,12.0,tt10054940
85,Drama,Movie,Sale dovom daneshkadeh man,2019,10.0,tt10059236
86,Drama,Movie,Cocaine. Gangster. Talk.,2019,12.0,tt10058396
87,Drama,Movie,Best Wishes,2019,5.0,tt10057796
88,Drama,Movie,Lalji Qalandarr,2019,9.0,tt10063040
89,Drama,Movie,The Knight Before Christmas,2019,11.0,tt10060094
90,Drama,Movie,Windfall,2019,,tt10061766
91,Drama,Movie,Khoon-e Khoda,2019,2.0,tt10059220
92,Drama,Movie,O Olho e a Faca,2019,6.0,tt10062650
93,Drama,Movie,Sasha's Hell,2019,4.0,tt10062704
94,Drama,Movie,Memoria,2019,8.0,tt10063192
95,Drama,Movie,Hot Gimmick: Girl Meets Boy,2019,12.0,tt10061256
96,Drama,Movie,Jaddi Sardar,2019,9.0,tt10064270
97,Drama,Movie,Ma nudité ne sert à rien,2019,1.0,tt10065750
98,Drama,Movie,Ningen shikkaku: Dazai Osamu to 3-nin no onnatachi,2019,9.0,tt10065976
99,Drama,Movie,Mantan Manten,2019,4.0,tt10066526
100,Drama,Movie,Lao shi · Hao,2019,3.0,tt10066162
