Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,En tres y dos,2004,4.0,tt0092960
Drama,Movie,"Goodnight, Joseph Parker",2004,10.0,tt0146803
Drama,Movie,Bluebird,2004,4.0,tt0159290
Drama,Movie,El Maya,2004,10.0,tt0168064
Drama,Movie,Il resto di niente,2005,3.0,tt0170508
Drama,Movie,Greener,2005,6.0,tt0186785
Drama,Movie,Olga,2004,8.0,tt0196811
Drama,Movie,Sin's Kitchen,2004,7.0,tt0203912
Drama,Movie,Tricks,2004,4.0,tt0211070
Drama,Movie,2046,2005,2.0,tt0212712
Drama,Movie,Life Sentence,2004,6.0,tt0218400
Drama,Movie,Raspberry & Lavender,2004,12.0,tt0222790
Drama,Movie,Roomies,2004,6.0,tt0224025
Drama,Movie,The Discontents,2004,6.0,tt0225518
Drama,Movie,Laughing It Up,2004,9.0,tt0226057
Drama,Movie,True Vinyl,2004,12.0,tt0229792
Drama,Movie,Alone and Restless,2004,11.0,tt0235970
Drama,Movie,Ice Men,2004,8.0,tt0233911
Drama,Movie,Em & Me,2004,10.0,tt0236189
Drama,Movie,Anji,2004,1.0,tt0239235
Drama,Movie,Vanity Fair,2005,4.0,tt0241025
Drama,Movie,Edelweisspiraten,2005,11.0,tt0240473
Drama,Movie,The Pornographer: A Love Story,2004,5.0,tt0246157
Drama,Movie,The 24th Day,2004,5.0,tt0246404
Drama,Movie,Perfect Opposites,2005,4.0,tt0259567
Drama,Movie,La volpe a tre zampe,2004,2.0,tt0259729
Drama,Movie,The Kings of Brooklyn,2004,6.0,tt0265281
Drama,Movie,El rey,2004,10.0,tt0263939
Drama,Movie,Sumas y restas,2005,9.0,tt0265825
Drama,Movie,The Girl Next Door,2004,4.0,tt0265208
Drama,Movie,Close Call,2004,4.0,tt0267379
Drama,Movie,The Beautiful Country,2005,6.0,tt0273108
Drama,Movie,Cyber Wars,2004,9.0,tt0270841
Drama,Movie,La mala educación,2004,8.0,tt0275491
Drama,Movie,Beat Angel,2004,4.0,tt0276806
Drama,Movie,Mickey,2004,4.0,tt0277895
Drama,Movie,A Year in the Death of Jack Richards,2004,9.0,tt0288896
Drama,Movie,Off the Pages,2004,5.0,tt0286857
Drama,Movie,Secret Passage,2004,8.0,tt0286058
Drama,Movie,Thérèse: The Story of Saint Thérèse of Lisieux,2004,10.0,tt0286218
Drama,Movie,Irish Eyes,2004,7.0,tt0285624
Drama,Movie,World Without Waves,2004,6.0,tt0287147
Drama,Movie,The Sure Hand of God,2004,2.0,tt0288833
Drama,Movie,Straight Into Darkness,2004,1.0,tt0287733
Drama,Movie,The Butterfly Effect,2004,7.0,tt0289879
Drama,Movie,Illusion,2004,10.0,tt0290218
Drama,Movie,Stai con me,2004,6.0,tt0290872
Drama,Movie,Y.M.I.,2004,3.0,tt0290935
Drama,Movie,The Phantom of the Opera,2005,1.0,tt0293508
Drama,Movie,Brass Tacks,2013,,tt0295888
Drama,Movie,Purgatory House,2003,9.0,tt0298120
Drama,Movie,Poster Boy,2004,5.0,tt0297389
Drama,Movie,Sin Amparo,2005,9.0,tt0298149
Drama,Movie,Nothing Like Dreaming,2004,6.0,tt0299075
Drama,Movie,Inheritance,2004,12.0,tt0296766
Drama,Movie,Jersey Girl,2004,9.0,tt0300051
Drama,Movie,La niña santa,2005,10.0,tt0300270
Drama,Movie,Love's Brother,2004,4.0,tt0301563
Drama,Movie,Crazy Like a Fox,2004,10.0,tt0301358
Drama,Movie,Fascination,2004,10.0,tt0305632
Drama,Movie,Land of the Free?,2004,4.0,tt0305743
Drama,Movie,Leave No Trace,2004,,tt0305753
