,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
0,Drama,Movie,Milli Vanilli,2022,,tt0965381
1,Drama,Movie,Laal Singh Chaddha,2022,8.0,tt10028196
2,Drama,Movie,Mrak,2022,4.0,tt10047904
3,Drama,Movie,Charlie Hustle,2022,,tt10049720
4,Drama,Movie,The Reunion,2022,1.0,tt10064134
5,Drama,Movie,Gangubai Kathiawadi,2022,,tt10083340
6,Drama,Movie,Pastor's Wife,2022,,tt10092362
7,Drama,Movie,Satria Dewa: Gatotkaca,2022,6.0,tt10090058
8,Drama,Movie,Elvis,2022,6.0,tt3704428
9,Drama,Movie,Fate of the Night,2022,7.0,tt10141678
10,Drama,Movie,Ojai,2022,,tt10146532
11,Drama,Movie,The Four Fathers,2022,,tt10150354
12,Drama,Movie,Vie Feroce,2022,,tt10156158
13,Drama,Movie,Im Westen nichts Neues,2022,10.0,tt1016150
14,Drama,Movie,Hello Jindagi,2022,4.0,tt10188844
15,Drama,Movie,Causeway,2022,11.0,tt10192406
16,Drama,Movie,Immenhof - Das große Versprechen,2022,5.0,tt10250868
17,Drama,Movie,Rat Park,2022,,tt10271696
18,Drama,Movie,La voluntaria,2022,6.0,tt10270204
19,Drama,Movie,The Island of Forgiveness,2022,,tt10278448
20,Drama,Movie,Lightyear,2022,6.0,tt10298810
21,Drama,Movie,Amsterdam,2022,10.0,tt10304142
22,Drama,Movie,Untitled Disney Live Action Project,2022,10.0,tt10304140
23,Drama,Movie,The Contractor,2022,4.0,tt10323676
24,Drama,Movie,Paki,2022,,tt10332372
25,Drama,Movie,Etharkkum Thunindhavan,2022,3.0,tt10340562
26,Drama,Movie,Slugger O'Toole,2022,3.0,tt10345880
27,Drama,Movie,Stars at Noon,2022,10.0,tt10354106
28,Drama,Movie,Loren & Rose,2022,10.0,tt10358566
29,Drama,Movie,La vaca que cantó una canción hacia el futuro,2022,1.0,tt10360808
30,Drama,Movie,Fisherman's Friends: One and All,2022,11.0,tt10373344
31,Drama,Movie,Pada,2022,3.0,tt10375094
32,Drama,Movie,Hallowtide,2022,4.0,tt10379142
33,Drama,Movie,La piel ajena,2022,,tt10387560
34,Drama,Movie,Jayeshbhai Jordaar,2022,5.0,tt10393870
35,Drama,Movie,A life like any other,2022,10.0,tt10399628
36,Drama,Movie,Cerdita,2022,10.0,tt10399608
37,Drama,Movie,Aylan Baby,2022,3.0,tt10449310
38,Drama,Movie,Evil in Plain Sight,2022,10.0,tt10469740
39,Drama,Movie,The Year of the Soul,2022,9.0,tt10478422
40,Drama,Movie,Blasé L.A.,2022,11.0,tt10510256
41,Drama,Movie,North Central,2022,12.0,tt10512248
42,Drama,Movie,Hoodie,2022,,tt10514104
43,Drama,Movie,Padavettu,2022,11.0,tt10518176
44,Drama,Movie,On Sacred Ground,2022,,tt10535522
45,Drama,Movie,Maigret,2022,2.0,tt10545696
