Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,Sangharsh,1999,9.0,tt0111068
Drama,Movie,Malevolence,1999,2.0,tt0113747
Drama,Movie,Ghost Taxi,1999,6.0,tt0116408
Drama,Movie,Jimmy Zip,1999,8.0,tt0116703
Drama,Movie,The Big Brass Ring,2000,6.0,tt0115675
Drama,Movie,18 Shades of Dust,1999,12.0,tt0119028
Drama,Movie,Glória,1999,11.0,tt0118777
Drama,Movie,Onegin,1999,11.0,tt0119079
Drama,Movie,"Shame, Shame, Shame",1999,10.0,tt0117617
Drama,Movie,Mal,2000,2.0,tt0119603
Drama,Movie,Godmoney,1999,11.0,tt0119208
Drama,Movie,Payback,1999,3.0,tt0120784
Drama,Movie,Hinter dem Regenbogen,1999,9.0,tt0119849
Drama,Movie,Tarzan,1999,11.0,tt0120855
Drama,Movie,Shergar,1999,6.0,tt0121744
Drama,Movie,The Best of Enemies,2009,,tt0120606
Drama,Movie,The Autumn Heart,2000,8.0,tt0120593
Drama,Movie,When Justice Fails,1999,1.0,tt0120500
Drama,Movie,Three Kings,2000,3.0,tt0120188
Drama,Movie,My Life So Far,1999,8.0,tt0120899
Drama,Movie,The Deep End of the Ocean,1999,3.0,tt0120646
Drama,Movie,Being John Malkovich,2000,3.0,tt0120601
Drama,Movie,Brokedown Palace,2000,3.0,tt0120620
Drama,Movie,True Heart,1999,2.0,tt0120381
Drama,Movie,Foreign Correspondents,2001,9.0,tt0123078
Drama,Movie,Jaime,1999,4.0,tt0120790
Drama,Movie,Pushing Tin,1999,11.0,tt0120797
Drama,Movie,Alegría,1999,5.0,tt0123376
Drama,Movie,A Walk on the Moon,1999,4.0,tt0120613
Drama,Movie,Eyes Wide Shut,1999,9.0,tt0120663
Drama,Movie,The Other Sister,1999,5.0,tt0123209
Drama,Movie,Eye of the Beholder,2000,1.0,tt0120662
Drama,Movie,Gloria,1999,1.0,tt0120683
Drama,Movie,Un tè con Mussolini,1999,10.0,tt0120857
Drama,Movie,The Green Mile,2000,3.0,tt0120689
Drama,Movie,Dogma,2000,8.0,tt0120655
Drama,Movie,...Quando Troveja,2000,2.0,tt0120798
Drama,Movie,In Dreams,1999,7.0,tt0120710
Drama,Movie,Jakob the Liar,2000,2.0,tt0120716
Drama,Movie,One Man's Hero,1999,10.0,tt0120775
Drama,Movie,Snow Falling on Cedars,2000,5.0,tt0120834
Drama,Movie,Titus,2001,6.0,tt0120866
Drama,Movie,The Sky Is Falling,2001,6.0,tt0120829
Drama,Movie,The Cider House Rules,2000,3.0,tt0124315
Drama,Movie,You're Killing Me...,2001,,tt0122132
Drama,Movie,Trash,1999,6.0,tt0122194
Drama,Movie,Een vrouw van het noorden,1999,9.0,tt0123320
Drama,Movie,Abendland,2002,6.0,tt0124811
Drama,Movie,Tail Lights Fade,1999,12.0,tt0122743
Drama,Movie,Blue Ridge Fall,1999,10.0,tt0124119
Drama,Movie,Life,1999,8.0,tt0123964
Drama,Movie,Notting Hill,1999,7.0,tt0125439
Drama,Movie,Man on the Moon,2000,5.0,tt0125664
Drama,Movie,Sofies verden,2000,11.0,tt0125507
Drama,Movie,For Love of the Game,2000,5.0,tt0126916
Drama,Movie,Outside Providence,1999,10.0,tt0125971
Drama,Movie,Chutney Popcorn,2001,1.0,tt0126240
Drama,Movie,Cookie's Fortune,1999,8.0,tt0126250
Drama,Movie,When,1999,8.0,tt0126727
Drama,Movie,The Loss of Sexual Innocence,2000,1.0,tt0126859
Drama,Movie,Santitos,2000,1.0,tt0126651
Drama,Movie,A Stranger in the Kingdom,1999,11.0,tt0126680
Drama,Movie,The Bumblebee Flies Anyway,2000,1.0,tt0128977
Drama,Movie,Ogniem i mieczem,1999,2.0,tt0128378
Drama,Movie,The Dream Catcher,2001,5.0,tt0128170
Drama,Movie,Grey Owl,1999,10.0,tt0128239
Drama,Movie,The Iron Giant,1999,12.0,tt0129167
Drama,Movie,The Confession,1999,1.0,tt0128137
Drama,Movie,Instinct,1999,8.0,tt0128278
Drama,Movie,Aimée & Jaguar,1999,11.0,tt0130444
Drama,Movie,Heart,1999,6.0,tt0130761
Drama,Movie,Quand je serai parti... vous vivrez encore,1999,3.0,tt0130971
Drama,Movie,Edtv,1999,6.0,tt0131369
Drama,Movie,At First Sight,1999,5.0,tt0132512
