Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,Crime and Punishment,2002,6.0,tt0096056
Drama,Movie,The Dancer Upstairs,2004,1.0,tt0118926
Drama,Movie,Random Shooting in L.A.,2002,7.0,tt0119980
Drama,Movie,Frida,2003,1.0,tt0120679
Drama,Movie,Shivam,2002,6.0,tt0130255
Drama,Movie,Texas 46,2002,5.0,tt0149253
Drama,Movie,Easter,2002,9.0,tt0160240
Drama,Movie,"António, Um Rapaz de Lisboa",2002,1.0,tt0162862
Drama,Movie,White Boy,2002,3.0,tt0161088
Drama,Movie,Three Days of Rain,2003,9.0,tt0162838
Drama,Movie,The Sum of All Fears,2002,8.0,tt0164184
Drama,Movie,City of Ghosts,2003,3.0,tt0164003
Drama,Movie,Highway,2002,3.0,tt0165361
Drama,Movie,Interstate 60: Episodes of the Road,2003,9.0,tt0165832
Drama,Movie,Spirit: Stallion of the Cimarron,2002,7.0,tt0166813
Drama,Movie,Antwone Fisher,2003,1.0,tt0168786
Drama,Movie,The Lord of the Rings: The Two Towers,2002,12.0,tt0167261
Drama,Movie,La balsa de piedra,2002,9.0,tt0175203
Drama,Movie,O Delfim,2002,4.0,tt0175557
Drama,Movie,The Story of O: Untold Pleasures,2002,10.0,tt0176185
Drama,Movie,Moonlight Mile,2002,10.0,tt0179098
Drama,Movie,Dead Man's Dream,2002,7.0,tt0184387
Drama,Movie,Maryam,2002,2.0,tt0184719
Drama,Movie,New Best Friend,2002,4.0,tt0191074
Drama,Movie,$windle,2004,4.0,tt0190938
Drama,Movie,O Gotejar da Luz,2002,2.0,tt0191161
Drama,Movie,Meet Prince Charming,1999,,tt0194143
Drama,Movie,Looking for Leonard,2002,3.0,tt0193545
Drama,Movie,A Falha,2002,10.0,tt0197448
Drama,Movie,Secret Pleasures,2002,9.0,tt0199007
Drama,Movie,Tornare indietro,2002,11.0,tt0202457
Drama,Movie,Johan Padan a la descoverta de le Americhe,2002,10.0,tt0202416
Drama,Movie,2 Birds with 1 Stallone,2002,10.0,tt0206778
Drama,Movie,Alma Mater,2002,10.0,tt0206098
Drama,Movie,The Water Game,2002,3.0,tt0207826
