,Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
0,Drama,Movie,Quan jia fu,2017,10.0,tt0087963
1,Drama,Movie,La telenovela errante,2018,9.0,tt0100275
2,Drama,Movie,Joe Finds Grace,2017,4.0,tt0137204
3,Drama,Movie,The Only Living Boy in New York,2017,8.0,tt0460890
4,Drama,Movie,Tulip Fever,2017,8.0,tt0491203
5,Drama,Movie,Suburbicon,2017,11.0,tt0491175
6,Drama,Movie,Rings,2017,2.0,tt0498381
7,Drama,Movie,Caravaggio and My Mother the Pope,2017,12.0,tt0825334
8,Drama,Movie,Krystal,2018,4.0,tt0835802
9,Drama,Movie,The Dot Man,2017,,tt0874268
10,Drama,Movie,The Promise,2017,7.0,tt10013288
11,Drama,Movie,Egise Taara Juvvalu,2017,11.0,tt10017460
12,Drama,Movie,Ila Ayithe Ela,2017,,tt10017546
13,Drama,Movie,Machiwarla Budha,2017,6.0,tt10025790
14,Drama,Movie,Ubuntu,2017,9.0,tt10034168
15,Drama,Movie,Tatva,2017,5.0,tt10034136
16,Drama,Movie,Pahil Paul Jivanch,2017,8.0,tt10033760
17,Drama,Movie,Mbretëria,2017,10.0,tt10036406
18,Drama,Movie,Barcley,2017,11.0,tt10042678
19,Drama,Movie,Inside the Walls,2017,,tt10045134
20,Drama,Movie,When Rumi meets Francis,2017,7.0,tt10048976
21,Drama,Movie,La ola de crímenes,2017,11.0,tt10048408
22,Drama,Movie,3 Is a Crowd,2017,5.0,tt10076184
23,Drama,Movie,The Girl From Future,2017,12.0,tt10077598
24,Drama,Movie,Bingo,2017,3.0,tt10079798
25,Drama,Movie,49 Ngày 2,2017,2.0,tt10078676
26,Drama,Movie,One on One,2017,8.0,tt10101974
27,Drama,Movie,Undga,2017,8.0,tt10102296
28,Drama,Movie,Sem Raiz,2017,1.0,tt10106368
29,Drama,Movie,Blestyashchey zhizni lepestok,2017,3.0,tt10108286
30,Drama,Movie,Ruza,2017,4.0,tt10115300
31,Drama,Movie,Zygote,2017,6.0,tt10117046
32,Drama,Movie,Huntash,2017,11.0,tt10121852
33,Drama,Movie,Khayyum Bhai,2017,6.0,tt10133528
34,Drama,Movie,Danza de Luna,2017,12.0,tt10147214
35,Drama,Movie,Mobile Phone Control,2017,6.0,tt10160716
36,Drama,Movie,Khopa,2017,5.0,tt10161888
37,Drama,Movie,Marathon Zindagi,2017,4.0,tt10163206
38,Drama,Movie,A Mother's Story,2017,4.0,tt10167826
39,Drama,Movie,E Ee,2017,12.0,tt10169754
40,Drama,Movie,Shyamchi Shala,2017,2.0,tt10174300
41,Drama,Movie,The Ol' Amity Blues,2017,4.0,tt10182846
42,Drama,Movie,Funny Young World,2017,6.0,tt10189426
43,Drama,Movie,"Papa, Come Home",2017,12.0,tt10195216
44,Drama,Movie,Aitebaar,2017,,tt10218948
45,Drama,Movie,The Perfect Mistress III.,2017,,tt10215836
46,Drama,Movie,Tu Mera Chaand,2017,,tt10218800
47,Drama,Movie,Le Blu,2017,4.0,tt10224178
48,Drama,Movie,[S.O.S] Sói Trang,2017,6.0,tt10230002
49,Drama,Movie,14 Tirmeh,2017,5.0,tt10269890
50,Drama,Movie,Zombe,2017,,tt10285260
51,Drama,Movie,Kinbaku: Tsuki no Shô,2017,1.0,tt10295272
52,Drama,Movie,How Are You,2017,6.0,tt10314526
53,Drama,Movie,Rangeela (telugu),2017,12.0,tt10353010
54,Drama,Movie,Cesare,2017,7.0,tt10399872
55,Drama,Movie,Crima si pedeapsa,2017,,tt10399946
56,Drama,Movie,Terminal Behavior,2017,8.0,tt10405696
57,Drama,Movie,Camping,2017,11.0,tt10408220
58,Drama,Movie,O Pilla Nee Valla,2017,5.0,tt10433062
59,Drama,Movie,Cent anys després,2017,2.0,tt10436206
60,Drama,Movie,Only the Wind Knows,2017,10.0,tt10443764
61,Drama,Movie,GEN Hi8,2017,11.0,tt10448578
62,Drama,Movie,The Preparation,2017,11.0,tt10443780
63,Drama,Movie,Youth Dinner,2017,6.0,tt10453114
64,Drama,Movie,A Stray Goat,2017,3.0,tt10468098
65,Drama,Movie,Seita,2017,,tt10472938
66,Drama,Movie,The Artist: Reborn,2017,3.0,tt10499432
67,Drama,Movie,The Eighth Day of the Week,2017,11.0,tt10505054
68,Drama,Movie,"Havana, Habana",2017,1.0,tt1051229
69,Drama,Movie,Nuestro silencio,2017,11.0,tt10509092
70,Drama,Movie,Omar Al Azrak,2017,11.0,tt10515202
71,Drama,Movie,Aisylu,2017,8.0,tt10515888
72,Drama,Movie,Wives on Strike: The Revolution,2017,12.0,tt10521028
73,Drama,Movie,Atenas,2019,2.0,tt10520882
74,Drama,Movie,Undying Youth,2017,4.0,tt10520868
75,Drama,Movie,I'm Rising,2017,8.0,tt10529494
76,Drama,Movie,Roehampton Guerrillas (2011-2016),2017,8.0,tt10533714
77,Drama,Movie,Uur Tsaigaasai (In the Dawn),2017,5.0,tt10540854
78,Drama,Movie,Match,2017,12.0,tt10546234
79,Drama,Movie,Shattered Waves,2018,4.0,tt10551082
80,Drama,Movie,Father. Mother. Me.,2017,4.0,tt10561056
81,Drama,Movie,Blood Brothers,2017,1.0,tt10577878
82,Drama,Movie,This Is You,2017,6.0,tt10607270
83,Drama,Movie,The Great Leader,2017,12.0,tt10623274
84,Drama,Movie,Transgression,2017,10.0,tt10626534
85,Drama,Movie,Circle of Fire,2017,,tt10634152
86,Drama,Movie,Dark,2017,12.0,tt10690676
87,Drama,Movie,Evolution,2017,3.0,tt10691678
88,Drama,Movie,A Lonely lane,2017,8.0,tt10701758
89,Drama,Movie,A Lonely lane,2017,8.0,tt10702690
90,Drama,Movie,Care for Her like It's Your Body,2017,10.0,tt10706796
91,Drama,Movie,Sun's travelers,2018,8.0,tt10725042
92,Drama,Movie,The Traveler-mosafer,2017,3.0,tt10741426
93,Drama,Movie,Streets of a Scion,2017,,tt10746456
94,Drama,Movie,Iraade,2017,12.0,tt10817772
95,Drama,Movie,GST - Galti Sirf Tumhari,2017,11.0,tt10825098
96,Drama,Movie,Amun,2017,9.0,tt10860344
97,Drama,Movie,New Queer Visions: Men from the Boys,2017,12.0,tt10887586
98,Drama,Movie,Rangeela,2017,11.0,tt10889058
99,Drama,Movie,Rabba Ishq Na Hove,2017,12.0,tt10889002
100,Drama,Movie,Arjun,2017,11.0,tt10889062
101,Drama,Movie,Sipahi,2017,11.0,tt10889078
102,Drama,Movie,Saiyaan Superstar,2017,12.0,tt10889026
103,Drama,Movie,Prem Pyar Me,2017,12.0,tt10889014
104,Drama,Movie,Pattern of Mothers,2017,8.0,tt10895514
105,Drama,Movie,Superstar,2017,2.0,tt10914894
106,Drama,Movie,Hot Boy Nôi Loan 2,2017,3.0,tt10912538
107,Drama,Movie,Du soleil dans nos yeux,2017,10.0,tt10919392
108,Drama,Movie,Back to Freeport,2017,,tt10949238
109,Drama,Movie,Tehdy spolu,2017,6.0,tt10955182
110,Drama,Movie,Guilty,2017,,tt10970494
111,Drama,Movie,Wu zui zhi cheng,2017,7.0,tt10980820
112,Drama,Movie,Kaaliyan,2017,9.0,tt10981694
113,Drama,Movie,The last midnight chapter 2: The Wicked Die Young,2017,12.0,tt10984600
114,Drama,Movie,Class Diaries,2017,9.0,tt10983808
115,Drama,Movie,Pretty Little Thing,2017,11.0,tt10999784
116,Drama,Movie,Mehandi Laga Ke Rakhna,2017,2.0,tt11012216
117,Drama,Movie,Hidden Summer,2017,,tt11015702
118,Drama,Movie,Grew up,2017,,tt11020252
119,Drama,Movie,Bloodthirsty Monster in the Demonic Realm,2017,,tt11020284
120,Drama,Movie,Moy luchshiy Drug,2017,11.0,tt11027200
121,Drama,Movie,The Innovation of Loneliness,2017,4.0,tt11040970
122,Drama,Movie,Birani Sardar,2017,11.0,tt11041654
123,Drama,Movie,Tu Hi to Meri Jaan Hai Radha 2,2017,11.0,tt11091904
124,Drama,Movie,Bitiya Hamaray Zamanay Mein,2017,9.0,tt11117482
125,Drama,Movie,Boro Chele,2017,9.0,tt11127172
126,Drama,Movie,Love Is Cold,2018,4.0,tt11137384
127,Drama,Movie,Ta ke la ma gan de gu sheng,2017,4.0,tt11137810
