Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,For the Cause,2002,5.0,tt0113092
Drama,Movie,Florentino y el diablo,2000,4.0,tt0113086
Drama,Movie,Karobaar: The Business of Love,2000,9.0,tt0116748
Drama,Movie,Gang,2000,4.0,tt0116391
Drama,Movie,Fa yeung nin wah,2001,3.0,tt0118694
Drama,Movie,Beyond the Pale,2000,9.0,tt0118710
Drama,Movie,Chinese Coffee,2000,9.0,tt0118852
Drama,Movie,Passionnément,2000,5.0,tt0119866
Drama,Movie,Love 101,2000,2.0,tt0119495
Drama,Movie,Pushing the Envelope,2001,4.0,tt0119966
Drama,Movie,State and Main,2001,7.0,tt0120202
Drama,Movie,Vulgar,2000,9.0,tt0120467
Drama,Movie,Bruno,2000,4.0,tt0123003
Drama,Movie,Lured Innocence,2000,2.0,tt0122161
Drama,Movie,Shikari,2000,10.0,tt0120117
Drama,Movie,Capitães de Abril,2001,4.0,tt0120626
Drama,Movie,Sånger från andra våningen,2001,9.0,tt0120263
Drama,Movie,The Million Dollar Hotel,2000,5.0,tt0120753
Drama,Movie,Chicken Run,2000,9.0,tt0120630
Drama,Movie,The Highwayman,2000,4.0,tt0120698
Drama,Movie,Return to Me,2000,6.0,tt0122459
Drama,Movie,Waking the Dead,2000,3.0,tt0127349
Drama,Movie,Dinosaur,2000,6.0,tt0130623
Drama,Movie,Duets,2000,9.0,tt0134630
Drama,Movie,Fallen Arches,2000,1.0,tt0133752
Drama,Movie,Wind River,2000,6.0,tt0135707
Drama,Movie,Cement,2000,1.0,tt0138353
Drama,Movie,Waterproof,2000,8.0,tt0138927
Drama,Movie,The Yards,2001,6.0,tt0138946
Drama,Movie,The Hiding Place,2000,6.0,tt0138818
Drama,Movie,No Quarto da Vanda,2001,3.0,tt0139500
Drama,Movie,Isn't She Great,2000,1.0,tt0141399
Drama,Movie,Knockout,2000,2.0,tt0143344
Drama,Movie,Committed,2000,4.0,tt0144142
Drama,Movie,American Psycho,2000,9.0,tt0144084
Drama,Movie,Thirteen Days,2001,4.0,tt0146309
Drama,Movie,High Fidelity,2000,8.0,tt0146882
Drama,Movie,The Legend of Bagger Vance,2001,5.0,tt0146984
Drama,Movie,Looking for an Echo,2000,11.0,tt0148421
Drama,Movie,All the Pretty Horses,2000,12.0,tt0149624
Drama,Movie,Where the Money Is,2000,4.0,tt0149367
Drama,Movie,Josh,2000,6.0,tt0151150
Drama,Movie,The Thief & the Stripper,2000,10.0,tt0153012
Drama,Movie,Time of Her Time,2000,9.0,tt0153100
Drama,Movie,Up at the Villa,2000,4.0,tt0153464
Drama,Movie,A Good Baby,2000,12.0,tt0155723
Drama,Movie,Ricky 6,2001,4.0,tt0156020
Drama,Movie,I'll Remember April,2001,4.0,tt0155754
Drama,Movie,Secrets of a Chambermaid,2000,4.0,tt0155150
Drama,Movie,Yup Yup Man,2005,1.0,tt0157202
Drama,Movie,The Next Best Thing,2000,6.0,tt0156841
Drama,Movie,Rave,2000,10.0,tt0156942
Drama,Movie,My Dog Skip,2000,8.0,tt0156812
Drama,Movie,Mad About Mambo,2000,7.0,tt0156757
Drama,Movie,Trolösa,2001,10.0,tt0157122
Drama,Movie,Nora,2000,4.0,tt0158033
Drama,Movie,Coping,2000,3.0,tt0159371
Drama,Movie,På fremmed mark,2000,3.0,tt0158871
Drama,Movie,Luckytown,2002,4.0,tt0160495
Drama,Movie,More Dogs Than Bones,2000,7.0,tt0160547
Drama,Movie,Moskva,2001,3.0,tt0160550
Drama,Movie,Blast,2000,4.0,tt0160663
Drama,Movie,Passion of Mind,2000,6.0,tt0160644
Drama,Movie,Four Dogs Playing Poker,2000,6.0,tt0160289
Drama,Movie,Takedown,2000,3.0,tt0159784
Drama,Movie,Steal This Movie,2002,6.0,tt0161216
Drama,Movie,Respirar (Debaixo D'água),2000,2.0,tt0160759
Drama,Movie,Lost Souls,2001,4.0,tt0160484
Drama,Movie,Rules of Engagement,2000,11.0,tt0160797
Drama,Movie,Red Dirt,2000,3.0,tt0160749
Drama,Movie,Train Ride,2000,,tt0161003
Drama,Movie,Other Voices,2000,1.0,tt0160616
Drama,Movie,Cast Away,2001,1.0,tt0162222
Drama,Movie,What Lies Beneath,2000,10.0,tt0161081
Drama,Movie,Hanging Up,2000,6.0,tt0162983
Drama,Movie,The Operator,2000,3.0,tt0163125
Drama,Movie,Kasbah,2000,9.0,tt0162901
Drama,Movie,The Stonecutter,2011,5.0,tt0164182
Drama,Movie,Under Suspicion,2000,11.0,tt0164212
Drama,Movie,Bless the Child,2001,8.0,tt0163983
Drama,Movie,The In Crowd,2000,7.0,tt0163676
Drama,Movie,The Beach,2000,3.0,tt0163978
Drama,Movie,The Debut,2003,8.0,tt0163745
Drama,Movie,Across the Line,2000,2.0,tt0164318
Drama,Movie,Doomsday Man,2000,,tt0164545
Drama,Movie,Black Sea 213,2000,4.0,tt0165642
Drama,Movie,When the Sky Falls,2000,6.0,tt0166013
