Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,What Is It?,2005,1.0,tt0118141
Drama,Movie,Corpse Bride,2005,11.0,tt0121164
Drama,Movie,Shooting Vegetarians,2005,2.0,tt0146272
Drama,Movie,The Prodigy,2005,4.0,tt0160706
Drama,Movie,Berlin Nights,2005,,tt0195551
Drama,Movie,Thousands of Miles,2005,1.0,tt0196155
Drama,Movie,Death-Defying Acts,2005,5.0,tt0195565
Drama,Movie,Firecracker,2005,10.0,tt0204322
Drama,Movie,Ripley Under Ground,2007,10.0,tt0219171
Drama,Movie,Last Mountain,2005,,tt0234084
Drama,Movie,Water,2005,11.0,tt0240200
Drama,Movie,Silent Men,2005,,tt0242882
Drama,Movie,In Memory of My Father,2008,,tt0251744
Drama,Movie,Johnny Virus,2005,,tt0263495
Drama,Movie,Heaven's Neighbors,2005,11.0,tt0279121
Drama,Movie,Pomegranate,2005,,tt0279683
Drama,Movie,Garúa,2005,6.0,tt0283354
Drama,Movie,Havoc,2005,10.0,tt0285175
Drama,Movie,Lava Lounge,2005,6.0,tt0289275
Drama,Movie,Corazón voyeur,2005,3.0,tt0288484
Drama,Movie,Iluminados por el fuego,2005,9.0,tt0288569
Drama,Movie,Rent,2005,11.0,tt0294870
Drama,Movie,The Keeper: The Legend of Omar Khayyam,2005,6.0,tt0294806
Drama,Movie,Going Shopping,2005,9.0,tt0295605
Drama,Movie,The Civilization of Maxwell Bright,2007,9.0,tt0299135
Drama,Movie,Second-Hand,2005,5.0,tt0302189
Drama,Movie,Love Thy Neighbor,2005,9.0,tt0304356
Drama,Movie,Better Days,2005,9.0,tt0308028
Drama,Movie,Private Property,2005,3.0,tt0310022
Drama,Movie,Tracks,2005,9.0,tt0310243
Drama,Movie,Constellation,2007,2.0,tt0315431
Drama,Movie,Break a Leg,2005,4.0,tt0315323
Drama,Movie,Because of Winn-Dixie,2005,2.0,tt0317132
Drama,Movie,El viento,2005,8.0,tt0318765
Drama,Movie,Thumbsucker,2005,10.0,tt0318761
Drama,Movie,Dar de nuevo,2005,12.0,tt0319250
Drama,Movie,Kingdom of Heaven,2005,5.0,tt0320661
Drama,Movie,Blodsbröder,2005,12.0,tt0321463
Drama,Movie,El fuego y el soñador,2005,3.0,tt0322346
Drama,Movie,Clon,2005,9.0,tt0321722
Drama,Movie,Sabah,2006,8.0,tt0325191
Drama,Movie,Gaijin - Ama-me Como Sou,2005,9.0,tt0325444
Drama,Movie,Her Name Is Carla,2005,10.0,tt0326367
Drama,Movie,The Great Raid,2006,5.0,tt0326905
Drama,Movie,My Suicidal Sweetheart,2005,3.0,tt0328121
Drama,Movie,Taj Mahal: An Eternal Love Story,2006,5.0,tt0328503
Drama,Movie,Fever Pitch,2005,4.0,tt0332047
Drama,Movie,L'est de la brúixola,2005,10.0,tt0336392
Drama,Movie,Runt,2005,2.0,tt0337122
Drama,Movie,Zerkalnye voyny. Otrazhenie pervoe,2005,9.0,tt0337678
Drama,Movie,The Inner Circle,2007,10.0,tt0337646
Drama,Movie,Dot.Kill,2010,12.0,tt0337610
Drama,Movie,Keep Your Distance,2005,8.0,tt0337656
Drama,Movie,Nowhere Man,2005,3.0,tt0338294
Drama,Movie,The Trouble with Men and Women,2005,1.0,tt0337735
Drama,Movie,Antikörper,2005,7.0,tt0337573
