0,1,2,3,4
,1928,[''],['Reparto'],Ganó 4 premios Primetime Emmy
Jack Wurtzel,No data,['A Christmas Hero'],['Reparto'],Sin oscar
Denis Granchak,1977,"['Gvardiya', '2015 • 4 episodios', '2020', 'Reparto', 'Reparto']",['Reparto'],Sin oscar
Monica Betancourt,No data,"['Time', 'Yale Farm']",['Producción'],Sin oscar
Monami Ghosh,1984,[''],['Reparto'],Sin Oscar
Tongayi Chirisa,No data,[''],"['Reparto', 'Producción']",Más en IMDbPro
Roger Guenveur Smith,1955,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Luigi Antezana,No data,['Mi Socio 2.0'],['Reparto'],Sin oscar
Binita Thapa Magar,No data,"['Halkara', 'The Shameless', 'Corto', 'Corto']",['Reparto'],Sin oscar
Andreas Berger,No data,"['Qué hacer en caso de incendio', 'Welcome to Hell', '4,3', '10']","['Dirección de fotografía y cámara', 'Cámara y electricidad', 'Dirección']",Sin Oscar
Shweta Basu Prasad,1991,[''],"['Reparto', 'Producción', 'Dirección de casting']",Sin Oscar
Pedro Diniz,No data,"['De Baixo da Cama', 'Rhuan Ramos: Anjos']","['Dirección', 'Producción', 'Guion']",Sin oscar
María Luisa Juárez,No data,['Sin señas particulares'],['Reparto'],Sin oscar
Àngels Bassas,1971,"['Entre las piernas', 'Punta Escarlata', '2011 • 6 episodios', '2009', 'Leticia Jiménez']",['Reparto'],Sin oscar
Surumi,No data,"['Oru Pappadavada Premam', 'Shalomi', 'Reparto']",['Reparto'],Sin oscar
François Morel,1959,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Ben Shenkman,1968,[''],"['Reparto', 'Banda sonora']",Nominado para 1 premio Primetime Emmy
Austin Burnette Mitchell,No data,[''],"['Dirección', 'Reparto', 'Guion']",Más en IMDbPro
Saga Abramsson,No data,"['Bli Min', 'DU och JAG', 'Sussie Säljer Sängar']",['Reparto'],Sin oscar
Arthur Peng,No data,[''],"['Reparto', 'Producción', 'Guion y continuidad']",Más en IMDbPro
Chinyere Wilfred,No data,"['African Messiah', 'Mrs. Sandra', '2020']","['Reparto', 'Producción']",Sin oscar
Mimi Frank,No data,"['Adrift in Time', 'As I Am', 'Murdered by Morning', '2020 • 1 episodio', 'The fabulous Mimi Frank']",['Reparto'],Sin oscar
Budiman Sudjatmiko,No data,"['Dignitate', 'Soekarno: Indonesia Merdeka', 'Jomblo']",['Reparto'],Sin oscar
Jo Ellen Pellman,octubre,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Aiden Gale,No data,"['Vigilante', 'Crazed Isolation', 'Halloween Begins', 'Vigilante 2']","['Reparto', 'Guion', 'Dirección de casting']",Sin oscar
Michele Valley,No data,[''],['Reparto'],Más en IMDbPro
Pascale Arbillot,No data,No data,No data,Sin oscar
Leon Boursin,No data,['The Last to Leave Are the Cranes'],No data,Sin oscar
Veronica Davis,No data,"['Ballistic', 'L.A. Heat', '1997 • 1 episodio', 'Entrenamiento mortal']",['Reparto'],Sin oscar
Madhupal,No data,[''],"['Reparto', 'Dirección', 'Dirección de la segunda unidad o asistencia a dirección']",Más en IMDbPro
Dwight Burt,No data,['Rock-a-Bye'],['Reparto'],Sin oscar
Brandon Blake,No data,[''],"['Equipos adicionales', 'Producción', 'Legal']",Más en IMDbPro
Jeeva Ravi,No data,"['Maayavan', 'Sathur', '7,3', '8,0']",['Reparto'],Sin oscar
Sonya Priss,1995,"['Skvoz vremya', 'Encadenada', '2021 • 24 episodios', '2021', '2020']",['Reparto'],Sin oscar
Leona Lishoy,1991,[''],['Reparto'],Sin Oscar
Silvian Vâlcu,1986,[''],['Reparto'],Sin Oscar
Mackenyu,1996,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Lynna Yee,No data,[''],"['Reparto', 'Guion', 'Dirección']",Más en IMDbPro
Lisa Bartholomew,No data,"['For the Love of Movies', 'Karmic', '2017 • 2 episodios']",['Reparto'],Sin oscar
Noah Skape,No data,"['The Furnace', ""I'm Not Hurting You""]",['Reparto'],Sin oscar
Camila Monclova,No data,[''],['Reparto'],Más en IMDbPro
Hai Huang,No data,"['Gu dong ju zhong ju', 'Fei chang xing yun', 'Wu Kong', 'Weihe Fangbao Dui']","['Guion', 'Edición']",Sin Oscar
Mark Huber,No data,[''],"['Reparto', 'Especialistas']",Más en IMDbPro
Danilo De Summa,1969,"['Piazza Fontana: La conspiración italiana', 'Paz!', 'Fine pena mai: Paradiso perduto', 'Il giovane Montalbano', '2012 • 1 episodio']",['Reparto'],Sin oscar
Joseph Holmes,No data,[''],"['Producción', 'Guion', 'Dirección']",Más en IMDbPro
Remon Lim,No data,"['Mind Game', '2015 • 2 episodios', '2017', '2018', '2018']",['Reparto'],Sin oscar
Ali El-Tayyeb,No data,"['El-Hareth', 'Take care of Zizi', '2021 • 26 episodios', '2016', '2016']",['Reparto'],Sin oscar
