0,1,2,3,4
,1928,[''],['Reparto'],Ganó 4 premios Primetime Emmy
Leonie Charlotte Adam,No data,"['Krankgeschrieben', 'Weak Heart Drop', 'Shit Nietzsche Says', 'Aktuelle Stunde', '2011 • 1 episodio']","['Reparto', 'Guion', 'Producción']",Sin oscar
Guillermo Arribas,No data,"['Beyond the Night', 'Central Park', 'Two Sentence Horror Stories', '2019 • 1 episodio', 'Onlooker #2']",['Reparto'],Sin oscar
Gillian McCarthy,No data,"['Brooklyn', '13 Steps Down', '2012 • 1 episodio']",['Reparto'],Sin oscar
Anjani Dina,No data,"['7 Hari Menembus Waktu', '6,8', '8,4', '7,4']",['Reparto'],Sin oscar
Walid Muhammad Farid,No data,['The Republic of Imbaba'],['Reparto'],Sin oscar
Nicholas Guest,mayo,[''],"['Reparto', 'Equipos adicionales', 'Sonido']",Sin oscar
Isaiah Butler,No data,"['Darkly Damaged', '6,9', 'Corto']","['Reparto', 'Equipos adicionales']",Sin oscar
Smita Oak,No data,"['Mi Aaji Aur Saheb', 'Wrong Number', 'Meinu Ek Ladki Chaahiye', 'Ashi Gyaneshwari']",['Reparto'],Sin oscar
José Montini,No data,[''],['Reparto'],Sin oscar
Gary Oldman,1958,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 1 premio Óscar
Jaquan,No data,[''],"['Reparto', 'Guion']",Sin oscar
Mike Jobe,No data,"['Starship Troopers (Las brigadas del espacio)', 'Transformers', 'Enemigo mío', 'Jurassic Park III (Parque Jurásico III)']","['Efectos visuales', 'Efectos especiales', 'Reparto']",Sin oscar
Udayathara Jubin,No data,['Vettaiyadu'],['Reparto'],Sin oscar
Bonnie Johnson,1941,[''],['Reparto'],Sin Oscar
Chi-Ling Lin,1974,[''],['Reparto'],Sin Oscar
Marija Pikic,1989,[''],['Reparto'],Sin Oscar
Manoj Tiwari,1971,[''],"['Reparto', 'Música', 'Guion']",Sin oscar
Andrew Prokurat,No data,"['Massé', 'Thick', 'Zombie Casserole', '2013']",['Reparto'],Sin oscar
Diane Cortez,No data,['Haplos'],['Reparto'],Sin oscar
Deputy Raja,No data,"['Navin Saver', 'Película de TV']",['Reparto'],Sin oscar
Babs O. Fatunmbi,No data,"['One Fine Day', 'Reparto', '2016']",['Reparto'],Sin oscar
Cora Belle Bodmer,No data,['The Barefoot Bandit Documentary'],No data,Sin oscar
Ryan Alexander,No data,[''],['Reparto'],Sin oscar
Jeffrey Frounfelker,No data,"['Buffalo', 'Small Town Fireworks']",['Reparto'],Sin oscar
Allen Dizon,No data,[''],"['Reparto', 'Producción']",Sin Oscar
Ruslaan Mumtaz,1982,[''],['Reparto'],Sin Oscar
Cooper Rivers,No data,[''],['Reparto'],Sin oscar
Nadeshda Brennicke,1973,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Rafael Jacon Dutra,No data,['Emil'],['Reparto'],Sin oscar
Rayana Sidieva,No data,['Ma folie'],['Reparto'],Sin oscar
Anjana Singh,1990,"['Jeena Teri Gali Mein', 'Reparto', '2017']",['Reparto'],Sin Oscar
Harold Gervais,No data,"['La gran apuesta', 'Into the Wood', 'The Purge', '2019 • 1 episodio', 'Reparto']","['Reparto', 'Guion']",Sin oscar
Deirdre Allen Timmons,No data,"['A Wink and a Smile', 'Waxie Moon in Fallen Jewel', 'Mein Cupcake', 'Waxie Moon']","['Dirección', 'Guion', 'Reparto']",Sin oscar
Belle Hsin,1988,[''],"['Reparto', 'Edición']",Sin oscar
Leigh Schindler,No data,[''],"['Reparto', 'Guion', 'Casting']",Sin Oscar
Michael Rene Walton,No data,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Ravi Prakash,1981,[''],['Reparto'],Sin oscar
Sasa Kuzmanovic,No data,"['Here Be Dragons', 'Infiltration', '2019 • 30 episodios', '1992', '2020']",['Reparto'],Sin oscar
Danny Midwinter,No data,[''],"['Reparto', 'Casting', 'Producción']",Sin Oscar
Diane Gaeta,1980,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Chetan Dalvi,No data,[''],['Reparto'],Sin oscar
Ron Becks,No data,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Elisabeth Moss,1982,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 2 premios Primetime Emmy
Kara Killmer,junio,[''],['Reparto'],Sin oscar
Rowiena Umboh,No data,"['Satria Dewa: Gatotkaca', 'Revan & Reina', 'Mereka Yang Tak Terlihat', 'Air Mata Surga']",['Reparto'],Sin oscar
Olivier Bisback,1973,[''],"['Especialistas', 'Reparto']",Sin oscar
Jessica Barahona,No data,"['Ochentaisiete', 'Alucina (Fishgirl)', 'Serie de TV', '5,3']",['Reparto'],Sin oscar
Rui Jadhav,No data,[''],['Reparto'],Sin oscar
Arundathi Nag,No data,[''],"['Reparto', 'Guion', 'Arte']",Sin Oscar
David Johnston,No data,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Harwood Gordon,No data,[''],"['Reparto', 'Producción']",Sin oscar
Sean Doupe,No data,[''],"['Cámara y electricidad', 'Reparto', 'Dirección de fotografía y cámara']",Sin Oscar
Dan McGlaughlin,No data,"['Assumption of Risk', 'Bloodrunners', 'Ardmore Junction', '3,8']","['Reparto', 'Guion', 'Equipos adicionales']",Sin oscar
Anna McCann,No data,"['Passiflora', '2023']",['Reparto'],Sin oscar
Delten Davidson,No data,['Haraka'],['Reparto'],Sin oscar
Arfin Xunayed,No data,[''],['Reparto'],Sin oscar
Beau Knapp,1989,[''],"['Reparto', 'Equipos adicionales', 'Producción']",Sin Oscar
Julian Cheung,1971,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Maddison Brown,1997,[''],['Reparto'],Sin oscar
Truong Minh Quoc Thai,No data,"['Cuoc Xe Nua Dem', 'Nhung Nguoi Viet Huyen Thoai', 'Thach Thao', 'Nguoi Tro Vê']",['Reparto'],Sin oscar
Nico de Vries,1961,[''],"['Reparto', 'Dirección']",Sin oscar
Akshara Singh,1993,"['Pawan Raja', 'Diler', 'Reparto']","['Reparto', 'Música']",Sin Oscar
Max Casella,junio,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Sophie Lui,1975,"['Lou', 'Power Rangers', 'Pacto de silencio', 'Smallville', '2009 • 1 episodio']",['Reparto'],Sin oscar
Jack Maxwell,No data,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Nadia Serantes,No data,"['The Profesional', 'Myth Seekers: In Search of Il Brutto', 'What It Was', ""Lover's Game""]",['Reparto'],Sin Oscar
Triston Winn,No data,"['Falling Apart', 'Corto', '5,9']",['Reparto'],Sin oscar
Victoria Pedro,No data,"['No Guidance', 'Drip Check', 'Sonder', 'Ang Huling Adobo']","['Dirección de fotografía y cámara', 'Cámara y electricidad', 'Edición']",Sin oscar
Emily Bentley,No data,"['The Weekend Detectives', 'The Middle Distance', 'The Looking Glass', ""Jessica's Ashes""]","['Dirección de la segunda unidad o asistencia a dirección', 'Producción', 'Reparto']",Sin oscar
Steve Tommey,No data,['Greyscale'],['Reparto'],Sin oscar
Ugur Kuyucu,No data,"['Enes Batur Hayal mi Gerçek mi?', 'Karadayi', '2013–2015 • 103 episodios', 'Dirección o asistencia de la segunda unidad(as Mehmet Ugur Kuyucu)', 'Serie de TV']","['Dirección de la segunda unidad o asistencia a dirección', 'Dirección', 'Reparto']",Sin oscar
Roger Griffiths,No data,[''],"['Reparto', 'Guion']",Sin Oscar
David Anthony Green,No data,"['Survivors', 'When Nothing Else Matters', 'Serie de TV', '9,2']",['Reparto'],Sin oscar
Tom Sweet,No data,[''],['Reparto'],Sin Oscar
Janelle Froehlich,1982,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Todd Caryl,No data,[''],['Reparto'],Sin oscar
Gene Amoroso,No data,[''],['Reparto'],Sin oscar
Chloe Bayliss,1991,[''],['Reparto'],Sin Oscar
Deborah Gaffney,No data,[''],"['Reparto', 'Dirección', 'Dirección de fotografía y cámara']",Sin oscar
Kriz Chris Henri Harriz,No data,"['Enthiran', 'SOORIYA, the Legendary Label', '7,9', '5,5']","['Reparto', 'Dirección', 'Casting']",Sin oscar
Kevin Leslie,No data,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Staci Roberts Steele,No data,[''],"['Reparto', 'Producción', 'Dirección']",Sin oscar
Holly Earl,1992,[''],['Reparto'],Sin oscar
Azman Hassan,No data,"['Paloh', 'Pendatang', '2,9', '7,7']","['Reparto', 'Cámara y electricidad']",Sin oscar
Bryce Johnson,1977,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Sudharani,No data,[''],"['Reparto', 'Música']",Sin Oscar
Hsiao-hsuan Chen,1970,[''],['Reparto'],Sin Oscar
Thomas Oraze,No data,['Bad Luck'],['Reparto'],Sin oscar
Amy Warren,1968,[''],['Reparto'],Sin oscar
Eva Birthistle,1974,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Alex Alvarado,No data,"['Elemental Funk', 'The Burglar', '2020', '2019', '2020']","['Dirección de fotografía y cámara', 'Cámara y electricidad', 'Dirección']",Sin oscar
Ben Andrews,1942,"['El hombre de los seis millones de dólares', '1975 • 1 episodio', 'Gil Yarborough', 'Serie de TV', '7,0']",['Reparto'],Sin oscar
