0,1,2,3,4
Roschdy Zem,1965,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Mohammed Idris,No data,"['Endurance', 'Dawn of Hope']","['Dirección', 'Dirección de la segunda unidad o asistencia a dirección']",Sin oscar
Jenson Alappat,No data,[''],['Reparto'],Más en IMDbPro
Maitlyn Pezzo,1999,"['Becoming Lucy', 'Four Hour Layover in Juarez', 'All Who Loved Her', 'Another Assembly']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Producción']",Sin Oscar
Jonathan Lipnicki,1990,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Fares Bakr,No data,"['The Treasure 2', 'Diamond Dust', 'Hamlet Pheroun', 'Welad Rizq']",['Reparto'],Sin oscar
Olesia Shewchuk,No data,[''],"['Reparto', 'Dirección', 'Edición']",Más en IMDbPro
Florist Bajgora,No data,"['The Land Within', 'Besa', '2021 • 10 episodios', '7,5']",['Reparto'],Sin Oscar
Nikki Rae Hallow,No data,[''],"['Reparto', 'Dirección', 'Guion']",Más en IMDbPro
Roland Kickinger,1968,[''],"['Reparto', 'Producción']",Sin Oscar
Paula Garcés,marzo,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Herbert Nordrum,No data,[''],['Reparto'],Más en IMDbPro
Anirban Chakrabarti,No data,[''],['Reparto'],Más en IMDbPro
Amahlia Olsson,No data,['La leyenda de Molly Johnson'],['Reparto'],Sin oscar
Michael C. Hall,1971,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 7 premios Primetime Emmy
Raúl Portero,1982,"['Grimsey', 'La canción pop', '7,5', '5,3']","['Reparto', 'Guion', 'Dirección']",Sin Oscar
Lidia Peroy,No data,"['Volpina', 'Cadáveres para el lunes', '5,4', 'Corto']",['Reparto'],Sin oscar
Christian Alvarez,1986,[''],['Reparto'],Sin oscar
Spencer Watson,No data,[''],"['Reparto', 'Guion', 'Dirección']",Más en IMDbPro
Tristan Chiodetti,No data,['Bruno Reidal. Confesión de un asesino'],['Reparto'],Sin oscar
Haoran Liu,1997,[''],['Reparto'],Sin Oscar
Evan Alex,2008,[''],['Reparto'],Sin Oscar
Constantine Attia,No data,"['El embolao', 'Ze film', 'Samurais', ""L'amour aux trousses""]","['Reparto', 'Guion']",Sin oscar
Bart de Vries,1964,[''],"['Reparto', 'Dirección de producción']",Sin oscar
Rune Temte,1965,[''],"['Reparto', 'Producción', 'Guion']",Sin oscar
Ishan Raval,No data,"['Je Suis Auto', 'Equipos adicionales', '2018', '2021']","['Reparto', 'Equipos adicionales', 'Guion']",Sin oscar
Richard Lancaster,1887,[''],['Reparto'],Sin oscar
Jared Leto,1971,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 1 premio Óscar
Ray Panthaki,enero,[''],"['Reparto', 'Producción', 'Dirección']",Ganó 1 premio BAFTA
Ashish Vidyarthi,1962,[''],['Reparto'],Sin Oscar
Fodor Zsolt,No data,[''],['Efectos visuales'],Sin oscar
Edmund Kwan,No data,[''],"['Reparto', 'Cámara y electricidad', 'Dirección']",Más en IMDbPro
Oscar Flores,No data,"['The Girl Who Believes in Miracles', 'Candy Coated Christmas', '2021']",['Dirección de la segunda unidad o asistencia a dirección'],Sin oscar
Shane Guilbeau,1965,[''],['Reparto'],Sin oscar
Afroz Khan,No data,"['Rat in the Kitchen', '2023', 'Jammin', 'Operation Parindey']","['Guion', 'Dirección de la segunda unidad o asistencia a dirección', 'Dirección']",Sin Oscar
Frances Kniaz,No data,['Pooling to Paradise'],['Reparto'],Sin oscar
Benedict Cumberbatch,1976,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Nominado para 2 premios Óscar
Tania,1988,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Vidya Pradeep,1995,[''],['Reparto'],Sin oscar
Kenny Foudy,No data,"['Ninety Sunsets', 'Bondage Documentary']",['Reparto'],Sin oscar
Imoh Eboh,No data,"['Celebrity Girlfriend', '5,0', '5,8', 'The Griot']","['Reparto', 'Producción']",Sin oscar
Jim Coulson,No data,['Lone Wolf'],['Reparto'],Sin oscar
Jean-Luc Vincent,1973,[''],"['Reparto', 'Guion']",Sin Oscar
Martin Swabey,No data,[''],"['Reparto', 'Guion', 'Efectos especiales']",Sin Oscar
Ganapathi,No data,[''],"['Reparto', 'Guion']",Más en IMDbPro
Teju Ashwini,1995,[''],['Reparto'],Sin oscar
Brian Sy,No data,[''],"['Reparto', 'Banda sonora']",Más en IMDbPro
Mauricio Isaac,No data,[''],['Reparto'],Más en IMDbPro
Darragh Shannon,No data,[''],['Reparto'],Más en IMDbPro
Mukesh Khanna,1958,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Myriem Akheddiou,1978,[''],['Reparto'],Sin Oscar
Katia Kazakova,No data,['Women Do Cry'],['Reparto'],Sin oscar
Prilly Latuconsina,No data,"['Kukira Kau Rumah', 'I Love You Silly', '2021', '2023', '2023']","['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Claudine Vincent,No data,"['Historias de una indecisa', 'Pardon', 'Contre-enquête', 'Vuelta a casa de mi hija']",['Reparto'],Sin oscar
Greg Wave,No data,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Más en IMDbPro
Rio Raj,No data,[''],['Reparto'],Sin oscar
Jazz Chain,No data,['Polvo de gallo'],['Reparto'],Sin oscar
Tamara Acosta,febrero,[''],['Reparto'],Sin Oscar
Ki-Ryung Park,No data,"['La doncella', 'Road to Boston', 'ssi-ssi-ti-bi']",['Reparto'],Sin oscar
Aibar Tangyt,No data,"['Big Little Life', '6,7', 'Miniserie de TV']",['Reparto'],Sin oscar
Angeliki Papoulia,No data,No data,No data,Sin oscar
Barbora Sulova,No data,[''],"['Reparto', 'Producción', 'Dirección']",Más en IMDbPro
Justine Eyre,No data,[''],['Reparto'],Más en IMDbPro
Yfendo van Praag,No data,"['Crows Nest', '2018', '2021', '2017', '2020']",['Reparto'],Sin Oscar
Clarissa Kiste,No data,[''],['Reparto'],Más en IMDbPro
Mae Claire,No data,[''],"['Reparto', 'Guion', 'Producción']",Más en IMDbPro
Yongjian Lin,1970,"['Nie Rongzhen', 'Xi Gengtian de gu shi', 'Li ming zhi qian', '2010', '2012']",['Reparto'],Sin Oscar
Matthew Ewald,1982,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Sam Schragel,No data,"['The Alliance 2 the Hunt for Breeze', '2021', 'Big Trouble in Seattle']","['Reparto', 'Especialistas']",Sin Oscar
Arunas Sakalauskas,No data,[''],['Reparto'],Más en IMDbPro
Maria Morozova,No data,"['La última Bulgaria querida', 'The Heroes']",['Reparto'],Sin oscar
Kevin Rosendo,No data,['5-25-77'],['Reparto'],Sin oscar
Claude Rinckel,No data,['Mourir la paix'],['Reparto'],Sin oscar
Simon Ayache,2009,"['El Bazar de la Caridad', '2019 • 1 episodio', '2021', '2022 • 1 episodio', '2021']",['Reparto'],Sin oscar
Luís Vicente,1953,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Natascha Cridewi-Tol,No data,['Lethal Virus'],['Reparto'],Sin oscar
Frank McCusker,1967,[''],['Reparto'],Sin oscar
Liz Waters,No data,[''],"['Reparto', 'Dirección', 'Edición']",Más en IMDbPro
Julissa Calderon,1989,[''],"['Reparto', 'Producción']",Sin oscar
Ashutosh Rana,1967,[''],"['Reparto', 'Música']",Sin Oscar
Ezra Fontanez,No data,['Pardoned by Grace'],['Reparto'],Sin oscar
Machteld Timmermans,1970,"['F.C. De Kampioenen 3: Kampioenen Forever', 'F.C. De Kampioenen: Kampioen zijn blijft plezant', 'F.C. De Kampioenen 2: Jubilee general', '16+', '2006–2008 • 39 episodios']",['Reparto'],Sin oscar
Alex Francis,No data,"['Gente de barrio', '2007–2012 • 165 episodios', 'Self', 'Especial de TV']",['Reparto'],Sin oscar
Eduardo Martinez Sturla,No data,"['Winter Ball', '(segment ""Prendemos"")', 'Arturo', 'Dueno agencia competencia']","['Reparto', 'Producción', 'Responsable']",Sin oscar
Bojan Navojec,1976,[''],"['Reparto', 'Guion']",Sin Oscar
Shayak Roy,No data,"['Line of Fire', '2020', 'Dirección']",['Dirección'],Sin oscar
Gabi Lopes,1994,"['View', 'O Menino que Matou Meus Pais', 'Carenteners', '2020 • 5 episodios', '2022']","['Reparto', 'Producción', 'Dirección de producción']",Sin Oscar
Maki Teraura,No data,"['Kuronosu Jôntâ no densetsu', '7,7', '7,3']",['Reparto'],Sin oscar
Angelica Leo,No data,"['Sottopelle', 'Fabiana', 'Sofia', 'Segretaria di Darnac']",['Reparto'],Sin oscar
Tamara Tunie,1959,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Shahryar Rumi,No data,['Silver Carnation'],"['Reparto', 'Guion']",Sin oscar
Bradley Gosnell,No data,"['Gun and a Hotel Bible', 'Scooby-Doo', 'Nueve meses', 'Scooby-Doo 2: Desatado']","['Reparto', 'Guion', 'Producción']",Sin Oscar
Donny Damara,No data,"['Lovely Man', 'Rentang Kisah', '2014', 'Pintu Harmonika']",['Reparto'],Sin Oscar
Hong Yuan,1982,[''],"['Reparto', 'Producción']",Sin Oscar
Sai Tamhankar,1986,[''],['Reparto'],Sin Oscar
Lukasz Simlat,1977,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Tyler Riggs,No data,[''],"['Reparto', 'Dirección', 'Guion']",Más en IMDbPro
Cedrick Terrell,No data,[''],['Reparto'],Más en IMDbPro
Mónica Coronel,No data,['Siete semanas'],['Reparto'],Sin oscar
Ricardo Gómez,1994,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Syd Stauffer,No data,[''],['Reparto'],Más en IMDbPro
Jennifer Brofer,No data,[''],"['Producción', 'Reparto', 'Maquillaje']",Más en IMDbPro
Tara Reid,1975,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
