Anya Luchitskaia,No data,"['Attitude', 'Need']",['Reparto'],Sin oscar
Vladescu Antoanela,No data,['Second-Hand'],['Reparto'],Sin oscar
Stewart Morgan,No data,[''],No data,Más en IMDbPro
David Harbour,1975,[''],"['Reparto', 'Producción', 'Banda sonora']",Nominado para 2 premios Primetime Emmy
Yaser Farag,No data,"['Ahlam Umrena', 'Ayshin el-Lahzah', '4,0', '3,3']",['Reparto'],Sin oscar
Kirsten Dunst,1982,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 1 premio Óscar
Steve Ross,1966,[''],No data,Sin oscar
Sarala Kariyawasam,1996,"['Agua', 'Abá']",['Reparto'],Sin Oscar
Keith Knight,1956,[''],"['Reparto', 'Producción']",Sin oscar
Kate Sullivan,No data,[''],"['Reparto', 'Dirección de casting', 'Agente de talentos']",Más en IMDbPro
Bridgette Wilson-Sampras,1973,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin oscar
Ljubomir Dezera,No data,[''],['Reparto'],Más en IMDbPro
Dermot Mulroney,1963,[''],"['Reparto', 'Música', 'Producción']",Sin Oscar
Paula Ficara,No data,[''],['Reparto'],Más en IMDbPro
Shaun Tam,1980,[''],['Reparto'],Sin oscar
Dagny Rieber Borgnes,No data,['37 og et halvt'],['Reparto'],Sin oscar
Pascal Elso,1955,[''],['Reparto'],Sin Oscar
Gary Lewis,1958,[''],"['Reparto', 'Banda sonora']",Nominado a 2 premios BAFTA
Matt Gerald,No data,[''],['Reparto'],Más en IMDbPro
Starla Benford,1964,"['United 93', 'Half Nelson', 'Un crimen perfecto', '13']",['Reparto'],Sin oscar
Paul Anthony,1960,[''],"['Reparto', 'Guion', 'Composición']",Sin oscar
Blerta Cahani,No data,['Tickets'],['Reparto'],Sin oscar
Alexis Pivot,1987,[''],['Reparto'],Sin oscar
Ned Bellamy,1957,[''],"['Reparto', 'Equipos adicionales', 'Banda sonora']",Sin oscar
Colin Firth,1960,[''],"['Reparto', 'Producción', 'Guion']",Ganó 1 premio Óscar
Hrishitaa Bhatt,1981,[''],"['Reparto', 'Producción']",Sin Oscar
Paul Schneider,1976,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Peter Hesse Overgaard,1954,[''],['Reparto'],Sin Oscar
Shreyas Talpade,1976,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Ludivine Sagnier,1979,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Ole Thestrup,1948,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Aino-Maija Tikkanen,1927,"['La corona nupcial', 'Villi Pohjola', 'Onnen saari', '5,2']","['Reparto', 'Equipos adicionales']",Sin oscar
Robin Tunney,1972,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Angela Bettis,1973,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Edo Brunner,1970,"['Dennis P.', 'Rozengeur & wodka lime', '2002–2006 • 27 episodios', '2002', '2005']",['Reparto'],Sin Oscar
Élisabeth Vitali,No data,[''],['Reparto'],Sin oscar
