0,1,2,3,4
András Bálint,1943,"['Boldog születésnapot, Marilyn!', 'Einstein', '1985 • 3 episodios', '1965', '2009 • 3 episodios']","['Reparto', 'Dirección', 'Producción']",Sin oscar
Robert-Joseph Slockee,No data,['Smoke Between Trees'],['Reparto'],Sin oscar
Gaby Espino,1976,[''],['Reparto'],Sin Oscar
Carl Bailey,No data,[''],"['Reparto', 'Especialistas', 'Producción']",Sin Oscar
Marco Masa,2007,[''],['Reparto'],Sin Oscar
Evelyn Bada,No data,"['Time to be a Man', 'Njideka', '2019']",['Reparto'],Sin oscar
Chiara De Angelis,No data,"['Ballatoio n. 5', 'Baby gang']","['Dirección', 'Reparto', 'Guion']",Sin oscar
Daniel Sing,1974,[''],['Reparto'],Sin oscar
Louis Vazquez,2004,[''],['Reparto'],Sin oscar
Kim Jung-hyun,1990,[''],['Reparto'],Sin Oscar
Adithya Menon,1974,"['Karthikeya 2', 'Eega', 'Captain', 'Game On']",['Reparto'],Sin oscar
Emmanuel Courcol,No data,"['El triunfo', 'Alto el fuego', 'Welcome', ""Géraldine je t'aime"", '2013']","['Reparto', 'Guion', 'Dirección']",Sin Oscar
Liam Graham,1987,[''],"['Reparto', 'Arte', 'Especialistas']",Sin Oscar
Junjie Huang,No data,"['San sheng san shi zhen shang shu', '2020 • 10 episodios', 'Zhang Qiling', 'Serie de TV', '6,0']",['Reparto'],Sin Oscar
Megan Hirka,No data,['Burned'],['Reparto'],Sin oscar
Marian Quinn,1964,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Nandhini,No data,"['Aavarampoo', 'Aandal', 'Reparto', '1993']",['Reparto'],Sin oscar
Lan Ke,1972,"['Xing jing zhi hai wai xing dong', '2021', 'Qu Xia', 'Public Relations', 'Soong May-ling']","['Reparto', 'Producción']",Sin Oscar
Chandra Keerthi,No data,['Black'],['Reparto'],Sin oscar
Tariq Imtyaz,1990,"['Barood', '2023', '2022', '2021', '2022']","['Reparto', 'Guion', 'Dirección']",Sin oscar
Haoran Liu,1997,[''],['Reparto'],Sin Oscar
Aliaksei Marmurok,No data,['Nra masin kam te inchpes na chvakhetsav arjits'],['Reparto'],Sin oscar
Bin Liu,No data,"['Di ya cao', 'Wu yu', '7,7']",['Reparto'],Sin oscar
Hoang Yen Chibi,No data,"['Cuoc Xe Nua Dem', 'Cô gái den tu hôm qua', 'That Son Tam Linh', 'Ngoi Nha Buom Buom']",['Reparto'],Sin oscar
Birol Ünel,1961,[''],['Reparto'],Sin Oscar
João Bravo,No data,"['A Força do Querer', '2017 • 104 episodios', 'Peter da Silva', 'Serie de TV', '8,2']",['Reparto'],Sin Oscar
Mónica Gonzaga,1958,"['Espadas de acero', 'Champs 12', '2009 • 3 episodios', '2021', '1986']",['Reparto'],Sin oscar
Eugenio Iovannelli,No data,['Urbano'],No data,Sin oscar
Troy Montero,1977,[''],"['Reparto', 'Equipos adicionales', 'Producción']",Sin oscar
Rafael Landry Tanubrata,No data,"['Bridezilla', 'Susi Susanti: Love All']",['Reparto'],Sin oscar
Charlie,1975,[''],"['Producción', 'Reparto', 'Diseño de vestuario']",Ganó 1 premio Óscar
Yetkin Dikinciler,1969,[''],['Reparto'],Sin Oscar
Ikki Sawamura,1967,"['13 asesinos', 'Miyamoto Musashi', '2014 • 2 episodios', '2004', '2010']","['Reparto', 'Dirección']",Sin oscar
Rajeev Pillai,No data,[''],['Reparto'],Sin oscar
Sean Francis George,No data,[''],"['Reparto', 'Equipos adicionales', 'Dirección']",Sin oscar
Kellen Marcus,No data,[''],['Reparto'],Sin oscar
Himanshu Shah,No data,"['DEV!LL', 'Corto']",['Reparto'],Sin oscar
Magalie Lépine Blondeau,1982,"['Los amores imaginarios', 'Boomerang', '2015–2017 • 30 episodios', '2012', 'Sarah Lenoir']","['Reparto', 'Banda sonora']",Sin Oscar
Rok Vihar,1972,"['Selestenje', 'Ena zlahtna storija', '2017 • 59 episodios', '1997', '2019']","['Reparto', 'Guion']",Sin oscar
Ahmad Fauzan Fikri,No data,['Suporter Masuk Pesantren'],['Reparto'],Sin oscar
Weizhi Wang,No data,"['Xun zhao Lan Xiaocao', 'Serie de TV', 'Serie de TV']",['Reparto'],Sin oscar
Sulong Wang,No data,[''],"['Reparto', 'Banda sonora']",Sin oscar
Andrey Katikov,No data,"[""Sasha's Hell""]",['Reparto'],Sin oscar
Tanya Shahova,1959,"['AkaTaMuS', 'Margarit i Margarita', 'Triumph', 'Maja']","['Reparto', 'Guion']",Sin oscar
Despoina Sarafidou,No data,"['Un toque de canela', 'To 10', '2007 • 1 episodio', '1993', '2019']",['Reparto'],Sin oscar
Ganapathi,No data,[''],"['Reparto', 'Guion']",Sin oscar
Kaydence Houston,No data,[''],['Reparto'],Sin oscar
Matthew Rhodes,No data,[''],['Producción'],Sin oscar
Sébastien Benoist,No data,['Timelife'],['Reparto'],Sin oscar
Dorji Dem,No data,['Lunana. Un yak en la escuela'],['Reparto'],Sin oscar
Bianca Brouwers,No data,['Hemelrijken'],['Reparto'],Sin oscar
Pat Deery,No data,"['Tenías que ser tú', 'Puffball', 'Atrophy', '2012', '2016']",['Reparto'],Sin oscar
Zoe Jazal,No data,"['The Last Sex Lies & Depravity', 'Corto']","['Dirección', 'Reparto', 'Dirección de fotografía y cámara']",Sin oscar
Rio Raj,No data,[''],['Reparto'],Sin oscar
Karina Ielmini,No data,['El Camino Hacia Mi'],['Reparto'],Sin oscar
Latrisha Malone,No data,['A Mil with a Key'],['Reparto'],Sin oscar
Hidetaka Yoshioka,1970,"['Always san-chôme no yûhi', 'Otoko wa tsurai yo: Boku no ojisan', 'Always zoku san-chôme no yûhi', 'Otoko wa tsurai yo: Torajiro no kyuujitsu']","['Reparto', 'Guion', 'Banda sonora']",Sin Oscar
Jessica Quartel,No data,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Yongjian Lin,1970,"['Nie Rongzhen', 'Xi Gengtian de gu shi', 'Li ming zhi qian', '2010', '2012']",['Reparto'],Sin Oscar
Ichirô Ogura,1951,"['De tal padre, tal hijo', 'Sanada Yukimura no bouryaku', 'Jingi naki tatakai: Chôjô sakusen', 'Devilman']",['Reparto'],Sin oscar
Stephen Paul Astor,No data,"['Thursday', 'Samuel Bink', 'Serie de TV', 'Corto']","['Reparto', 'Dirección', 'Producción']",Sin oscar
Dennis Kamitz,No data,[''],['Reparto'],Sin oscar
Masayoshi Yamazaki,1971,"['Romancing SaGa: Minstrel Song', '2005', '2018', '1996', '2002']","['Music Artist', 'Reparto', 'Composición']",Sin oscar
Kabir Naqvi,No data,['Tasweerein'],['Reparto'],Sin oscar
Vikas Pareek,No data,"['Pippa', 'Kasaai', 'Bhobhar - The Live Ash', 'Beend Banugo Ghodi Chadhungo']",['Reparto'],Sin oscar
Hang-Ying Pang,No data,"['Xiao Wei', 'Nin nin yau gam yat', 'Left on Read', '2023 • 1 episodio', '2021']",['Reparto'],Sin Oscar
Samson Cox-Vinell,No data,"['1917', 'Andor', '2022 • 3 episodios', 'Cleaner Maz', 'Serie de TV']",['Reparto'],Sin oscar
N.P. Nisa,No data,[''],['Reparto'],Sin oscar
Sangeeta Duttaa,No data,['Gone Kesh'],['Reparto'],Sin oscar
Mikhail Efremov,1963,[''],['Reparto'],Sin Oscar
Nur Amaliyah,No data,['Suporter Masuk Pesantren'],['Reparto'],Sin oscar
Nikolai Sotirov,1956,"['Levski', 'Hércules: El origen de la leyenda', 'Air Marshal - Policías del aire', 'Terror en el abismo', '2002']","['Reparto', 'Equipos adicionales']",Sin Oscar
Giorgia Del Don,No data,['Love Me Tender'],['Reparto'],Sin oscar
Enara Prieto,No data,"['Tin & Tina', 'La peste', '2019 • 1 episodio', '2018', 'Vecina']",['Reparto'],Sin oscar
Sharmin Segal,1995,[''],"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Sin Oscar
