0,1,2,3,4
Kunchacko Boban,1976,[''],"['Reparto', 'Producción']",Sin Oscar
Victor Ijdens,No data,"['Flikken Maastricht', '2021 • 1 episodio', '2019', 'Hermann Göring (jong)(as Victor IJdens)', 'Wes']",['Reparto'],Sin oscar
Jero Medina,No data,No data,No data,Sin oscar
Dennis Marin,No data,[''],"['Reparto', 'Arte', 'Especialistas']",Sin oscar
Philippe Caland,No data,"['Ripple Effect', 'Mi obsesión por Helena', 'Arrepentimiento', 'In Her Name']","['Producción', 'Reparto', 'Guion']",Sin Oscar
Kunle Busari,No data,"['Pero', 'Olukosi']","['Reparto', 'Equipos adicionales']",Sin oscar
Bryann Alexander,No data,['Jookin'],['Reparto'],Sin oscar
Jehnny Beth,1984,[''],"['Reparto', 'Composición', 'Guion']",Sin Oscar
Stephanie van Eer,No data,"['Spangas', '2015–2018 • 524 episodios', '2018', '2017', '2016']",['Reparto'],Sin oscar
Andrés Lima,1961,"['Policías, en el corazón de la calle', '2000–2003 • 81 episodios', '2006', '2001', 'Dirección']","['Reparto', 'Dirección', 'Guion']",Sin oscar
Juliana Hale,No data,[''],"['Reparto', 'Composición', 'Música']",Sin Oscar
Siddhant Kapoor,1984,"['Ugly', 'Coke', 'Joe', 'Little Rangeela']",['Reparto'],Sin oscar
Silu Seppälä,1954,[''],"['Reparto', 'Música', 'Composición']",Sin Oscar
Willie Taylor,No data,[''],"['Reparto', 'Composición', 'Producción']",Sin oscar
Jia Vaidya,No data,"['Jayeshbhai Jordaar', ""It's Not That Simple"", '2018 • 3 episodios']",['Reparto'],Sin oscar
Leona Clarke,1993,[''],"['Reparto', 'Producción', 'Dirección de producción']",Sin Oscar
Michele Pereira Da Paz,No data,"['Ti mangio il cuore', 'Mixed by Erry', 'Sono Lillo', '2023 • 2 episodios']",['Reparto'],Sin oscar
Tahjjic Smith,No data,"['Just Between Us Girls', '3,8', 'Videoclip', 'Serie de TV']",['Reparto'],Sin oscar
Carlos Berber,No data,[''],"['Guion', 'Dirección', 'Dirección de fotografía y cámara']",Sin Oscar
Al Madrigal,1971,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Varun Sharma,1990,[''],['Reparto'],Sin Oscar
Peggy J. Scott,No data,[''],['Reparto'],Sin oscar
Ramón Langa,1959,"['Los fantasmas de Goya', 'Minotauro', 'El Ministerio del Tiempo', '2015–2016 • 3 episodios', 'XIII(Spanish version, voz)']","['Reparto', 'Equipos adicionales']",Sin Oscar
Elena Bayona,No data,"['Un Encuentro', 'Ni en la más oscura de mis tardes', 'Martha', 'Elena']","['Reparto', 'Dirección', 'Guion']",Sin oscar
Yilin Yang,No data,"['La chanson du dimanche', '2011–2012 • 20 episodios', '2014', 'Zang', 'Cliente chinoise 1']",['Reparto'],Sin oscar
Kevin Patrick McGarry,No data,"['Música a bordo', 'The Fence', ""Fisherman's Friends: One and All""]",['Reparto'],Sin oscar
Emily Sue Bengtson,No data,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Luiza Grigorova,1990,[''],"['Reparto', 'Producción']",Sin Oscar
Vasiliy Mishchenko,1955,[''],"['Reparto', 'Producción', 'Dirección']",Sin oscar
Manjari Fadnnis,1984,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Delia Seriche,No data,"['El efecto Darma', '6,7', 'Gente que no sabe lo que quiere', 'Razas, primer acto']",['Reparto'],Sin oscar
Susan Kurata,No data,"['Sae', 'Mrs. Smith', 'Nurse', 'Nurse']",['Reparto'],Sin oscar
Xavier Jones Sr.,No data,['All 4da Green'],['Reparto'],Sin oscar
Dilan Gwyn,No data,[''],['Reparto'],Sin oscar
Laura Kariuki,1998,[''],['Reparto'],Sin oscar
Luke Wilson,1971,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Eszter Csonka,No data,"['Szelíd', 'Beauty of the Beast']",['Reparto'],Sin Oscar
Arshad Warsi,1968,[''],"['Reparto', 'Guion', 'Dirección de la segunda unidad o asistencia a dirección']",Sin Oscar
Donnie Cornwell,No data,"['ClayFighter 63 1/3', '1997']",['Equipos adicionales'],Sin oscar
Kristina Kostiv,1991,"['El síndrome de Berlín', 'Worldquake', 'DeXit: Der nächste Flüchtling bist du', 'An Ideal to Die For']","['Reparto', 'Maquillaje', 'Producción']",Sin Oscar
Zacharie Chasseriaud,1996,[''],['Reparto'],Sin oscar
Mary Liz Adams,No data,[''],"['Reparto', 'Dirección de fotografía y cámara', 'Producción']",Sin oscar
Honeylet Conlu,No data,[''],['Reparto'],Sin oscar
Ibrahim Bakhait,No data,"['Jacob Tyler', '7,6', 'Videojuego', 'Corto']","['Reparto', 'Producción', 'Guion']",Sin oscar
Václav Hrzina,No data,[''],"['Reparto', 'Guion', 'Dirección']",Sin oscar
Makiko Watanabe,1968,[''],"['Reparto', 'Guion']",Sin Oscar
Ella Morrow,No data,[''],"['Reparto', 'Cámara y electricidad', 'Dirección']",Sin oscar
Patti Negri,octubre,[''],"['Reparto', 'Producción', 'Diseño de vestuario']",Sin oscar
Arlette Najsztat,No data,"['Destin de glace', 'Mother of Michael', 'La mère de Roch(as Arlette Najstat)', 'Pensionnaire Mimosas']",['Reparto'],Sin oscar
Hubert Proulx,No data,[''],['Reparto'],Sin Oscar
Daniel Hadebe,No data,"['Distrito 9', 'Dredd', 'Invictus', 'La bestia']",['Reparto'],Sin oscar
Gwendoline Christie,1978,[''],"['Reparto', 'Casting', 'Producción']",Nominado para 1 premio Primetime Emmy
Ugrram Manju,No data,"['Kabzaa', 'Bypass Road', 'Tootu Madike', 'Rajannana Maga']",['Reparto'],Sin oscar
Maripier Morin,1986,[''],['Reparto'],Sin oscar
Ashlesh,2003,[''],['Reparto'],Sin Oscar
Marit Nissen,1966,"['Bajo el sol de la Toscana', 'La fuga del paraíso', 'Sanatorio', '2019 • 3 episodios', '2008']",['Reparto'],Sin Oscar
Alyssa Riha,No data,[''],"['Reparto', 'Guion y continuidad', 'Vestuario']",Sin oscar
Matteo Pittiruti,No data,"['La música del silencio', 'Leonora addio', 'La vita promessa', '2020 • 1 episodio', 'Reparto']",['Reparto'],Sin oscar
Platon Alekseyev,No data,"['Skvoz vremya', 'Frantsuzskiy master', 'Kiber Ivan', '2023', 'VolodyaVolodya Nezhinskiy']",['Reparto'],Sin oscar
Darren Cain,No data,[''],"['Reparto', 'Producción']",Sin oscar
Jesse Plemons,1988,[''],"['Reparto', 'Música', 'Producción']",Nominado para 1 premio Óscar
Zoey Burger,1999,[''],"['Reparto', 'Dirección de casting', 'Guion']",Sin oscar
Silje Storstein,1984,[''],"['Reparto', 'Guion', 'Cámara y electricidad']",Sin Oscar
Jonni Shandor,No data,[''],"['Reparto', 'Guion', 'Dirección']",Sin oscar
