0,1,2,3,4
Lavinia Bizzotto,No data,"['Ensaio', '5,9', 'O Outro Lado do Paraíso', '2017–2018 • 172 episodios']","['Dirección de casting', 'Reparto']",Sin oscar
Morgan Crew,No data,['Burned'],['Reparto'],Sin oscar
Matthias Mangiapane,1983,"['Promis unter Palmen', '2020 • 7 episodios', 'Ich bin ein Star - Holt mich hier raus!', '2018 • 18 episodios', 'Self - Contestant']",No data,Sin oscar
Jessie Li,1992,[''],"['Reparto', 'Equipos adicionales']",Sin Oscar
Shuming Lu,2022,[''],['Reparto'],Sin oscar
Celia Au,No data,[''],"['Reparto', 'Producción', 'Dirección']",Más en IMDbPro
Azat Akopyan,No data,"['Staffage', '2021', '2021', '2019']",['Reparto'],Sin oscar
Shu-yao Kuo,1990,[''],"['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Don Faro,No data,"['New Year, New Us']",['Reparto'],Sin oscar
Sara Morsey,No data,"['Cash Patients Only', 'Ellen Davidson', 'Edna', 'Cilla Hatcher']",['Reparto'],Sin oscar
Mike Lucock,No data,"['Redada asesina 2', 'Detik Terakhir', 'Golpe en Java', 'Adagium']",['Reparto'],Sin Oscar
Minghao Hou,No data,[''],"['Reparto', 'Banda sonora']",Más en IMDbPro
Marijke Pinoy,1958,"['Ben X', 'De Dag', '2018 • 9 episodios', 'Martha Ceuppens', 'Serie de TV']","['Reparto', 'Equipos adicionales']",Sin oscar
Denise Sapia,No data,[''],['Reparto'],Más en IMDbPro
Chozy Aiyub,1980,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Woohyun Kim,No data,"['Okja', 'Sunrise/Sunset']",['Reparto'],Sin oscar
Lathrop Walker,No data,[''],"['Reparto', 'Guion', 'Producción']",Más en IMDbPro
Grigore Bechet,No data,"['Portretul luptatorului la tinerete', 'Fântânile', '...Ogma', 'Duty Doctor']",['Reparto'],Sin oscar
Edgar Bechter,No data,"['Pasmerkti. Pajurio dziazas', 'Ko nezino vyrai', 'Tarp musu, berniuku', 'Tres segundos']","['Reparto', 'Equipos adicionales']",Sin oscar
Seema Kaushal,1965,[''],['Reparto'],Sin oscar
Viorel Cozma,No data,['Fântânile'],['Reparto'],Sin oscar
Lito Pimentel,1963,[''],['Reparto'],Sin Oscar
Senthikumari,No data,"['Mersal', 'Thoranai', 'Kadaikutty Singam', 'Mandela']",['Reparto'],Sin Oscar
Sébastien Téot,No data,"['Falaises', 'Producción', '2015']","['Producción', 'Dirección', 'Reparto']",Sin Oscar
Dan Zhao,1915,[''],"['Reparto', 'Dirección', 'Guion']",Sin oscar
Baburaj,1970,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Sarah Rose Huckman,No data,[''],['Reparto'],Sin oscar
Varun Sharma,1990,[''],['Reparto'],Sin Oscar
Honey Bane,No data,"['The Last Sex Lies & Depravity', 'Mizz Alison Muncher', '5,7']","['Reparto', 'Música', 'Producción']",Sin oscar
Alzi Markers,No data,"['Virgin', '2022 • 9 episodios', '2019', 'Reparto', 'William']",['Reparto'],Sin oscar
Tom Hendryk,No data,[''],['Reparto'],Más en IMDbPro
Alper Türedi,1971,"['Amor de contrabando', '2014–2015 • 46 episodios', 'Hamza', 'Yanik koza', '2005']","['Reparto', 'Guion']",Sin oscar
Masayoshi Yamazaki,1971,"['Romancing SaGa: Minstrel Song', '2005', '2018', '1996', '2002']","['Music Artist', 'Reparto', 'Composición']",Sin oscar
Steevens Benjamin,No data,"['Perro Bomba', 'Revival', 'Historia y Geografía', '7,2']",['Reparto'],Más en IMDbPro
Manish Rishi,No data,"['Kavaludaari', 'Shaitan', '2023 • 9 episodios', '2017']",['Reparto'],Sin Oscar
Fabian Adeoye Lojede,No data,[''],"['Reparto', 'Producción', 'Dirección']",Más en IMDbPro
Wade Austin,1981,"['Alongside Night', 'Expectation', '2006', 'Producción', 'Self - Presidential Candidate']","['Producción', 'Reparto']",Sin oscar
Alyce Wangari,No data,['Lusala'],['Reparto'],Sin oscar
Marta Kessler,2009,[''],['Reparto'],Sin Oscar
Juan Carlos Nuñez,No data,['Pies Ligeros'],"['Dirección', 'Guion', 'Dirección de fotografía y cámara']",Sin oscar
Vamsi Nekanti,No data,"['Poorna', 'Evvarikee Cheppoddu', 'Ranarangam', 'Fashion Designer S/o Ladies Tailor']",['Reparto'],Sin oscar
Rebecca Todd,No data,[''],['Reparto'],Más en IMDbPro
Shinu Mitra,No data,['Sarvajanikarige Suvarnavakasha'],['Reparto'],Sin oscar
Rodrigo Moreno,1972,"['Los delincuentes', 'El custodio', 'Mala época', 'El descanso']","['Guion', 'Dirección', 'Producción']",Sin Oscar
Francis Cruz,No data,[''],['Reparto'],Más en IMDbPro
Estéban,1956,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Edward Uka,No data,"['The Hustle Is Real', 'Dirección', '2018']","['Dirección', 'Guion', 'Equipos adicionales']",Sin oscar
Chuck Liddell,1969,[''],"['Reparto', 'Transporte']",Sin oscar
Martin Schnippa,No data,"['Das Unwort', 'Nina Fussball Girl', '6,1', 'Corto']",['Reparto'],Sin oscar
Kutay Sahin,1987,"['Arka Sokaklar', '2009 • 1 episodio', 'Mehmet Aslanbey', 'Rus mihmandar', 'Serie de TV']",['Reparto'],Sin oscar
Makiko Watanabe,1968,[''],"['Reparto', 'Guion']",Sin Oscar
Neha Radhakrishnan,No data,['Old Is Gold'],['Reparto'],Sin oscar
Kunle Remi,No data,"['Volcano', 'Dysfunction', '7,4', '7,0']","['Reparto', 'Producción', 'Especialistas']",Sin oscar
Armen Abelyan,No data,"['Nra masin kam te inchpes na chvakhetsav arjits', 'The Glass Trinket', '3,9', 'Andrey', '2006']",['Reparto'],Sin oscar
Bharti Doshi,No data,"['Gone Kesh', 'Best of Luck Nikki', '2012 • 1 episodio']",['Reparto'],Sin oscar
Ryôko Fujino,2000,"['Soromon no gishou', 'Soromon no gishou: Kouhen saiban', 'More Than Words', '2022 • 9 episodios', '2018']",['Reparto'],Sin Oscar
Bimbo Akintola,No data,[''],"['Reparto', 'Dirección']",Sin Oscar
Naoto Ogata,1967,"['Yushun', 'Un asunto de familia', 'Space Battleship Yamato', 'Waga kokoro no ginga tetsudo: Miyazawa Kenji monogatari']",['Reparto'],Sin Oscar
Gwendoline Christie,1978,[''],"['Reparto', 'Casting', 'Producción']",Nominado para 1 premio Primetime Emmy
Bai-Ke,1988,"['Yu jian ni zhen hao', 'Bei guang zhua zou de ren', 'The Three-Body Problem', '2023 • 4 episodios', '2021']","['Reparto', 'Banda sonora']",Sin oscar
Génesis Vernaza,No data,['Voy por ti'],['Reparto'],Sin oscar
Takuya Kusakawa,1994,"['Ultraman Ginga', '2013–2014 • 20 episodios', '2010', '2013', '2014']",['Reparto'],Sin oscar
Gracy Singh,1980,[''],"['Reparto', 'Música']",Sin Oscar
