0,1,2,3,4
Suryakant Tyagi,No data,"['Final Decision', 'Sarkari Baccha']","['Cámara y electricidad', 'Dirección', 'Dirección de fotografía y cámara']",Sin oscar
Ly Huong,No data,"['Love Triangle (AU)', '2022 • 8 episodios']",No data,Sin oscar
Steven Farris,No data,"['Fighting the Sky', 'The Wind Is Watching', 'The Wrath of Rebecca Taylor', 'Vincent Crawley']","['Reparto', 'Dirección de casting', 'Casting']",Sin oscar
Imogen Poots,1989,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Mai Thu Trang,No data,['Giac Mo My'],['Reparto'],Sin oscar
Shankar Borua,No data,"['Grief on a Sunday Morning', 'Dirección', '2017', '2002']","['Dirección', 'Guion', 'Producción']",Sin oscar
Mauricio Alemañy,No data,"['Extorsión', 'Extra Terrestres', 'Prótesis', 'StartUp', '2017 • 1 episodio']",['Reparto'],Sin oscar
Chubatemjen,No data,['Nana: A Tale of Us'],['Reparto'],Sin oscar
B. Jayashree,No data,"['Mookajjiya Kanasugalu', 'Kariya', 'Maasthi Gudi', 'Durgi']",['Reparto'],Sin Oscar
Urmila Mahanta,No data,[''],['Reparto'],Sin Oscar
Tony Blair,1953,[''],['Reparto'],Sin oscar
Toni Garson,No data,[''],"['Reparto', 'Guion', 'Cámara y electricidad']",Sin oscar
Lizelle Gutierrez,No data,[''],"['Reparto', 'Producción', 'Dirección']",Sin oscar
Francine Mancini,No data,"[""Papi's Promise""]",['Reparto'],Sin oscar
Jamel Madani,No data,"['Dicta Shot', 'Winou Baba?', 'Fin Décembre', 'Cinecitta']",['Reparto'],Sin oscar
Michael Hall,1968,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Ross Lynch,1995,[''],"['Reparto', 'Música', 'Composición']",Sin Oscar
Philip Barton-Grimley,No data,"[""Elijah's Ashes""]",['Reparto'],Sin oscar
William Sheals,No data,"['Cancer', 'Sunday Morning Rapture']","['Dirección', 'Producción', 'Reparto']",Sin oscar
Ian Roberts,1965,[''],"['Reparto', 'Guion', 'Producción']",Ganó 1 premio Primetime Emmy
Zethu Dlomo-Mphahlele,1989,[''],['Reparto'],Sin Oscar
Mary Lynn Rajskub,1971,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Phillip Embrey,No data,"['The Con Game', 'By Any Name', 'The Man in the Mask', 'Reparto']",['Reparto'],Sin oscar
Christian Paredes,No data,['GEN Hi8'],['Reparto'],Sin oscar
Alison Bartlett,julio,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Kelechi Udegbe,No data,"['Collision Course', 'Mami Wata', 'Behind the Wheels', '5,8']","['Reparto', 'Producción', 'Especialistas']",Sin Oscar
David DeLao,No data,[''],['Reparto'],Sin oscar
Alaïs Lawson,No data,[''],"['Reparto', 'Producción']",Sin oscar
Jamie Black,1991,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Michael Mullen,No data,"['Kung Fu Panda: La leyenda de Po', '2011–2016 • 28 episodios', '1999', 'Dirección', 'Serie de TV']","['Dirección', 'Arte', 'Guion']",Nominado para 1 premio Primetime Emmy
Zara Symes,1984,[''],"['Guion', 'Reparto', 'Dirección']",Sin Oscar
Danny Kuttappa,No data,"['Gadayuddha', 'Hebbuli', 'Yaare Koogadali', 'Bharaate']",['Reparto'],Sin oscar
Daniel O'Shea,No data,[''],"['Reparto', 'Producción']",Sin oscar
Per Sandberg,1962,"['Anderssons älskarinna', '2001 • 4 episodios', '1997', '1998', '1995']",['Reparto'],Sin oscar
Paniz Norozi,No data,['Eternal sleep'],['Reparto'],Sin oscar
Uti Nwachukwu,No data,"['Breathless', 'Producción', '2012', '2017']","['Reparto', 'Producción']",Sin Oscar
Anthony Williams,1966,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Burgess Jenkins,1973,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Arpitha Gowda,No data,"['Vijayaratha', 'Mana Manthana', '7,2']",['Reparto'],Sin oscar
Seu Jorge,1970,[''],"['Music Artist', 'Música', 'Reparto']",Sin Oscar
Will Tilston,No data,[''],['Reparto'],Sin Oscar
Brett Houdek,No data,[''],"['Reparto', 'Equipos adicionales', 'Dirección de casting']",Sin oscar
Conor Murphy,No data,[''],"['Reparto', 'Dirección de casting']",Sin oscar
Rukiye Malçiçek,No data,"['Katre', 'Bizim Küçük Günahlarimiz']",['Reparto'],Sin oscar
Nikita Gogoi,No data,['Sand - The Love Without Trust'],['Reparto'],Sin oscar
Andrea Guasch,1990,[''],['Reparto'],Sin oscar
Androulla Irakleous,No data,"['Meli kai krasi', 'Antio, koproskyla!', '7,5', '6,9']",['Reparto'],Sin Oscar
Hamilton Dlamini,No data,"['Isithembiso', '2017–2018 • 717 episodios', '2006', 'Brig. Hector Zwane', 'Serie de TV']","['Reparto', 'Música']",Sin Oscar
Eddie Rocky Rivera,No data,[''],"['Reparto', 'Sonido', 'Dirección']",Sin oscar
David Darmstetter,No data,['A Thousand Junkies'],['Reparto'],Sin oscar
Darren Keefe Reiher,1975,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Rob Morgan,1973,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Ed Sanders,1993,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Janusz Chabior,1963,[''],"['Reparto', 'Música']",Sin Oscar
Harold Gilliland,No data,['The Nobodies'],['Reparto'],Sin oscar
Reilly O'Byrne-Inglis,No data,"['One Less God', 'Ramble', 'The Magpie Complex', 'Corto']","['Reparto', 'Producción']",Sin oscar
Irina Björklund,1973,[''],"['Reparto', 'Música', 'Guion']",Sin Oscar
Jorge Román,No data,"['El bonaerense', 'Monzón', '2019 • 7 episodios', '2019', '2019']",['Reparto'],Sin Oscar
Bokavi Swu,No data,['Nana: A Tale of Us'],['Reparto'],Sin oscar
Taryn Schubert,1985,"['The Funhouse Massacre', 'Beautiful Garden', 'Get Serious', ""The Devil's Filmmaker: Bohica""]",['Reparto'],Sin oscar
Alejandro Lopez,1967,"['Corazón valiente', '2012 • 88 episodios', 'El Súper Javi', 'Serie de TV', '8,3']",['Reparto'],Sin oscar
Gabrielle Dennis,octubre,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Ed Oxenbould,2001,[''],['Reparto'],Sin Oscar
Fawzia Mirza,No data,[''],"['Dirección', 'Guion', 'Producción']",Sin Oscar
José Martins,1952,"['Amor Impossível', 'Poderosas', '2015–2016 • 295 episodios', 'Veríssimo Caroço', 'Serie de TV']","['Equipos adicionales', 'Reparto', 'Dirección']",Sin Oscar
Dua Hegazi,No data,"['Rassayel el bahr', 'Al-raghba', 'El-Funduq', '2,5']",['Reparto'],Sin oscar
Ellar Coltrane,1994,[''],"['Reparto', 'Arte', 'Producción']",Sin Oscar
Beau Smith,No data,"['Gamer: juegan contigo', 'Los asesinos de la luna', 'Todos queremos algo', 'The Bounty Men']","['Reparto', 'Casting', 'Música']",Sin Oscar
David Schroeder,No data,[''],"['Reparto', 'Equipos adicionales', 'Especialistas']",Sin oscar
Justine Francis,No data,[''],['Reparto'],Sin oscar
Hugh Jackman,1968,[''],"['Reparto', 'Producción', 'Equipo ejecutivo']",Nominado para 1 premio Óscar
Girish Pardeshi,No data,"['Shri Krishna', '1993–1997 • 216 episodios', '2022', '2019']","['Reparto', 'Equipos adicionales']",Sin oscar
Anna Luca Biani,1991,"['Freaky Deaky', 'Voice', 'Heroine(as Anna Gurji)', 'JennyIrisKate']","['Reparto', 'Producción', 'Guion']",Sin oscar
Fernanda Monrroy,No data,['Fausto'],['Reparto'],Sin oscar
Naura Ayu,No data,"['Naura & Genk Juara the Movie', '7,7', '5,9']",['Reparto'],Sin Oscar
Queen Nwokoye,No data,"['Chetanna', 'Ujuka', 'Alice', '2019']",['Reparto'],Sin Oscar
Chris O'Dowd,1979,[''],"['Reparto', 'Producción', 'Guion']",Ganó 1 premio Primetime Emmy
Elena Sanz,No data,[''],['Reparto'],Sin oscar
Suzanne Savoy,febrero,[''],['Reparto'],Sin Oscar
M. Krishna Master,No data,['Trigger'],['Reparto'],Sin oscar
Sitora Alimjanova,No data,"[""Yo'qotilgan jannat"", 'Reparto', '2017']",['Reparto'],Sin oscar
Shivani Joshi,No data,"['Blue Oranges', 'Mai', 'Banned', '2018 • 13 episodios', 'Poonam']",['Reparto'],Sin oscar
Santiago Scauso,No data,"['Ensemble', 'Muchacho', 'Fuel Station employee']","['Reparto', 'Dirección', 'Equipos adicionales']",Sin oscar
Erin Evans,1982,[''],"['Reparto', 'Cámara y electricidad']",Sin oscar
Ratna Malay,No data,"['Lakshya', 'Black Widow: A Land Bleeds']",['Reparto'],Sin oscar
Bryce Harper,No data,"['El juego de Gerald', 'Siphon', 'Belton County', ""Whistler's Mother"", '2018']",['Reparto'],Sin oscar
Campbell Scott,1961,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
