0,1,2,3,4
Ana Paula Málaga,No data,"['O Touro', 'Solange', 'Corto', '8,2']","['Producción', 'Dirección de arte', 'Diseño de producción']",Sin oscar
Agnès Jaoui,1964,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Bai-Ke,No data,"['An Le Zhuan', '2023', 'Reparto']",['Reparto'],Sin oscar
Tim Dang,No data,"['Summer Time Rendering', '2022 • 17 episodios', 'Additional Characters(voz)', 'Serie de TV', '8,7']","['Reparto', 'Producción', 'Dirección']",Sin oscar
Andrés García Jr.,1968,[''],['Reparto'],Sin oscar
Vijilesh Karayad,No data,[''],['Reparto'],Sin oscar
Arty Froushan,1993,[''],['Reparto'],Sin oscar
Naomi Göransson,No data,['Barfota Rop'],['Reparto'],Sin oscar
Avaryana Rose,No data,[''],"['Reparto', 'Producción', 'Casting']",Sin Oscar
Jonni Shandor,No data,[''],"['Reparto', 'Guion', 'Dirección']",Sin oscar
Kathleen McNenny,1962,[''],"['Reparto', 'Producción']",Sin oscar
Balugto Necosia,No data,['Boy from Nowhere'],['Reparto'],Sin oscar
Subeer Kasali,No data,"['Ab Ye Galtiyan Na Ho', '4,3', 'Who Am I', 'Kumkum Bhagya', '2018 • 3 episodios']",['Reparto'],Sin oscar
Constance McCracklin,No data,[''],['Reparto'],Sin oscar
Dennis Perez Ramirez,No data,['The Machete'],['Reparto'],Sin oscar
Sean Mitchell,No data,['Roedores: La comida de los dioses II'],['Reparto'],Sin oscar
Sylwia Achu,No data,"['Despiértate', '2021 • 1 episodio', 'Inez', 'Reporter', ""'Snowflake'""]",['Reparto'],Sin oscar
Ian Wojo,No data,['Loser'],['Reparto'],Sin oscar
Kianna Johnson,No data,['Dirty Game'],['Reparto'],Sin oscar
Camila Vives,No data,"['Noche Americana', 'Veneza', 'Iosi, el espía arrepentido', '2022 • 8 episodios']",['Reparto'],Sin oscar
Yolanda Dare Williams,No data,"['Back Door Santa', 'Single AF!', 'Friends and More', 'Slice']",['Reparto'],Sin oscar
Lorena Damonte,1976,"['Un paraíso para los malditos', 'En el futuro', 'Pompeya', 'Días de vinilo']",['Reparto'],Sin oscar
Wilma Bonet,No data,"['Asesinato en 8 mm', 'Más allá de los sueños', 'Jack', 'Elemental']","['Reparto', 'Equipos adicionales']",Sin oscar
Louis Garrel,1983,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Vino G. Bastian,1982,"['Radit & Jani', 'Sabar Ini Ujian', 'Miracle in Cell No. 7', 'Toba Dreams']","['Reparto', 'Producción', 'Banda sonora']",Sin Oscar
Yusuke Takahashi,No data,No data,No data,Sin oscar
Mylène Wagram,No data,"['Les Rascals', 'África paradis', 'El rey de las sombras', 'De Grâce']",['Reparto'],Sin oscar
Ciana Wright,No data,['Unplugged'],['Reparto'],Sin oscar
Maki Sakai,1970,"['Gozonji! Fundoshi zukin', 'Kako Harada', 'Mieko Toyama', 'Serie de TV']",['Reparto'],Sin Oscar
Gerda Pikali,1978,"['129', 'I Love Budapest', 'Montecarlo!', 'Kojot négy lelke']",['Reparto'],Sin oscar
Oscar Kightley,No data,[''],"['Guion', 'Reparto', 'Dirección']",Sin Oscar
Disha Patani,1992,[''],"['Reparto', 'Publicista']",Sin Oscar
Rituraj Singh,1964,[''],['Reparto'],Sin Oscar
Jing Wu,1974,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Holly Simpson Gonzalez,No data,['Muzzled'],['Reparto'],Sin oscar
Woo Jung-won,1983,[''],['Reparto'],Sin oscar
Magdalena Boczarska,1978,[''],"['Reparto', 'Producción', 'Dirección de producción']",Sin Oscar
Tads Obach,No data,[''],"['Reparto', 'Edición', 'Cámara y electricidad']",Sin Oscar
Mirchi Kiran,No data,"['118', 'Majnu', 'Jaanu', 'Highway']","['Reparto', 'Guion', 'Guion y continuidad']",Sin oscar
Waldemar Schultz,No data,"['Mi primer beso', 'Mi primer beso 2', 'Safari por Navidad', 'Die Byl', '2019–2022 • 34 episodios']",['Reparto'],Sin oscar
Miguel Rodriguez,1997,"['Ibulong mo sa Diyos', 'Caza mortal', 'The Elsa Castillo story... Ang katotohanan', 'Di mapigil ang init']",['Reparto'],Sin Oscar
Lovay Robinson,No data,"['Three Secrets', 'Lisa Davenport', '2022', '2023']",['Reparto'],Sin oscar
Natália Luiza,1960,"['O Luto de Electra', '7,6', 'O Crime do Padre Amaro', '2023 • 5 episodios', '1994 • 1 episodio']","['Reparto', 'Equipos adicionales']",Sin oscar
Danielle Burr,No data,"['Origin', 'Never Alone', '4,1', '3,0']","['Reparto', 'Equipos adicionales', 'Especialistas']",Sin oscar
Batmend Baast,No data,"['The Messenger Karakorum', 'Chingisiin huuhduud', 'Winter Story']","['Reparto', 'Producción']",Sin oscar
Chhaya Kadam,No data,[''],['Reparto'],Sin Oscar
