0,1,2,3,4
,1928,[''],['Reparto'],Ganó 4 premios Primetime Emmy
Jessica Baglow,1989,[''],['Reparto'],Sin oscar
Buster Nowotny,No data,['Så jävla easy going'],['Reparto'],Sin oscar
Rohit Choudhary,No data,[''],['Reparto'],Sin oscar
Emil von Schönfels,2002,"['Stambul Garden', 'Monuments Men', 'You Are Wanted', '2018 • 1 episodio', '2013']",['Reparto'],Sin Oscar
Irene Bates,No data,['Duérmete niño'],['Reparto'],Sin oscar
Lindsey Marie Wilson,No data,[''],['Reparto'],Sin oscar
Prithvik Pratap,No data,"[""Class of '83"", 'Despatch', '8,2', 'Wake Up']",['Reparto'],Sin oscar
Derrick 'Deuce' Keys,No data,['Jookin'],['Reparto'],Sin oscar
M.S. Chowdary,No data,"['Na Bhayam Na Lajja', 'Aadiguruvu Amma', '7,0', '6,3']","['Reparto', 'Dirección', 'Producción']",Sin oscar
Shantanu Maheshwari,1991,[''],['Reparto'],Sin Oscar
Oona Yaffe,No data,[''],['Reparto'],Sin oscar
Tikima Bowers,No data,"[""Through Mother's Eyes"", ""Through A Mother's Eyes""]",['Reparto'],Sin oscar
Sewell Whitney,No data,[''],['Reparto'],Sin oscar
Elijah Sholanke,No data,[''],['Reparto'],Sin oscar
Victoria Adekoya,No data,['Who Sent You'],"['Reparto', 'Guion', 'Producción']",Sin oscar
Justiin Davis,No data,[''],['Reparto'],Sin oscar
Ines Høysæter Asserson,2001,[''],"['Reparto', 'Dirección de arte', 'Cámara y electricidad']",Sin Oscar
Ruslaan Mumtaz,1982,[''],['Reparto'],Sin Oscar
Laura Austin,No data,[''],['Reparto'],Sin oscar
Mark Kirksey,No data,['Licorice Pizza'],['Reparto'],Sin oscar
Lujza Hajdu,No data,"['Melegvizek országa', 'Békeidõ', 'Ernelláék Farkaséknál', 'Most of the Souls That Live Here']","['Reparto', 'Sonido', 'Equipos adicionales']",Sin oscar
Tola Lawal,No data,[''],"['Reparto', 'Decoración', 'Equipos adicionales']",Sin oscar
Sope Dirisu,1991,[''],['Reparto'],Nominado a 1 premio BAFTA
Nicole D'Amato,No data,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Sin oscar
Toryn Isabella Coote,No data,[''],['Reparto'],Sin oscar
João Pedro Vaz,1974,[''],"['Reparto', 'Guion', 'Equipos adicionales']",Sin Oscar
Eline Vey,No data,"['Volta', 'Corto', 'Reparto']",['Reparto'],Sin oscar
Joju George,1978,[''],"['Reparto', 'Producción', 'Música']",Sin Oscar
Kubilay Karslioglu,No data,[''],['Reparto'],Sin Oscar
Abrina Leonhard,No data,"['Frost', 'Corto', 'Corto', 'Corto']",['Reparto'],Sin oscar
Merritt Vann,No data,[''],"['Reparto', 'Producción', 'Guion']",Sin oscar
Yash Rohan,No data,[''],"['Reparto', 'Guion', 'Dirección']",Sin oscar
Wolf Maya,1953,"['Senhora do Destino', '2004–2005 • 75 episodios', 'Dirección', 'Serie de TV', '7,4']","['Dirección', 'Reparto', 'Producción']",Sin Oscar
Hampus Ibohm,No data,"['Den som lever får se', 'Miniserie de TV', '6,6', 'Midnattsteatern', '2019']","['Reparto', 'Equipos adicionales']",Sin oscar
Andie MacDowell,1958,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Jawad Outoui,No data,"[""Goutte d'or""]",['Reparto'],Sin oscar
Diego Calva,1992,[''],"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Cámara y electricidad']",Sin Oscar
Nikita Tarasov,1979,[''],['Reparto'],Sin oscar
Bitota,No data,[''],"['Reparto', 'Guion']",Sin oscar
Harper Choate,No data,['Tenkiller'],['Reparto'],Sin oscar
Tilly Keeper,1997,[''],['Reparto'],Sin Oscar
Tony Barbadose,No data,[''],"['Guion', 'Reparto']",Sin oscar
Irvin Alberti,No data,"['Arrobá', 'Negocios son negocios', 'Cuentas Por Cobrar', 'Sola a los 40']",['Reparto'],Sin oscar
Morten Burian,1974,[''],['Reparto'],Sin Oscar
Samantha Radcliffe,No data,"['Second Chances', 'Guardians', 'Julie', 'Equipos adicionales']","['Reparto', 'Equipos adicionales']",Sin oscar
Darbha Appaji Ambarisha,1964,[''],['Reparto'],Sin oscar
Katrina Kreslina,No data,['Masas'],['Reparto'],Sin oscar
Kate Hudson,1979,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 1 premio Óscar
Felix Herngren,1967,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Ilya Dombrovskiy,No data,"['Luz de sol caliente', 'Krym', 'Svoya voyna. Shtorm v pustyne', 'Nauchi menya zhit', '2016']",['Reparto'],Sin oscar
Jasper Keen,No data,[''],['Reparto'],Sin oscar
Bas Rutten,1965,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Sin oscar
Mariya Karpova,1992,[''],"['Reparto', 'Casting']",Sin oscar
Stella Arranz,No data,"['Mantícora', 'Águila Roja', '2013 • 2 episodios', 'Ayudante de Mago', 'Serie de TV']",['Reparto'],Sin oscar
Taylor Fraser,No data,"['Young Ronin', 'Young Ronin II']",['Reparto'],Sin oscar
Radha Ravi,No data,[''],"['Reparto', 'Música', 'Producción']",Sin oscar
Blaise Ludik,No data,"['Sin respiro', 'Milky Way', ""Belle comme la femme d'un autre"", 'Misterio en Saint-Tropez']",['Reparto'],Sin oscar
Grace Neema Enock,No data,"[""Questa notte parlami dell'Africa""]",['Reparto'],Sin oscar
Phillip Andry,No data,"['Downshift', 'Cut&Run', '2022', '2018']",['Reparto'],Sin oscar
Lee Baptiste,No data,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
James E. Clark,No data,[''],"['Reparto', 'Guion']",Sin oscar
Jani Blom,No data,[''],"['Reparto', 'Cámara y electricidad']",Sin oscar
Socorro Loeza,No data,"['Del Manantial del Corazón', 'Corto']",['Reparto'],Sin oscar
Yannie Sukarya,No data,['Falsehood'],['Dirección de fotografía y cámara'],Sin oscar
Kazi Khuboni,No data,"['La bestia', 'Recipes for Love and Murder', '2022 • 10 episodios', '1 episodio', '2016']",['Reparto'],Sin oscar
Annette Gromala,No data,[''],['Reparto'],Sin oscar
Hiather Darnel-Kadonaga,No data,['V F C'],['Reparto'],Sin oscar
