0,1,2,3,4
,1928,[''],['Reparto'],Ganó 4 premios Primetime Emmy
Michael Isokpan,No data,"['Edo Decree 1440', '9,8', 'James', 'Olotu']",['Reparto'],Sin oscar
Liz Mohun,No data,['Flower'],['Reparto'],Sin oscar
Brian Markinson,1961,[''],"['Reparto', 'Producción']",Sin Oscar
Drew Denny,1984,[''],"['Dirección', 'Producción', 'Reparto']",Sin Oscar
Amrutha Rao,No data,"['Who:3', 'Reparto']",['Reparto'],Sin oscar
Barbora Cernotová,No data,['Tehdy spolu'],['Reparto'],Sin oscar
Susan Duerden,septiembre,[''],['Reparto'],Sin oscar
Channegowda,No data,"['Thithi', 'Tharle Village', 'Reparto', '2017']",['Reparto'],Sin oscar
Paul Mattia,No data,"['The Shakespeare Series', '2013 • 1 episodio', '2008', 'Background', '2017']","['Reparto', 'Dirección de fotografía y cámara']",Sin oscar
Kevin Interdonato,1979,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Hokuto Matsuda,No data,"['Ninpu Sentai Hurricaneger: 10 Years After', '2013', 'Kodoku no gurume', '2015 • 1 episodio', 'Reparto']",['Reparto'],Sin oscar
Mac Van Khoa,No data,"['Vo Oi ... Em O Dau?', '6,4', '5,5', '5,9']",['Reparto'],Sin oscar
Jordi Rico,No data,[''],['Reparto'],Sin oscar
Jurgen Delnaet,1972,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Siobhan Fallon Hogan,1961,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Sylvester Darnell,No data,"['Auction Block', 'What Is Love?', 'Corto', '8,1']","['Reparto', 'Guion', 'Producción']",Sin oscar
Samantha Dixon,No data,[''],No data,Sin oscar
Angela Schijf,1979,[''],"['Reparto', 'Música']",Sin Oscar
Sinikka Moilanen,No data,"['Rendel 2: Cycle of Revenge', 'Cámara y electricidad']",['Cámara y electricidad'],Sin oscar
Bill Sage,1962,[''],"['Reparto', 'Producción']",Sin Oscar
Idris Ali,No data,"['Ashab wala business', ""Awlad Harim Karim (The Children of Karim's Ladies)"", ""Doctor Omar's Gang"", 'Harim Karim']","['Dirección', 'Dirección de la segunda unidad o asistencia a dirección', 'Reparto']",Sin oscar
