Adam Allfrey,No data,"['Instinto básico 2. Adicción al riesgo', 'Endgame', 'Testigo mudo', '2001 • 1 episodio', 'Avi']",['Reparto'],Sin oscar
Sheila Goold,No data,"['Riven: The Sequel to Myst', '1997', '1996', '2014', '2016']",['Reparto'],Sin oscar
Jaromír Dulava,1960,[''],"['Reparto', 'Banda sonora']",Sin oscar
Marek Kondrat,1950,[''],"['Reparto', 'Dirección']",Sin Oscar
Jay Manalo,No data,[''],"['Reparto', 'Producción']",Sin Oscar
Marianne Holter,No data,"['Dead world: A zombie miniseries', '2017']",['Reparto'],Sin oscar
Nasir Khan,No data,[''],"['Reparto', 'Maquillaje']",Sin oscar
Anneke Blok,1960,[''],['Reparto'],Sin Oscar
Mu-Tsuen Yen,No data,['Wo jiao A-Ming la'],['Reparto'],Sin Oscar
David Paymer,1954,[''],"['Reparto', 'Dirección', 'Producción']",Nominado para 1 premio Óscar
Peter Spellos,1954,[''],"['Reparto', 'Cámara y electricidad', 'Equipos adicionales']",Sin oscar
Brian J. Burchill,No data,"['Extraños en el paraíso', 'Acts of Worship', 'Manhattan by Numbers', 'Beyond Repair']","['Reparto', 'Producción']",Sin oscar
Andre Khabbazi,1975,"['Circuit', 'Days of Our Lives', '2017–2019 • 15 episodios', 'Alec MorettiVan', 'Serie de TV']",['Reparto'],Sin oscar
Aurore Giradolle,No data,"[""Carrément à l'Ouest""]",['Reparto'],Sin oscar
Richard Blake,1983,[''],"['Reparto', 'Guion', 'Dirección']",Sin oscar
Mary McCormack,1969,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Lisa Martinek,1972,[''],['Reparto'],Sin Oscar
Ethan Suplee,1976,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Mohamed Hamaidi,No data,"['Lejos', 'Les braqueuses', ""L'autre côté de la mer"", 'Commissaire Moulin', '1996 • 1 episodio']",['Reparto'],Sin Oscar
Judit Matatek,1976,['Vakvagányok'],['Reparto'],Sin oscar
Gabriel Anaya,No data,"['Los hombres de verdad no lloran', '2017']",['Producción'],Sin oscar
Jared Smith,No data,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Hairi Katagiri,1963,[''],['Reparto'],Sin oscar
Caterina Scorsone,1981,[''],['Reparto'],Sin Oscar
Giannis Theodorou,No data,"['The Road to Ithaca', 'To tama']",['Reparto'],Sin oscar
Richard J. Clifford,No data,"['Brigham City', 'Papá canguro 2', 'Santos y soldados', 'The Haunted Swing']","['Reparto', 'Arte']",Sin oscar
Kevin Duhaney,1984,[''],['Reparto'],Sin oscar
Rie Tomosaka,1979,"['Sentimental City Marathon', '6,6', '5,1', '7,1']","['Reparto', 'Banda sonora']",Sin oscar
Stefanie Mühlhan,1978,"['La princesa y el guerrero', 'En el lugar del crimen', '1999–2007 • 2 episodios', '2017', '2001']","['Reparto', 'Guion']",Sin oscar
Stellan Skarsgård,1951,[''],"['Reparto', 'Producción', 'Guion']",Nominado para 1 premio Primetime Emmy
Joonas Nordman,1986,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Bobbie Eakes,1961,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Bryan Donoghue,No data,[''],"['Reparto', 'Producción', 'Arte']",Sin oscar
Lhakpa Tsering,No data,"['Samsara', 'Valley of Flowers', 'Above All Else: The Everest Dream', 'When the Dragon Swallowed the Sun']","['Reparto', 'Dirección de fotografía y cámara']",Sin oscar
Chip Hajel,No data,"['Kottentail', 'High Point', 'Losing Hope']","['Reparto', 'Producción']",Sin oscar
Aoi Tada,1981,"['Cowboy Bebop: La película', 'Cowboy Bebop', '1998–1999 • 16 episodios', 'TerriermonGalgomonLopmon', 'Videojuego']","['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Sam Robards,1961,[''],"['Reparto', 'Producción']",Sin Oscar
Melanie Lynskey,1977,[''],"['Reparto', 'Banda sonora']",Nominado para 3 premios Primetime Emmy
Jim J. Bullock,1955,[''],['Reparto'],Sin Oscar
Maho Toyota,1967,"['Catch a Wave', 'Gendai ninkyoden', 'Reparto', 'Reparto']",['Reparto'],Sin oscar
Adrian Grenier,1976,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Yvette Nipar,octubre,[''],['Reparto'],Sin oscar
Linda Wang,No data,[''],"['Reparto', 'Equipos adicionales', 'Producción']",Sin oscar
Alonso Oyarzun,1976,"['Galáctica, estrella de combate', '2004–2005 • 8 episodios', '2000', '2000', 'Socinus']",['Reparto'],Sin oscar
Jin-hee Han,1949,[''],['Reparto'],Sin oscar
Miquel García Borda,No data,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Jasmine Trinca,1981,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Felicity Price,No data,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Anatol Yusef,1978,[''],"['Reparto', 'Dirección', 'Edición']",Sin Oscar
Ahmed Khuram,No data,['Happiness Is a Warm Gun'],['Reparto'],Sin oscar
