,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2013,1149,103,77,48,53,40,46,44,39,43,29,34,44,44,34,57,59,64,96,90,110,117,119,114,120,142,153,166,166,197,223,218,251,307,345,374,433,457,489,581,584,675,788,833,941,1112,1191,1348,1490,1654,1762,1861,2077,2186,2292,2482,2596,2629,2680,2859,3190,3200,3262,3648,4075,4432,4153,4601,4837,5383,5473,4862,5809,6173,5719,7244,8561,9684,10414,11789,12939,13543,14573,15219,15692,15825,16376,15936,16131,15175,14620,13153,11262,9182,7142,6196,4849,3756,2911,2167,4129
2014,1202,94,69,44,45,46,38,47,33,21,29,33,36,45,61,51,55,59,82,96,120,125,130,128,125,127,134,150,157,165,209,243,245,302,316,331,353,409,472,505,611,674,727,839,934,1094,1168,1291,1455,1631,1711,1846,1986,2078,2307,2520,2605,2633,2768,2929,3077,3356,3454,3509,3721,4281,4653,4401,5005,5228,5767,5710,5239,6279,6647,6228,7545,9424,10370,11330,12633,13657,14478,15376,15928,16475,16350,16552,16159,15670,15087,13933,12227,10200,8296,6145,5102,3967,3001,2259,4276
2015,1117,80,58,39,29,41,35,38,40,40,35,33,36,45,43,55,61,77,81,100,94,102,102,126,123,139,132,153,162,181,163,206,237,245,297,331,400,418,479,506,560,635,734,828,863,1010,1066,1278,1409,1506,1726,1932,2029,2161,2301,2546,2669,2943,2959,3144,3226,3213,3666,3630,3757,3991,4636,5076,4875,5466,5949,6236,6256,5739,6899,7276,6862,8752,10461,11873,12740,14320,15650,16346,17350,17869,18162,17938,17859,17211,16707,15164,13869,12156,9555,7682,5529,4541,3386,2452,5105
2016,1097,109,55,31,44,36,38,25,34,39,32,35,36,34,38,60,72,57,76,111,100,84,116,121,110,109,145,151,140,172,216,208,202,255,287,314,362,399,423,517,604,667,642,741,845,963,1013,1178,1438,1445,1668,1890,2097,2191,2283,2410,2702,2860,2985,3062,3226,3376,3386,3828,3972,4107,4382,4785,5425,5087,5617,6232,6538,6652,6239,7553,7773,7170,8765,10953,12009,12934,14468,15794,16472,17530,17489,17579,17037,16821,15967,14900,13569,11783,10168,7871,5968,4172,3297,2344,4819
2017,1064,94,49,39,31,30,38,27,42,32,31,30,39,41,57,48,77,79,88,92,108,106,104,119,132,146,139,151,155,176,181,176,223,249,259,313,337,411,487,479,596,592,666,759,809,926,1014,1229,1340,1458,1675,1850,2040,2100,2289,2431,2677,2884,3027,3215,3278,3373,3544,3816,3924,4198,4392,4675,5279,5629,5498,6208,6561,7060,7344,6525,7963,8423,7792,9760,11792,13446,14287,15684,17221,17716,18172,18695,18473,18110,17161,15696,14295,12812,10901,8912,6938,5082,3464,2576,5306
2018,998,83,45,48,45,43,32,29,39,29,33,37,34,37,51,58,73,72,102,81,98,110,98,118,138,124,158,127,173,192,197,205,197,225,281,307,332,355,416,483,562,629,672,788,746,893,1017,1147,1266,1435,1621,1782,1878,2150,2441,2526,2662,2861,3134,3268,3500,3648,3770,3892,4054,4305,4548,4683,4860,5698,6158,5988,6555,7015,7559,7627,7256,8566,9168,8429,10680,12805,14295,15139,16852,17922,18468,18781,18683,18261,17476,16292,14358,12926,11240,9303,7450,5438,3866,2500,5358
2019,949,80,56,43,44,26,25,29,24,31,39,40,23,53,52,50,68,72,88,96,98,101,102,114,120,144,132,155,145,158,180,204,204,199,244,263,286,352,412,480,488,546,642,717,740,875,980,1153,1263,1429,1527,1785,1947,2106,2398,2520,2749,2825,2922,3282,3488,3748,3809,3884,4100,4251,4612,4798,4744,5194,5789,6462,6301,7065,7577,8036,8068,7468,8994,9236,8808,10928,13228,14752,15655,17057,18150,18324,18495,17902,17516,15942,14630,12893,10857,9170,7423,5812,4059,2838,5164
2020,883,74,41,45,22,29,27,28,29,20,25,42,31,37,50,52,61,70,86,104,120,106,109,136,112,165,142,162,162,167,207,230,253,244,252,270,328,388,407,504,570,598,698,793,851,997,1010,1177,1336,1468,1618,1763,2127,2346,2460,2762,2971,3134,3371,3526,3901,4138,4409,4613,4768,4958,5092,5632,5711,6010,6508,7235,8099,7680,9121,9662,10300,10729,9677,11833,12312,11522,14323,16732,19022,19781,21160,22247,22213,21898,21137,19661,17657,15498,13184,11242,9074,7068,5036,3512,6296
2021,855,67,38,38,33,34,28,42,36,26,40,39,41,42,50,69,66,86,93,101,117,130,126,117,148,148,125,155,153,168,217,186,226,241,279,284,315,368,416,470,555,592,636,749,841,938,1074,1126,1253,1404,1538,1765,1900,2253,2359,2605,2864,3115,3256,3597,3776,4214,4363,4775,4726,5032,5167,5448,5740,5910,6106,6515,7519,8159,7861,8868,9440,10243,10582,9498,11644,11909,10961,13431,15975,17258,18296,19368,19966,19383,18776,17435,16136,13731,11963,10044,7987,6364,4707,3352,5888
