,sex,age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
87,F,87,103080,108458,108490,115819,117208,124546,122332,130111,129915,126699
88,F,88,91963,93617,98830,98424,105729,106705,113798,112330,117624,118771
89,F,89,78708,82484,84186,88167,88569,94820,95965,103097,99788,106291
90,F,90,68321,69613,72826,73928,78039,77820,83749,85442,90054,88766
91,F,91,53389,59176,60374,62749,64327,67408,67422,73126,73009,78666
92,F,92,43129,45515,50623,50878,53523,54548,57489,57876,61142,62393
93,F,93,30620,35979,38153,41695,42605,44594,45609,48325,47208,51512
94,F,94,24863,25077,29511,30870,34117,34519,36199,37587,38518,38825
95,F,95,18260,19726,20138,23100,24680,27109,27533,29243,29245,30781
96,F,96,13617,14299,15424,15527,18047,18957,20862,21607,22044,23038
97,F,97,10221,10473,11056,11576,11964,13511,14265,16016,15842,16859
98,F,98,7623,7714,7848,8094,8678,8854,9994,10649,11455,11887
99,F,99,5192,5656,5727,5663,5985,6326,6494,7373,7422,8370
100,F,100,9483,10634,12034,8935,9872,9274,9572,10168,10446,11376
101,M,0,233648,218576,220124,215948,210606,202087,191164,185084,174641,174194
102,M,1,245056,233543,219379,221681,218042,213645,205202,194438,186851,176812
103,M,2,248322,243553,233271,219885,223030,220675,216785,208679,196328,188591
104,M,3,254871,247355,243501,233821,221124,225090,223368,220142,210324,197836
105,M,4,268364,253661,246943,243729,234728,222904,227710,226539,221813,211842
106,M,5,258523,267319,253087,246882,244408,236080,225085,230874,228123,223180
107,M,6,256405,257466,266749,252798,247168,245458,238042,228100,232274,229598
108,M,7,250251,255662,257024,266449,253150,247867,247138,240643,229307,233794
109,M,8,248464,249654,255372,257095,266687,253955,249470,249747,241951,230792
110,M,9,242838,247852,249457,255611,257675,267506,255735,252052,251002,243576
111,M,10,233959,242314,247620,249630,256298,258572,269157,258226,253285,252425
112,M,11,231683,233430,242135,247783,250320,257183,260071,271404,259314,254601
113,M,12,233026,231297,233461,242339,248479,251280,258751,262296,272599,260395
114,M,13,226310,232683,231464,233904,243356,249593,252990,261059,263344,273640
115,M,14,221120,225899,232804,231947,234926,244524,251452,255420,262183,264563
116,M,15,220952,220678,226061,233347,233120,236422,246658,254214,256718,263468
117,M,16,218519,220753,220946,226750,234608,234776,239136,249951,255713,258403
118,M,17,219208,218508,221219,221809,228311,236708,238290,243469,251953,258028
119,M,18,223200,219506,219381,222657,224109,231707,241819,244697,246672,255844
120,M,19,232601,222797,220363,220876,224967,227840,236850,248448,248272,251034
121,M,20,240917,231785,223703,221752,223124,228570,232853,243154,251671,251955
122,M,21,241896,240005,232432,224974,223814,226648,233783,239384,246431,255249
123,M,22,245742,240541,240293,233585,226908,227578,232109,240558,242735,249505
124,M,23,253050,244467,240732,241490,235635,230900,233526,239270,244438,246129
125,M,24,260090,250963,244382,241826,243877,239771,237133,241477,243032,248030
126,M,25,267563,257292,250457,245216,244028,248012,246232,245181,245259,246376
127,M,26,276701,263779,256407,251173,247327,248147,254550,254302,249484,248725
128,M,27,290031,272394,262191,256605,252974,251199,254276,262185,258286,252486
129,M,28,304438,285002,270481,261647,257948,256269,257141,261518,265949,260845
130,M,29,317488,298487,282350,269709,262614,260701,261637,264226,264991,268198
131,M,30,339203,310823,295461,281418,270188,264985,266098,268079,267566,267036
132,M,31,357162,332013,307664,293962,281602,271923,269573,272155,271105,269352
133,M,32,377192,349973,328386,305987,293873,282784,275820,274972,274902,272470
134,M,33,389367,369469,345897,326321,305454,294709,286237,280512,277439,275684
135,M,34,410096,382013,365396,343717,325511,305672,297658,290815,282674,278110
136,M,35,417958,403002,378174,362773,342709,325406,308155,301835,292679,283137
137,M,36,424906,411312,398797,375790,361579,342562,327503,311846,303501,292958
138,M,37,422856,418154,407261,396370,374525,360758,344393,330675,313339,303446
139,M,38,419058,416722,414143,404752,394653,373471,362229,347037,331708,313372
140,M,39,408543,412889,412921,411730,402977,393358,374455,364599,347705,331236
141,M,40,406659,403188,409281,410468,410021,401571,393905,376548,365006,346964
