0,1,2,3,4,5,6,7,8,9,10
tt3967508,I Want to Dance,Movie,Drama,2018,6.0,NO DATA,"['tt3967508', 'Reza Kianian', 'Mahnaz Afshar', 'Mohammad Reza Golzar', 'Reza Behbudi', 'Payam Dehkordi', 'Saber Abar', 'Pardis Ahmadieh', 'Naser Azad', 'Sahar Dolatshahi', 'Leila Irani']",[],Bahram Farzaneh is a writer who because of lack of ideas can not write anything. But suddenly because of a car accident a melody comes to his mind which makes him want to dance and makes him eager to write once again.,99
tt3962984,The Black Prince,Movie,Drama,2017,7.0,NO DATA,"['tt3962984', 'Jason Flemyng', 'Amanda Root', 'Shabana Azmi', 'David Essex', 'Kavi Raz', 'James Weber Brown', 'David Macey', 'Danny Midwinter', 'Joe Egan', 'Ameet Chana']",[],"'The Black Prince' is a story of Queen Victoria and the Last King of Punjab, Maharajah Duleep Singh. His character as it evolves, torn between two cultures and facing constant dilemmas as a result. His relationship with Queen Victoria will be the most impactful relationship in the film, the Queen representing the English culture he was drawn into. The Black Prince beg... Leer todo",99
tt3967856,Okja,Movie,Drama,2017,6.0,NO DATA,"['tt3967856', 'Tilda Swinton', 'Paul Dano', 'Seo-hyun Ahn', 'Jake Gyllenhaal', 'Byun Hee-Bong', 'Steven Yeun', 'Lily Collins', 'Je-mun Yun', 'Shirley Henderson', 'Daniel Henshall']",[],"Una joven lo arriesga todo para prevenir que una multinacional secuestre a su mejor amiga, una criatura fascinante llamada Okja.",99
tt3969896,Hinterm Vorhang,Movie,Drama,2017,,NO DATA,"['tt3969896', 'Kim Guliyew', 'Baris Öztürk', 'Ruzica Hajdari', 'Stefan Lampadius', 'Robert Timme', 'Dana Cebulla', 'Carsten Caniglia', 'Gabriele Laatsch', 'Jörg Vincent Malotki', 'Makke Schneider']",[],,NO DATA
tt3980212,El dulce sabor del limón,Movie,Drama,2017,10.0,NO DATA,"['tt3980212', 'Aaron Quim Castellví', 'Alberto Esparza', 'Abril Garcia', 'Andreu Lahoz', 'Elena Rivera', 'Mercè Rovira', 'David Solans', 'Adrià Triviño']",[],,68
tt3980372,Courageous Love,Movie,Drama,2017,2.0,NO DATA,"['tt3980372', 'Jared Withrow', 'Jessica Koloian', 'Kristina Kaylen', 'Patricia Mauceri', 'Tim Kaiser', 'Holly Houk', 'Mike T. Tremblay', 'Nato Jacobson', 'Kurt Hierholzer', 'Greg J. Wolfe']",[],"""Courageous Love"" follows Alex Shelby as he encounters romance and intrigue while trying to save the family business that he recently inherited. While working undercover at the New York City branch office, he falls in love with an employee named Michelle. Alex must make a difficult decision: to save his company from impending collapse, or to follow his heart.",100
tt3980704,E.C.O.,Movie,Drama,2017,1.0,NO DATA,"['tt3980704', 'Óscar Antares', 'Daniel Triviño', 'Mariam Torres', 'Fernando Cornejo', 'Jorge Piña Williams', 'Julián Azcárate', 'Paulina Lara Franco']",[],,NO DATA
tt3985430,Legionario,Movie,Drama,2017,2.0,NO DATA,"['tt3985430', 'Raúl Tejón', 'Diana Palazón', 'Luis Mottola', 'Marta Canalda', 'Nacho Fresneda', 'Mariana Achim', 'Omar Azmi', 'Arturo De la Torre', 'Elio Godino', 'David Krohnert']",[],"The morning after his homecoming party from his last tour in Afghanistan, a Spanish special forces soldier wakes up beside the corpse of a young woman, who is not his fiancée. Desperate to find his girl he decides to look for her knowing that he could be accused of a murder that seems like the perfect setup.",NO DATA
tt3986820,The Endless,Movie,Drama,2018,4.0,NO DATA,"['tt3986820', 'Aaron Moorhead', 'Justin Benson', 'Callie Hernandez', 'Tate Ellington', 'Shane Brady', 'Lew Temple', 'Kira Powell', 'David Lawson Jr.', 'James Jordan', 'Emily Montague']",[],"En su infancia, escaparon de un culto mortal a los extraterrestres. Ahora, dos hermanos adultos buscan respuestas tras encontrar una cinta de video que les devuelve a su punto de partida.",NO DATA
tt3986332,Canvas,Movie,Drama,2017,11.0,NO DATA,"['tt3986332', 'Casey Chapman', 'Mackenzie Wiglesworth', 'Michael Peters', 'Vanessa Hughes', 'Chris Boykin', 'Jeremy Clark', 'Hannah Phelps', 'Anthony Freeman', 'Anya Clingman', 'David Wrigley']",[],"Canvas is the story of an artist struggling to find a coherent aesthetic and balance his love for art, a woman, and his brother. Inspired by Vincent Van Gogh's letters to his brother Theo, it is an epistolary piece set in modern day Chicago.",Formato min incorrecto
tt3993874,"Future 86 or: Don't Think Twice, It's All Right",Movie,Drama,2017,3.0,NO DATA,"['tt3993874', 'Marcell Black', 'Diana Garle', 'Monica Lynne Herrera', 'Sean Morin', 'Sally Nieves', 'Michael Orozco', 'Eric Soto']",[],"Jenn (Monica Lynn Herrera), a rude, outwardly spoken twenty-something is alone, in a new city, with poor excuses for friends and a poorer excuse for a future when she meets Jeremy (Eric Soto), an awkward, quiet young man with a strong penchant for record-keeping. Upon their meeting, we follows the unlikely couple back and forth through time, observing the forging and ... Leer todo",NO DATA
tt3992838,Conflict of Interest,Movie,Drama,2017,,NO DATA,"['tt3992838', 'Jazsmin Lewis', 'Thomas Mikal Ford', 'Bria L. Murphy', 'Aryeh-Or', 'Viviane Brazil', 'Miguel A. Núñez Jr.', 'Mark Christopher Lawrence', 'Carl Anthony Payne II', 'Dorien Wilson', 'Karen Malina White']",[],"This soul- stirring story about love, betrayal and forgiveness reveals that family is God's most precious gift to us.",115
tt3996820,August in Berlin,Movie,Drama,2017,8.0,NO DATA,"['tt3996820', 'Désirée Angersbach', 'Christine Baars', 'Dan Cade', 'Katharina Dix-Bertz', 'Lena Ehlers', 'Mariah Katharina Friedrich', 'Lisa Gotto', 'Ilyas Gungor', 'Temple Haze', 'Karl-Heinz Ittenson']",[],Feature. The chance meeting of a German and an American in a Berlin coffee house unravels their carefully constructed lives.,99
tt3996044,Intruders,Movie,Drama,2017,1.0,NO DATA,['tt3996044'],[],NO DATA,NO DATA
tt4002136,Broken Memories,Movie,Drama,2018,12.0,NO DATA,"['tt4002136', 'Ivan Sergei', 'Rance Howard', 'Kelly Greyson', 'Kirk Bovill', 'Kassi Crews', 'Chris Fogleman', 'Jessica Gardner', 'Travis Guba', 'Lindsey Lamer', 'Che Landon']",[],"While a son struggles with his father's Alzheimer's, a beautiful and mysterious caretaker heals family wounds before the past catches up with her.",90
