0,1,2,3,4,5,6,7,8,9,10
tt0059325,Jahrgang 45,Movie,Drama,1990,10.0,Jürgen Böttcher,"['tt0059325', 'Monika Hildebrand', 'Rolf Römer', 'Paul Eichbaum', 'Holger Mahlich', 'Gesine Rosenberg', 'Walter Stolp', 'Werner Kanitz', 'Ingo Koster', 'Anita Okon', 'Ruth Kommerell']","['Jürgen Böttcher', 'Klaus Poche']","Li y Al, que llevan poco tiempo casados, quieren divorciarse. Se sienten atrapados en su matrimonio y en su apartamento de una sola habitación. Anhelan una vida poco convencional y con sentido, pero la búsqueda de éste les confunde.",100
tt0059900,"Wenn du groß bist, lieber Adam",Movie,Drama,1990,10.0,Egon Günther,"['tt0059900', 'Stephan Jahnke', 'Gerry Wolff', 'Manfred Krug', 'Daisy Granados', 'Rolf Römer', 'Hanns Anselm Perten', 'Wolfgang Greese', 'Günther Simon', 'Mathilde Danegger', 'Fred Delmare']","['Egon Günther', 'Helga Schütz']","Adam receives a flashlight with special powers: every liar it shines on flies into the air. Production was canceled in 1965 due to the film's political content. Only in 1989-1990 could the director reconstruct the film, replacing missing sounds and images with script inserts.",78
tt0065188,"Vojtech, receny sirotek",Movie,Drama,1990,10.0,Zdenek Tyc,"['tt0065188', 'Petr Forman', 'Barbora Lukesová', 'Jana Riháková', 'Vlastimil Zavrel', 'Jirí Hájek', 'Bretislav Rychlík', 'Jaroslav Mares', 'Miroslav Zelenka', 'Petr Popelka', 'Eva Holubová']","['Jaromir Kacer', 'Jirí Soukup', 'Zdenek Tyc']",,80
tt0068494,Domo Arigato,Movie,Drama,1990,8.0,Arch Oboler,"['tt0068494', 'Jason Ledger', 'Bonnie Sher', 'Kyoko Masu', 'Hiroshi Murakawa', 'Miyuki Yama', 'Yoshihiro Sakamoto', 'Clown Kumagoro', 'Clown Ton', 'Squeeky the Clown', 'Okinaya Trio']",['Arch Oboler'],A young college student and a former G.I. on his way home from a tour in Viet Nam meet in Japan and decide to explore the country together.,91
tt0075259,Spy Story,Movie,Drama,1990,3.0,Lindsay Shonteff,"['tt0075259', 'Michael Petrovitch', 'Philip Latham', 'Don Fellows', 'Michael Gwynn', 'Nicholas Parsons', 'Toby Robins', 'Tessa Wyatt', 'Derren Nesbitt', 'Nigel Plaskitt', 'Ciaran Madden']",['Len Deighton'],"Un espía británico es incriminado, por lo que debe eludir al KGB, la CIA y la Inteligencia británica para llegar al corazón de la conspiración en el Ártico.",103
tt0081721,Vincent et moi,Movie,Drama,1990,12.0,Michael Rubbo,"['tt0081721', 'Tchéky Karyo', 'Nina Petronzio', 'Christopher Forrest', 'Paul Klerk', 'Vernon Dobtcheff', 'Andrée Pelletier', 'Anna-Maria Giannotti', 'Matthew Mabe', 'Wally Martin', 'Michel Maillot']",['Michael Rubbo'],Jo conoce a un misterioso marchante de arte que compra algunos de sus dibujos y le encarga que haga más. Pide ayuda a unos amigos y parte hacia Ámsterdam para buscar al hombre misterioso.,NO DATA
tt0090665,Asfour Stah,Movie,Drama,1991,3.0,Férid Boughedir,"['tt0090665', 'Selim Boughedir', 'Mustapha Adouani', 'Rabiah Ben-Abdullah', 'Mohamed Driss', 'Hélène Catzaras', 'Fatma Ben Saïdane', 'Abdelhamid Guayas', 'Jamel Sassi', 'Radhouane Meddeb', 'Carolyn Chelby']","['Férid Boughedir', 'Nouri Bouzid', 'Taoufik Jebali']","Noura struggles to reconcile two worlds, Muslim women and men, while also dealing with his own sexuality.",98
tt0093210,La hora 24,Movie,Drama,1990,,Fernando Durán Rojas,"['tt0093210', 'Julio Alemán', 'Diana Ferreti', 'José Natera', 'Carlos Rotzinger', 'Margarita Narváez', 'Antonio Raxel', 'Gloria Chávez', ""José 'Peluche' González"", 'Naty Samperio', 'Jorge Barragán']",['Jorge Barragán'],"A hobo (Julio Alemán) is given the power to know what will happen in the future, but only for 24 hours.",98
tt0093989,Xian sha lu,Movie,Drama,1990,11.0,Cheh Chang,"['tt0093989', 'Xiaojian Xu', 'Rongquan Jia', 'Yuming Du', 'Long Zhou', 'Jiming Chen', 'Luowen Cui', 'Yisong Cui', 'Zhihua Dong', 'Tianxiang Hu', 'Bingqiang Huang']",['Cheh Chang'],The friendship between a thief turned Chinese opera performer and an incorruptible police officer.,115
tt0094666,Any Man's Death,Movie,Drama,1990,5.0,Tom Clegg,"['tt0094666', 'John Savage', 'William Hickey', 'Mia Sara', 'Michael Lerner', 'Ernest Borgnine', 'Damarob', 'Tobie Cronje', 'James Ryan', 'Jeff Fannell', 'Robin Smith']","['Iain Roy', 'Chris Kelly']",A veteran reporter is investigating the disappearance of a photo-journalist who was covering a civil war in Africa. The only clue is a roll of film he left behind. The reporter soon realizes he may have bitten more than he can chew.,108
