0,1,2,3,4,5,6,7,8,9,10
tt12478372,Devdas Brothers,Movie,Drama,2021,9.0,NO DATA,"['tt12478372', 'Dhruvva', 'Hari Krishnan', 'Ajay Prasath', 'Bala Saravanan', 'Sanchita Shetty']",[],"After their first heartbreaks, four jilted young men plan drastic ways to get back at the women who left them - and are in for a sobering lesson.",99
tt12485780,Le coeur noir des forêts,Movie,Drama,2021,9.0,NO DATA,"['tt12485780', 'Elsa Houben', 'Quito Rayon Richter', 'Aurélia Petit', 'Olivier Massart', 'François Prodhomme', 'Leelou Laridan', 'Michele de Luca', 'Brigitte De Villepoix', 'Eloïse Genet', 'Louison Blivet']",[],"Piérdete en el bosque, te mostrará el niño que eres y el adulto que serás.",104
tt12485028,Lihvar,Movie,Drama,2021,5.0,NO DATA,"['tt12485028', 'Dusan Petkovic', 'Strahinja Blazic', 'Jovo Maksic', 'Branko Combe Vidakovic', 'Milica Grujicic', 'Zlatan Vidovic', 'Tatjana Vencelovski', 'Suncica Milanovic', 'Mladen Andrejevic', 'Milos Milakovic']",[],"Mundir is a loan shark in a small Serbian town, a former boxer with diabetes. He is old school, he realizes the times have changed, and that money lending business is not what it used to be.",90
tt12487320,I'm Not Him,Movie,Drama,2021,3.0,NO DATA,"['tt12487320', 'John Palladino', 'Annie Heise', 'Kelly Deadmon', 'Rocco Sisto', 'Leigh-Ann Rose', 'Audrey Bennett', 'Callum Kelleher', 'Jason Veasey', 'Isabella Lagares', 'René Mena']",[],Relata la búsqueda de un hombre para descubrir si realmente fue salvado por un milagro.,88
tt12492264,Open Your Eyes,Movie,Drama,2021,5.0,NO DATA,"['tt12492264', 'Ry Barrett', 'Joanna Saul', 'Julianna Suzanne Bailey', 'Suzy Giannakopoulos', 'Heather May']",[],"Unable to cope with recent events, screenwriter Jason Miller dives relentlessly into his newest screenplay in an attempt to avoid dealing with a traumatic experience. Holed up in his apartment, his mental state teetering on the edge, he meets Lisa; his beautiful neighbor from down the hall and a relationship begins to develop. Jason burns the midnight oil to finish hi... Leer todo",99
tt12491138,Snow White,Movie,Drama,2021,8.0,NO DATA,['tt12491138'],[],NO DATA,NO DATA
tt12494638,Ha'berech,Movie,Drama,2021,7.0,NO DATA,"['tt12494638', 'Avshalom Pollak', 'Nur Fibak', 'Oded Azulay', 'Michal Benkovitz Sasu', 'Roni Boksbaum', 'Pnina Bradt Tzedaka', 'Itay Dalumi', 'Lidor Edri', 'Itay Elal', 'Amit Elimetelech']",[],Un cineasta israelí se encuentra en medio de dos batallas condenadas: una contra la muerte de la libertad y la otra contra la muerte de una madre.,NO DATA
tt12502702,The Taste of Blood,Movie,Drama,2021,,NO DATA,"['tt12502702', 'Andrew Bee', 'Rick Amsbury', 'Lawrene Denkers', 'Darius Rathe', 'Jen Scott', 'Lisa Kovack', 'Timothy Paul McCarthy', 'Braden Barrie', 'Daryl Marks', 'Erica Sherwood']",[],"An aged private detective searches for a family thought to be cannibals in the 20th century, descendants from the an old Scottish family from the 16th century.",Formato min incorrecto
tt12506460,Gori,Movie,Drama,2021,11.0,NO DATA,"['tt12506460', 'Swetha Dharwad', 'Kiran Haveri']",[],,NO DATA
tt12503602,Death Link,Movie,Drama,2021,11.0,NO DATA,"['tt12503602', 'Elise Luthman', 'Jessica Belkin', 'Riker Lynch', 'Matt Rife', 'Alli Simpson', 'Isabella Blake-Thomas', 'David Lipper', 'Steven Clark', 'Adam Garcia', 'Heather van Zee']",[],"En la era de las redes sociales, los adolescentes cuentan la historia que quieren que la gente vea, cada video supera al anterior. Pero en una diminuta ciudad, una serie de videos de asesinatos escenificados se vuelven reales.",NO DATA
tt12509164,La santa piccola,Movie,Drama,2021,9.0,NO DATA,"['tt12509164', 'Gianfelice Imparato', 'Francesco Pellegrino', 'Luigi Chiocca', 'Vincenzo Antonucci', 'Sara Ricci', 'Pina Di Gennaro', 'Sophia Guastaferro', 'Alessandra Mantice', 'Guastaferro Sophia']",[],"Mario y Lino, dos mejores amigos, viven una vida de barrio. Para ambos sucede lo impensable, se abre una puerta a un nuevo mundo que los conducirá por caminos distintos, aunque lo más importante es su fraternal amistad.",NO DATA
tt12520676,Sohobashe,Movie,Drama,2021,4.0,NO DATA,"['tt12520676', 'Rahul Banerjee', 'Tulika Basu', 'Biswajit Chakraborty', 'Debolina Dutta', 'Saayoni Ghosh', 'Anubhav Kanjilal', 'Subhasish Mukherjee', 'Ishaa Saha']",[],"Tushi ( Ishaa) and Neel ( Anubhav) are live in partners. But it's not easy to be just that. With the parents in tow and distraction at work, will Tushi and Neel get over the fights and tension between them and find a new meaning to the word live in?",120
