0,1,2,3,4,5,6,7,8,9,10
tt11600948,Choices,Movie,Drama,2020,,NO DATA,"['tt11600948', 'Razaaq Adoti', 'Chris Attoh', 'Christopher Callen', 'Ciarra Carter', 'Travis Cure', 'Ini Edo', 'April Gooding', 'Vaughn W. Hebron', 'Javon Johnson', 'Atandwa Kani']",[],,NO DATA
tt11600320,Story of You,Movie,Drama,2020,,NO DATA,"['tt11600320', 'Raleigh Cain', 'Joseph Stromberg', 'Laurie Cummings', 'Holly Gagnier', 'Pete Gardner', 'Allie Jennings', 'Peter Murphy', 'Dani Payne', 'Aspen Rader', 'Michelle Antoinette Roselle']",[],"A comedy series about family and how they define us. In the midst of her own affair, a pregnant kindergarten teacher discovers the man who raised her isn't actually her father.",NO DATA
tt11604190,Machakkanni,Movie,Drama,2020,8.0,NO DATA,"['tt11604190', 'Amruthavalli', 'Sonu Gowda', 'Mahesh', 'Swani']",[],,NO DATA
tt11602002,Shattered,Movie,Drama,2020,2.0,NO DATA,"['tt11602002', 'Tawanda Akins', 'Derrick Austin', 'Mique Daniel', 'Donya Elliott', 'Jasmine Elliott', 'Anthony Hillard', 'Jerry Hunt', 'Kevin Jioner', 'Kevin Anthony Joiner', 'Qeshone Lucas']",[],This story follows Flip and his three friends. Flip is going through life adversities and is heading down the wrong path. Flip makes a choice that not only affects his life forever but his friends and community.,NO DATA
tt11604772,Tal día hizo un año,Movie,Drama,2020,1.0,NO DATA,"['tt11604772', 'Melanie Straub', 'Jon Bader', 'Ole Bader', 'Amalia Amián del Pino', 'Pilar del Pino']",[],Sigue a Larissa y sus gemelos de nueve años que llegan a la casa de su padre en las montañas españolas de Sierra Morena.,Formato min incorrecto
tt11605872,Correspondance Mélodrame,Movie,Drama,2020,1.0,NO DATA,"['tt11605872', 'Aurore Claverie', 'Robi Morder', 'Hela Morder-Fryszman', 'François Négret']",[],,64
tt11607690,Moments of Darkness,Movie,Drama,2020,7.0,NO DATA,"['tt11607690', 'Andrew J Walker', 'Roderick Masih', 'Gurjit Bahia', 'Kallai Pugh', 'Bryan Taylor', 'Manjeet S Gill', 'Jazmine Walker']",[],"After his recent release from prison, AJ tries to get his life back on the right track. However, his efforts are met with equally frustrating results as he struggles to find work. With his family and friends reluctant to get too close, he finds himself isolated and defeated. Eventually finding work as a night watchman in an old 19th century town hall, AJ becomes relen... Leer todo",71
tt11605172,Doi Mat Am Duong,Movie,Drama,2020,1.0,NO DATA,"['tt11605172', 'Huynh An', 'Huu Chau', 'Ngan Chi', 'Nguyen Trung Dan', 'Hua Minh Dat', 'Giau Ngoc', 'Bao Thanh', 'La Thanh', 'Trang Thu', 'Quoc Truong']",[],The story begins after Trang recovers from a car accident coma and loses her memory. She starts seeing a ghost of a lady with blood-filled eyes wandering around her. She decides to investigate the case and discovers unimaginable secrets.,100
tt11603698,Naanu Neenu Preethi,Movie,Drama,2020,9.0,NO DATA,"['tt11603698', 'Prajwal Devaraj']",[],,NO DATA
tt11602548,Malaya,Movie,Drama,2020,5.0,NO DATA,"['tt11602548', 'Lovi Poe', 'Zanjoe Marudo', 'Isay Alvarez', 'Robert Seña', 'Valery Hidalgo', 'Fabrizia Santarelli', 'Fabrizio Cirrillo', 'Michele Prozia', 'Tonia Lacarra', 'Alessandro Tau']",[],"Stuck at a crossroad, will Malaya fight for the love she found, or will she choose to set her heart free?",107
tt11610504,The Bridge,Movie,Drama,2020,5.0,NO DATA,"['tt11610504', 'Shraddha Das', 'Manveer Gurjar', 'Boman Irani', 'Annu Kapoor', 'Sanjay Mishra', 'Chunky Pandey', 'Neeraj Sood', 'Shreyas Talpade']",[],,NO DATA
tt11612868,The Dwindling Flame,Movie,Drama,2020,8.0,NO DATA,"['tt11612868', 'Mikaela Seamans', 'Shaunii Arcé', 'Preston Turner White', 'Nadia Star', 'Jehna Michelle', 'Chris Fiorino', 'Link Henderson', 'Brandi Little']",[],"28-year-old married couple Aaron and Isabella Tails have been together for 12 years and married for 8. They have kids, an upside mortgage the works. They are having marital problems that they can't seem to fix.",NO DATA
tt11609616,Conservators IV: Fracture,Movie,Drama,2020,3.0,NO DATA,"['tt11609616', 'Matthew Hosking', 'Ben Harris', 'Sammie Dibbern', 'Ciara McAloon', 'Jonas Polin', 'Alyssa Wilson', 'Ames Nasongo', 'Meryl Prendergast', 'Jackson Roberts', 'Shira Weiss']",[],"136 years after the Second Dark War, a dangerous outside force is attempting to invade the Forests. Pulled in two different directions alongside Conservators old and new, Owen Florentine must confront his duty as his two worlds collide.",108
tt11614912,She Dies Tomorrow,Movie,Drama,2020,8.0,NO DATA,"['tt11614912', 'Kate Lyn Sheil', 'Jane Adams', 'Kentucker Audley', 'Katie Aselton', 'Chris Messina', 'Tunde Adebimpe', 'Jennifer Kim', 'Josh Lucas', 'Adam Wingard', 'Michelle Rodriguez']",[],Amy cree que se va a morir mañana... y el pensamiento es contagioso.,108
tt11609692,The Flood,Movie,Drama,2021,11.0,NO DATA,"['tt11609692', 'Alexis Lane', 'Shaka Cook', 'Dean Kyrwood', 'Dalara Williams', 'Karen Garnsey', 'Peter McAllum', 'Simone Landers', 'Aaron Jeffery', 'Annemarie Abdul-Rahman', 'Mary Abdul-Rahman']",[],"Cuando el marido, la hija, la tierra y la inocencia de una mujer le son arrebatados, se embarca en un brutal viaje de retribución y venganza.",117
tt11614472,A feltaláló,Movie,Drama,2020,2.0,NO DATA,"['tt11614472', 'Tibor Gáspár', 'Kata Huszárik', 'Miklós Székely B.', 'Anikó Für', 'Zoltán Seress', 'András Hatházi', 'Zsolt Trill', 'Szabolcs Bede Fazekas', 'Sándor Lukács', 'Pál Oberfrank']",[],Dr. József Béres researcher bio-graphical drama about the fate of his struggles with the Communist regime between 60s and the 70s. High tension as we see in pictures the birth of Béres drops and the scientist's continued trials.,120
tt11615764,Sabne Bana Di Jodi,Movie,Drama,2020,1.0,NO DATA,['tt11615764'],[],NO DATA,NO DATA
tt11617052,Undine,Movie,Drama,2021,6.0,NO DATA,"['tt11617052', 'Paula Beer', 'Franz Rogowski', 'Maryam Zaree', 'Jacob Matschenz', 'Anne Ratte-Polle', 'Rafael Stachowiak', 'Julia Franz Richter', 'Gloria Endres de Oliveira', 'José Barros', 'Enno Trebs']",[],"Ondina es una historiadora que enseña sobre el desarrollo urbanístico de Berlín. Cuando el hombre al que quiere la deja, un antiguo mito se apodera de ella. Ondina debe matar al traidor y regresar al agua.",NO DATA
tt11615840,What if I Defect?,Movie,Drama,2020,,NO DATA,"['tt11615840', 'Robby Monroe', 'Shelise Ann Sola', 'Ricardo Dal Moro', 'Chris Linn', 'Karina Pennett', 'Tiersen Lukas-Jones', ""Nicole O'Hara"", 'Jaclyn Johnson', 'Dorene M. Lorenz']",[],Daniel Carmichael struggles to maintain his sense of identity after a difficult breakup.,NO DATA
tt11616036,"Gudbay, Amerika!",Movie,Drama,2020,10.0,NO DATA,"['tt11616036', 'Dmitriy Nagiev', 'Vladimir Yaglych', 'Liza Moryak', 'Yuriy Stoyanov', 'Lyanka Gryu', 'Nadezhda Mikhalkova', 'Hrant Tokhatyan', 'Irina Temicheva', 'Mikael Aramyan', 'Dobromir Mashukov']",[],"Viktor Sergeyevich goes to America to visit his daughter and with horror discovers that his grandson Paul, although he speaks Russian, does not understand simple things that are familiar and understandable to every boy in Russia. Cheerless Armen is trying to gain a foothold in the United States, gradually comprehending all the delights of a fictitious marriage. An une... Leer todo",101
tt11621896,Di Ren Jie Tan An,Movie,Drama,2020,1.0,NO DATA,"['tt11621896', 'Yiheng Du', 'Yang Shu', 'Zhuo Wen', 'Wenzhuo Zhao', 'Zixuan Zhang', 'Zixuan Zhang', 'Liming Geng', 'Mingyuan Guo', 'Qiusheng Han', 'Dong Wang']",[],"In Empress Wu's reign, there are several bizarre deaths in the capital city of Chang'an. The rumors of the Martyrs Shrine's ""Flying Goddess Mural"" murder case are getting worse. Di Renjie is ordered to investigate the case. He cracks the mystery of the mural based on the characteristics of the Flower Sermon, which leads to the murderer, Li Luoyu. Soon after, Li Luoyu ... Leer todo",93
tt11622272,Spring Uje spring,Movie,Drama,2020,12.0,NO DATA,"['tt11622272', 'Uje Brandelius', 'Therese Hörnqvist', 'Bixi Brandelius', 'Vega Brandelius', 'Irma Schultz', 'Anders Bennysson', 'Henrik Svensson', 'Lina Selleby', 'Martin Aagård', 'Peter Bergared']",[],"Uje, a pop star in the 1990s, gets diagnosed with Parkinson's. This is a film about his everyday struggles.",Formato min incorrecto
tt11618536,Shithouse,Movie,Drama,2020,10.0,NO DATA,"['tt11618536', 'Cooper Raiff', 'Dylan Gelula', 'Amy Landecker', 'Logan Miller', 'Olivia Scott Welch', 'Abby Quinn', 'Joy Sunday', 'Ashley Padilla', 'Tre Hall', 'Alina Patra']",[],Un estudiante de primer año de la universidad va a una fiesta en Shithouse y termina pasando la noche con su asistente residente de segundo año que ha tenido un mal día y quiere a alguien con quien pasar el rato.,NO DATA
tt11620836,Faded Colors 2,Movie,Drama,2020,2.0,NO DATA,"['tt11620836', 'Destiney Wolfe', 'Luke Miller', 'Katerina Guerra', 'Christopher Law', 'Chloe Crawford', 'Ben Anderson', 'Sam Laken', 'Nick Zuluga', 'Jackson Workman', 'Jack McMahan']",[],,NO DATA
tt11623722,Prasini thalassa,Movie,Drama,2021,11.0,NO DATA,"['tt11623722', 'Angeliki Papoulia', 'Giannis Tsortekis', 'Tasos Palatzidis', 'Anastasia Dendia', 'Meletis Georgiadis', 'Vaso Iatropoulou', 'Christos Kontogeorgis', 'Stefanos Kosmidis', 'Foivos Papakostas', 'Anneta Papathanasiou']",[],"Anna ha perdido la memoria, pero no ha olvidado cómo cocinar. Encuentra trabajo en una taberna costera, propiedad de un hombre solitario, Roula. Hasta la comida más sencilla se convierte en una experiencia.",94
