0,1,2,3,4,5,6,7,8,9,10
tt0228802,Mugen ryûkyû tsuru Henrî,Movie,Drama,2021,5.0,Go Takamine,"['tt0228802', 'Katsuma Miyagi', 'Tomi Taira', 'Misako Ôshiro']","['Katsuma Miyagi', 'Tomi Taira', 'Misako Ôshiro']","This road film revolves around an Okinawan folk song singer Tsuru and her son Henry's filmmaking journey. Taiwanese singers CHIN Man-wang, LEE Ping-huei, and acclaimed actress CHEN Shiang-chyi all make cameo appearances. After decoupling Okinawa from Japan in Okinawan Dream Show, Paradise View, and Untamagiru, TAKAMINE Go further unpacks the geopolitical complexities ... Leer todo",85
tt0326716,'77,Movie,Drama,2007,5.0,Patrick Read Johnson,"['tt0326716', 'John Francis Daley', 'Austin Pendleton', 'Kevin Rosendo', 'Colleen Camp', 'Neil Flynn', 'Steve Coulter', 'Emmi Chen', 'Katie Jeep', 'Justin Mentell', 'Gwen Kmiec']",['Patrick Read Johnson'],"La épica historia de Pat Johnson, un aspirante director de cine alienado, sobre su infancia en la Illinois rural, su enamoramiento y su conversión en el primer fan de la película que lo cambió todo.",132
tt0346172,Zamaanat: And Justice for All,Movie,Drama,2021,,S. Ramanathan,"['tt0346172', 'Amitabh Bachchan', 'Arshad Warsi', 'Karisma Kapoor', 'Anupam Kher', 'Shivaji Satam', 'Sharat Saxena', 'Fatima Sana Shaikh', 'Prakash Raj', 'Satya Prakash', 'Ayub Khan']","['Prayag Raj', 'Om Shree', 'M.D. Sunder']","A unfulfilled love story of a prominent lawyer, 'Shiv Shankar' who loses his vision in an accident and is thrown into a life of seclusion. He also loses contact with his beloved (Vijayshanti) a doctor by profession. Shiv starts leading the life of a recluse. Years later, a college girl (Karisma Kapoor) knocks at his door seeking his help to secure justice for her Engi... Leer todo",NO DATA
tt0818543,Z,Movie,Drama,2021,,Jonás Cuarón,"['tt0818543', 'Gael García Bernal', 'Kiersey Clemons']","['Jonás Cuarón', 'Glenn Gers', 'Ozzy Inguanzo']","The western frontier has re-emerged and, as in the past, a hero will answer the people's cry for justice.",NO DATA
tt0840306,Cosmic Radio,Movie,Drama,2021,2.0,Stephen Savage,"['tt0840306', 'Jonathan Sachar', 'Irene Bedard', 'Rider Strong', 'Michael Madsen', 'Taboo', 'Ricardo Chavira', 'Wes Studi', 'Seymour Cassel', 'Kevin Gage', 'Lindsay Price']","['GiGi Mullins', 'Lesley Paterson', 'Stephen Savage']","Un chico de California de 38 años intenta salvar su estación de radio independiente, KZMC Cosmic Radio, de la ruina financiera cuando su rico padre le corta los recursos de financiamiento.",90
tt0995854,A Journal for Jordan,Movie,Drama,2021,12.0,Denzel Washington,"['tt0995854', 'Michael B. Jordan', 'Chanté Adams', 'Jalon Christian', 'Robert Wisdom', 'Tamara Tunie', 'Jasmine Batchelor', 'Marchánt Davis', 'Susan Pourfar', 'Vanessa Aspillaga', 'Grey Henson']","['Virgil Williams', 'Charles Monroe King', 'Dana Canedy']","Sargento Primero, Charles Monroe King, antes de ser asesinado en acción en Bagdad, escribe un diario para su hijo con la intención de decirle cómo vivir una vida decente a pesar de crecer sin un padre.",131
tt10003618,Kelti,Movie,Drama,2021,12.0,Milica Tomovic,"['tt10003618', 'Dubravka Kovjanic', 'Stefan Trifunovic', 'Katarina Dimic', 'Anja Djordjevic', 'Olga Odanovic', 'Konstantin Ilin', 'Milica Grujicic', 'Slaven Doslo', 'Nikola Rakocevic', 'Nada Sargin']","['Tanja Sljivar', 'Milica Tomovic']","Winter, 1993. Bill Clinton is elected president. Audrey Hepburn dies. Wars following the breakup of socialist Yugoslavia are continued in Croatia and Bosnia. Belgrade is under sanctions and inflation that threaten to become hyperinflation. MOTHER wakes up on a day when she has to do all the preparation for her younger daughter's birthday party - cooking awaits her, gu... Leer todo",106
tt10011002,Preman,Movie,Drama,2021,4.0,Randolph Zaini,"['tt10011002', 'Paul Agusta', 'Farell Akbar', 'Tubagus Ali', 'Arzendra Arzendra', 'Putri Ayudya', 'Bisma Bisma', 'Bernadette Bonita', 'Dan Daniel', 'Salvita Decorte', 'Egy Fedly']",['Randolph Zaini'],"After his son witnesses a brutal murder by a notorious crime boss, a deaf Indonesian gangster is thrust into the fight of his life when he takes on his dangerous former allies, including a sociopath assassin, in order to protect his child.",92
tt10016180,The Little Things,Movie,Drama,2021,1.0,John Lee Hancock,"['tt10016180', 'Denzel Washington', 'Rami Malek', 'Jared Leto', 'Chris Bauer', 'Michael Hyatt', 'Terry Kinney', 'Natalie Morales', 'Isabel Arraiza', 'Joris Jarsky', 'Glenn Morshower']",['John Lee Hancock'],Dos policías localizan a un asesino en serie.,128
tt10023286,The Humans,Movie,Drama,2021,11.0,Stephen Karam,"['tt10023286', 'Richard Jenkins', 'Jayne Houdyshell', 'Amy Schumer', 'Beanie Feldstein', 'Steven Yeun', 'June Squibb']",['Stephen Karam'],"Siga la noche en la que la familia Blake se reúne para celebrar el Día de Acción de Gracias. A medida que cae la oscuridad, cosas misteriosas comienzan a surgir en la noche y las tensiones familiares alcanzan un punto de ebullición.",108
tt10022782,Everything I Ever Wanted to Tell My Daughter About Men,Movie,Drama,2021,10.0,Talia Balsam,"['tt10022782', 'Lorien Haynes', 'Alan Cumming', 'Clara McGregor', 'Issy Knopfler', 'Charlie Field', 'Lesley Manville', 'Sullivan Stapleton', 'James Purefoy', 'Adam Rayner', 'Lex Shrapnel']",['Lorien Haynes'],A woman tells her daughter about every man she's ever been with - in the hope her daughter won't make the same mistakes.,88
