,fecha,num_cancelados,num_no_cancelados,tasa
726,7-3-2017,26,94,0.22
727,7-4-2016,68,109,0.38
728,7-4-2017,37,76,0.33
729,7-5-2016,49,93,0.35
730,7-5-2017,43,83,0.34
731,7-6-2016,70,60,0.54
732,7-6-2017,58,82,0.41
733,7-7-2015,38,23,0.62
734,7-7-2016,78,83,0.48
735,7-7-2017,73,99,0.42
736,7-8-2015,50,71,0.41
737,7-8-2016,42,89,0.32
738,7-8-2017,68,123,0.36
739,7-9-2015,37,89,0.29
740,7-9-2016,69,54,0.56
741,8-1-2016,25,46,0.35
742,8-1-2017,31,56,0.36
743,8-10-2015,81,78,0.51
744,8-10-2016,50,64,0.44
745,8-11-2015,9,41,0.18
746,8-11-2016,13,71,0.15
747,8-12-2015,143,21,0.87
748,8-12-2016,74,147,0.33
749,8-2-2016,15,67,0.18
750,8-2-2017,8,61,0.12
751,8-3-2016,19,97,0.16
752,8-3-2017,20,67,0.23
753,8-4-2016,59,127,0.32
754,8-4-2017,81,105,0.44
755,8-5-2016,48,93,0.34
756,8-5-2017,74,132,0.36
757,8-6-2016,152,80,0.66
758,8-6-2017,140,113,0.55
759,8-7-2015,24,43,0.36
760,8-7-2016,53,88,0.38
761,8-7-2017,38,90,0.3
762,8-8-2015,94,102,0.48
763,8-8-2016,67,136,0.33
764,8-8-2017,47,82,0.36
765,8-9-2015,53,64,0.45
766,8-9-2016,82,87,0.49
767,9-1-2016,11,41,0.21
768,9-1-2017,11,62,0.15
769,9-10-2015,75,122,0.38
770,9-10-2016,71,134,0.35
771,9-11-2015,35,40,0.47
772,9-11-2016,13,61,0.18
773,9-12-2015,68,66,0.51
774,9-12-2016,44,66,0.4
775,9-2-2016,21,49,0.3
776,9-2-2017,33,95,0.26
777,9-3-2016,47,107,0.31
778,9-3-2017,63,106,0.37
779,9-4-2016,62,143,0.3
780,9-4-2017,113,130,0.47
781,9-5-2016,51,122,0.29
782,9-5-2017,54,138,0.28
783,9-6-2016,100,106,0.49
784,9-6-2017,75,124,0.38
785,9-7-2015,43,27,0.61
786,9-7-2016,50,91,0.35
787,9-7-2017,64,126,0.34
788,9-8-2015,14,68,0.17
789,9-8-2016,37,80,0.32
790,9-8-2017,46,87,0.35
791,9-9-2015,59,129,0.31
792,9-9-2016,113,92,0.55
