,lead_time,num_cancelados,num_no_cancelados,tasa
263,263,51,51,0.5
264,264,31,35,0.47
265,265,113,109,0.51
266,266,43,31,0.58
267,267,103,17,0.86
268,268,46,32,0.59
269,269,43,38,0.53
270,270,60,54,0.53
271,271,25,66,0.27
272,272,85,56,0.6
273,273,83,70,0.54
274,274,87,33,0.72
275,275,124,29,0.81
276,276,92,53,0.63
277,277,205,65,0.76
278,278,110,27,0.8
279,279,141,15,0.9
280,280,55,23,0.71
281,281,100,19,0.84
282,282,34,43,0.44
283,283,82,38,0.68
284,284,22,10,0.69
285,285,35,33,0.51
286,286,111,68,0.62
287,287,30,106,0.22
288,288,69,38,0.64
289,289,50,42,0.54
290,290,77,27,0.74
291,291,24,34,0.41
292,292,72,108,0.4
293,293,30,12,0.71
294,294,47,25,0.65
295,295,86,19,0.82
296,296,18,40,0.31
297,297,55,44,0.56
298,298,24,24,0.5
299,299,34,7,0.83
300,300,66,23,0.74
301,301,100,78,0.56
302,302,126,16,0.89
303,303,31,14,0.69
304,304,142,18,0.89
305,305,129,24,0.84
306,306,19,15,0.56
307,307,56,24,0.7
308,308,33,25,0.57
309,309,73,25,0.74
310,310,23,22,0.51
311,311,63,13,0.83
312,312,62,21,0.75
313,313,69,10,0.87
314,314,73,12,0.86
315,315,96,33,0.74
316,316,67,112,0.37
317,317,74,19,0.8
318,318,32,16,0.67
319,319,23,12,0.66
320,320,40,78,0.34
321,321,50,11,0.82
322,322,56,43,0.57
323,323,119,21,0.85
324,324,10,10,0.5
325,325,39,9,0.81
326,326,30,17,0.64
327,327,43,42,0.51
328,328,32,39,0.45
329,329,26,9,0.74
330,330,79,17,0.82
331,331,11,5,0.69
332,332,41,9,0.82
333,333,49,8,0.86
334,334,46,8,0.85
335,335,68,41,0.62
336,336,75,84,0.47
337,337,63,24,0.72
338,338,21,23,0.48
339,339,43,27,0.61
340,340,16,4,0.8
341,341,37,5,0.88
342,342,93,41,0.69
343,343,12,24,0.33
344,344,58,5,0.92
345,345,5,9,0.36
346,346,32,71,0.31
347,347,9,3,0.75
348,348,22,13,0.63
349,349,44,15,0.75
350,350,86,7,0.92
351,351,80,19,0.81
352,352,14,17,0.45
353,353,28,7,0.8
354,354,4,5,0.44
355,355,34,5,0.87
356,356,24,4,0.86
357,358,67,2,0.97
358,359,24,19,0.56
359,360,22,4,0.85
360,361,7,3,0.7
361,363,19,8,0.7
362,364,69,85,0.45
363,365,51,11,0.82
364,366,1,2,0.33
365,367,20,5,0.8
366,368,31,7,0.82
367,373,25,2,0.93
368,374,20,1,0.95
369,375,1,1,0.5
370,377,18,65,0.22
371,379,61,5,0.92
372,381,3,2,0.6
373,383,24,47,0.34
374,384,22,2,0.92
375,385,20,8,0.71
376,386,57,115,0.33
377,389,1,2,0.33
378,390,1,3,0.25
379,394,10,5,0.67
380,395,32,20,0.62
381,396,18,67,0.21
382,397,1,16,0.06
383,399,1,1,0.5
384,405,58,63,0.48
385,406,2,4,0.33
386,407,25,2,0.93
387,408,10,1,0.91
388,409,4,21,0.16
389,414,36,60,0.38
390,418,25,33,0.43
391,422,16,9,0.64
392,423,33,68,0.33
393,429,1,14,0.07
394,434,5,21,0.19
395,448,5,21,0.19
396,451,43,19,0.69
397,454,30,1,0.97
398,457,22,63,0.26
399,462,25,20,0.56
400,464,25,4,0.86
401,465,15,16,0.48
402,468,75,30,0.71
403,476,9,15,0.38
404,478,11,2,0.85
405,479,13,19,0.41
406,504,5,20,0.2
407,518,4,22,0.15
