,adr,num_cancelados,num_no_cancelados,tasa
226,56.0,49,247,0.17
227,56.1,1,8,0.11
228,56.16,1,6,0.14
229,56.24,1,1,0.5
230,56.4,1,13,0.07
231,56.5,1,6,0.14
232,56.57,3,2,0.6
233,56.62,1,1,0.5
234,56.7,22,34,0.39
235,56.72,1,3,0.25
236,56.83,1,3,0.25
237,56.89,3,1,0.75
238,56.94,1,4,0.2
239,56.95,1,4,0.2
240,56.98,1,4,0.2
241,57.0,10,82,0.11
242,57.25,1,1,0.5
243,57.28,1,4,0.2
244,57.33,1,2,0.33
245,57.43,1,3,0.25
246,57.5,15,37,0.29
247,57.53,1,1,0.5
248,57.6,30,44,0.41
249,57.75,1,8,0.11
250,57.8,7,31,0.18
251,57.9,1,2,0.33
252,57.92,3,1,0.75
253,57.98,1,2,0.33
254,58.0,108,347,0.24
255,58.05,3,2,0.6
256,58.36,5,1,0.83
257,58.4,1,14,0.07
258,58.45,1,3,0.25
259,58.5,2,25,0.07
260,58.6,15,1,0.94
261,58.65,1,2,0.33
262,58.67,1,1,0.5
263,58.9,7,11,0.39
264,58.95,30,27,0.53
265,59.0,98,104,0.49
266,59.16,3,1,0.75
267,59.2,1,6,0.14
268,59.4,18,32,0.36
269,59.5,13,29,0.31
270,59.66,1,2,0.33
271,59.75,1,5,0.17
272,59.91,5,3,0.62
273,60.0,555,738,0.43
274,60.06,2,14,0.12
275,60.29,2,10,0.17
276,60.3,8,10,0.44
277,60.35,1,5,0.17
278,60.36,1,1,0.5
279,60.4,1,4,0.2
280,60.5,1,9,0.1
281,60.6,1,2,0.33
282,60.64,1,1,0.5
283,60.82,1,2,0.33
284,60.83,2,6,0.25
285,60.98,4,18,0.18
286,61.0,67,85,0.44
287,61.2,7,43,0.14
288,61.25,2,1,0.67
289,61.43,1,1,0.5
290,61.5,3,25,0.11
291,61.52,2,4,0.33
292,61.56,2,6,0.25
293,61.65,1,8,0.11
294,61.67,1,2,0.33
295,61.68,1,4,0.2
296,61.8,1,7,0.12
297,62.0,2848,718,0.8
298,62.1,2,4,0.33
299,62.18,5,8,0.38
300,62.2,1,5,0.17
301,62.29,4,4,0.5
302,62.37,2,8,0.2
303,62.4,3,12,0.2
304,62.5,2,30,0.06
305,62.64,1,4,0.2
306,62.73,1,2,0.33
307,62.8,531,14,0.97
308,62.83,2,6,0.25
309,62.86,1,4,0.2
310,62.88,1,1,0.5
311,62.9,3,23,0.12
312,63.0,40,129,0.24
313,63.03,5,1,0.83
314,63.06,1,3,0.25
315,63.14,1,5,0.17
316,63.2,2,11,0.15
317,63.3,1,2,0.33
318,63.36,4,8,0.33
319,63.4,25,10,0.71
320,63.45,1,1,0.5
321,63.47,1,2,0.33
322,63.5,6,15,0.29
323,63.58,2,9,0.18
324,63.6,1,7,0.12
325,63.68,1,1,0.5
326,63.75,49,55,0.47
327,63.9,2,10,0.17
328,63.92,2,3,0.4
329,64.0,128,235,0.35
330,64.08,1,2,0.33
331,64.1,1,7,0.12
332,64.4,2,5,0.29
333,64.5,2,17,0.11
334,64.6,1,5,0.17
335,64.64,1,5,0.17
336,64.67,1,21,0.05
337,64.68,1,4,0.2
338,64.75,2,2,0.5
339,64.8,21,60,0.26
340,64.85,1,1,0.5
341,64.98,1,2,0.33
342,65.0,754,1629,0.32
343,65.1,1,7,0.12
344,65.18,1,5,0.17
345,65.2,1,4,0.2
346,65.27,1,1,0.5
347,65.29,4,8,0.33
348,65.33,1,5,0.17
349,65.4,2,27,0.07
350,65.42,1,1,0.5
351,65.43,1,2,0.33
352,65.45,6,21,0.22
353,65.49,1,8,0.11
354,65.5,2,11,0.15
355,65.55,1,2,0.33
356,65.6,1,12,0.08
357,65.66,5,3,0.62
358,65.7,13,18,0.42
359,65.8,1,5,0.17
360,65.83,3,18,0.14
361,65.91,1,4,0.2
362,66.0,76,407,0.16
363,66.02,3,1,0.75
364,66.13,1,3,0.25
365,66.22,1,6,0.14
366,66.24,1,2,0.33
367,66.29,7,2,0.78
368,66.3,8,7,0.53
369,66.34,1,2,0.33
370,66.42,1,6,0.14
371,66.43,2,1,0.67
372,66.5,2,16,0.11
373,66.6,17,17,0.5
374,66.64,3,4,0.43
375,66.67,1,1,0.5
376,66.7,2,4,0.33
377,66.76,1,1,0.5
378,66.8,1,17,0.06
379,67.0,103,355,0.22
380,67.05,10,2,0.83
381,67.15,14,35,0.29
382,67.2,1,3,0.25
383,67.22,1,11,0.08
384,67.25,2,1,0.67
385,67.26,3,2,0.6
386,67.31,1,8,0.11
387,67.32,10,6,0.62
388,67.33,1,1,0.5
389,67.5,93,120,0.44
390,67.58,6,13,0.32
391,67.66,1,1,0.5
392,67.75,1,2,0.33
393,67.79,1,1,0.5
394,67.8,2,5,0.29
395,67.81,1,1,0.5
396,67.91,1,3,0.25
397,67.95,1,2,0.33
398,68.0,220,498,0.31
399,68.07,2,32,0.06
400,68.17,1,1,0.5
401,68.23,1,2,0.33
402,68.33,2,5,0.29
403,68.35,1,1,0.5
404,68.4,26,45,0.37
405,68.47,2,11,0.15
406,68.5,4,20,0.17
407,68.53,1,9,0.1
408,68.56,1,1,0.5
409,68.57,1,3,0.25
410,68.61,2,13,0.13
411,68.64,1,3,0.25
412,68.65,1,2,0.33
413,68.7,2,2,0.5
414,68.72,1,5,0.17
415,68.8,1,9,0.1
416,68.85,3,11,0.21
417,68.86,1,2,0.33
418,68.88,1,8,0.11
419,68.95,2,8,0.2
420,69.0,36,127,0.22
421,69.02,1,2,0.33
422,69.04,1,1,0.5
423,69.29,17,7,0.71
424,69.3,2,14,0.12
425,69.33,1,5,0.17
426,69.35,1,1,0.5
427,69.36,12,6,0.67
428,69.5,6,44,0.12
429,69.52,1,4,0.2
430,69.53,1,10,0.09
431,69.56,1,7,0.12
432,69.58,1,1,0.5
433,69.6,3,5,0.38
434,69.67,1,2,0.33
435,69.7,7,10,0.41
436,69.76,2,1,0.67
437,69.99,1,5,0.17
438,70.0,449,576,0.44
439,70.03,2,12,0.14
440,70.07,4,1,0.8
441,70.11,2,4,0.33
442,70.17,1,1,0.5
443,70.2,6,26,0.19
444,70.3,1,2,0.33
445,70.33,1,6,0.14
446,70.4,10,43,0.19
447,70.46,1,1,0.5
448,70.53,21,1,0.95
449,70.55,4,2,0.67
450,70.56,1,2,0.33
451,70.67,1,8,0.11
452,70.69,2,15,0.12
453,70.72,2,8,0.2
454,70.75,11,4,0.73
455,70.8,3,6,0.33
456,70.88,1,3,0.25
457,70.91,1,1,0.5
458,71.0,15,159,0.09
459,71.1,52,84,0.38
