,adr,num_cancelados,num_no_cancelados,tasa
985,95.1,5,4,0.56
986,95.16,1,1,0.5
987,95.2,15,39,0.28
988,95.33,2,5,0.29
989,95.38,2,7,0.22
990,95.4,59,64,0.48
991,95.48,1,13,0.07
992,95.56,1,1,0.5
993,95.63,3,4,0.43
994,95.67,2,20,0.09
995,95.69,1,3,0.25
996,95.7,8,7,0.53
997,95.71,1,3,0.25
998,95.76,1,7,0.12
999,95.81,2,1,0.67
1000,95.85,1,5,0.17
1001,95.88,5,6,0.45
1002,95.9,1,1,0.5
1003,95.95,1,2,0.33
1004,95.98,1,2,0.33
1005,96.0,235,236,0.5
1006,96.05,7,9,0.44
1007,96.14,1,2,0.33
1008,96.17,3,1,0.75
1009,96.2,2,1,0.67
1010,96.21,1,1,0.5
1011,96.23,2,1,0.67
1012,96.25,3,22,0.12
1013,96.3,113,248,0.31
1014,96.33,2,10,0.17
1015,96.39,3,2,0.6
1016,96.4,7,6,0.54
1017,96.43,2,1,0.67
1018,96.48,2,1,0.67
1019,96.5,4,8,0.33
1020,96.53,1,5,0.17
1021,96.56,1,4,0.2
1022,96.6,1,8,0.11
1023,96.67,1,12,0.08
1024,96.8,3,5,0.38
1025,96.9,34,94,0.27
1026,96.91,2,6,0.25
1027,96.94,1,2,0.33
1028,96.99,1,3,0.25
1029,97.0,32,152,0.17
1030,97.02,7,37,0.16
1031,97.07,1,1,0.5
1032,97.2,49,79,0.38
1033,97.29,1,2,0.33
1034,97.3,9,2,0.82
1035,97.33,8,5,0.62
1036,97.35,3,1,0.75
1037,97.5,19,25,0.43
1038,97.54,2,11,0.15
1039,97.56,1,2,0.33
1040,97.58,2,2,0.5
1041,97.6,1,3,0.25
1042,97.63,2,2,0.5
1043,97.65,1,4,0.2
1044,97.67,3,1,0.75
1045,97.7,1,3,0.25
1046,97.71,18,13,0.58
1047,97.75,24,34,0.41
1048,97.88,1,1,0.5
1049,97.92,2,11,0.15
1050,97.99,1,1,0.5
1051,98.0,102,379,0.21
1052,98.02,1,2,0.33
1053,98.1,76,89,0.46
1054,98.11,1,1,0.5
1055,98.18,3,1,0.75
1056,98.25,4,9,0.31
1057,98.28,1,7,0.12
1058,98.33,3,8,0.27
1059,98.36,1,1,0.5
1060,98.39,2,1,0.67
1061,98.4,5,29,0.15
1062,98.41,2,1,0.67
1063,98.5,1,10,0.09
1064,98.55,2,6,0.25
1065,98.6,12,29,0.29
1066,98.67,2,5,0.29
1067,98.8,2,12,0.14
1068,98.82,2,1,0.67
1069,98.93,1,1,0.5
1070,98.94,3,4,0.43
1071,99.0,341,563,0.38
1072,99.03,1,2,0.33
1073,99.07,1,1,0.5
1074,99.17,2,1,0.67
1075,99.2,3,15,0.17
1076,99.21,1,1,0.5
1077,99.24,3,3,0.5
1078,99.28,3,6,0.33
1079,99.29,1,1,0.5
1080,99.3,7,20,0.26
1081,99.33,1,8,0.11
1082,99.45,66,118,0.36
1083,99.48,1,3,0.25
1084,99.5,7,17,0.29
1085,99.63,2,3,0.4
1086,99.68,1,2,0.33
1087,99.7,2,4,0.33
1088,99.71,3,3,0.5
1089,99.75,3,1,0.75
1090,99.8,1,1,0.5
1091,99.85,2,2,0.5
1092,99.88,2,8,0.2
1093,99.9,45,50,0.47
1094,99.95,3,6,0.33
1095,99.96,1,2,0.33
1096,100.0,888,588,0.6
1097,100.1,1,13,0.07
1098,100.2,2,12,0.14
1099,100.25,2,6,0.25
1100,100.3,86,96,0.47
1101,100.38,1,2,0.33
1102,100.43,1,1,0.5
1103,100.44,3,2,0.6
1104,100.5,3,11,0.21
1105,100.51,1,1,0.5
1106,100.6,2,7,0.22
1107,100.63,1,3,0.25
1108,100.67,2,6,0.25
1109,100.7,1,6,0.14
1110,100.8,47,67,0.41
1111,100.86,2,2,0.5
1112,100.87,2,6,0.25
1113,101.0,101,118,0.46
1114,101.03,1,2,0.33
1115,101.1,7,1,0.88
1116,101.15,12,17,0.41
1117,101.25,12,9,0.57
1118,101.31,2,2,0.5
1119,101.33,2,28,0.07
1120,101.34,1,2,0.33
1121,101.38,1,3,0.25
1122,101.4,2,11,0.15
1123,101.43,1,4,0.2
1124,101.5,355,58,0.86
1125,101.51,1,2,0.33
1126,101.58,4,10,0.29
1127,101.68,1,6,0.14
1128,101.7,14,19,0.42
1129,101.72,1,3,0.25
1130,101.75,1,6,0.14
1131,101.78,1,1,0.5
1132,101.8,2,2,0.5
1133,101.87,1,3,0.25
1134,101.98,1,1,0.5
1135,102.0,24,125,0.16
1136,102.04,5,3,0.62
1137,102.1,1,8,0.11
1138,102.15,3,2,0.6
1139,102.24,1,1,0.5
1140,102.25,4,8,0.33
1141,102.28,1,1,0.5
1142,102.3,2,22,0.08
1143,102.33,5,7,0.42
1144,102.38,1,2,0.33
1145,102.43,13,8,0.62
1146,102.5,5,10,0.33
1147,102.51,1,1,0.5
1148,102.56,2,3,0.4
1149,102.6,49,60,0.45
1150,102.68,2,6,0.25
1151,102.7,1,3,0.25
1152,102.72,2,1,0.67
1153,102.75,1,1,0.5
1154,102.85,14,15,0.48
1155,103.0,34,75,0.31
1156,103.05,16,22,0.42
1157,103.19,1,1,0.5
1158,103.2,4,8,0.33
1159,103.33,1,1,0.5
1160,103.37,1,1,0.5
1161,103.46,1,1,0.5
1162,103.5,88,116,0.43
1163,103.55,1,1,0.5
1164,103.57,1,2,0.33
1165,103.6,3,8,0.27
1166,103.68,2,4,0.33
1167,103.7,29,26,0.53
1168,103.71,1,1,0.5
1169,103.75,4,3,0.57
1170,103.76,1,1,0.5
1171,103.8,8,9,0.47
1172,103.84,1,8,0.11
1173,103.95,3,17,0.15
1174,104.0,55,311,0.15
1175,104.05,3,4,0.43
1176,104.18,1,1,0.5
1177,104.22,1,1,0.5
1178,104.25,3,3,0.5
1179,104.4,41,58,0.41
1180,104.49,4,4,0.5
1181,104.5,3,18,0.14
1182,104.55,19,24,0.44
1183,104.64,1,3,0.25
1184,104.72,4,10,0.29
1185,104.73,2,2,0.5
1186,104.75,1,1,0.5
1187,104.76,3,4,0.43
1188,104.79,1,1,0.5
1189,104.85,7,36,0.16
1190,104.98,1,3,0.25
1191,105.0,373,324,0.54
1192,105.08,1,1,0.5
1193,105.12,2,1,0.67
1194,105.13,1,1,0.5
1195,105.2,1,4,0.2
1196,105.28,1,2,0.33
1197,105.3,113,161,0.41
1198,105.33,2,17,0.11
1199,105.34,1,4,0.2
1200,105.4,19,29,0.4
1201,105.47,2,1,0.67
1202,105.5,3,19,0.14
1203,105.6,3,5,0.38
1204,105.61,6,3,0.67
1205,105.71,1,1,0.5
1206,105.75,6,12,0.33
1207,105.8,2,1,0.67
1208,105.83,3,9,0.25
1209,105.84,3,1,0.75
1210,105.9,2,16,0.11
1211,106.0,72,168,0.3
1212,106.03,1,3,0.25
1213,106.13,1,3,0.25
1214,106.2,90,77,0.54
1215,106.25,12,31,0.28
1216,106.3,1,8,0.11
1217,106.33,2,12,0.14
1218,106.35,2,5,0.29
1219,106.4,4,18,0.18
1220,106.5,3,25,0.11
1221,106.53,1,1,0.5
1222,106.56,1,2,0.33
1223,106.59,2,2,0.5
1224,106.6,1,2,0.33
1225,106.65,4,5,0.44
1226,106.67,3,12,0.2
1227,106.68,2,4,0.33
1228,106.7,2,1,0.67
1229,106.71,1,3,0.25
1230,106.74,2,1,0.67
1231,106.75,3,7,0.3
1232,106.8,2,7,0.22
1233,106.84,1,2,0.33
1234,106.88,1,3,0.25
1235,106.9,1,1,0.5
1236,107.0,37,256,0.13
1237,107.1,203,216,0.48
1238,107.2,6,11,0.35
1239,107.33,3,2,0.6
1240,107.38,1,1,0.5
1241,107.42,1,2,0.33
1242,107.55,4,5,0.44
1243,107.57,1,1,0.5
1244,107.6,2,2,0.5
1245,107.63,1,2,0.33
1246,107.64,2,1,0.67
1247,107.67,1,8,0.11
1248,107.7,1,1,0.5
1249,107.75,1,1,0.5
1250,107.8,1,2,0.33
1251,107.82,1,1,0.5
1252,107.95,16,25,0.39
1253,108.0,301,512,0.37
1254,108.1,1,2,0.33
1255,108.11,2,11,0.15
1256,108.15,1,2,0.33
1257,108.17,1,2,0.33
1258,108.26,1,2,0.33
1259,108.3,6,15,0.29
1260,108.33,3,4,0.43
1261,108.38,5,5,0.5
1262,108.4,1,3,0.25
1263,108.42,1,9,0.1
1264,108.45,4,10,0.29
1265,108.5,1,13,0.07
1266,108.54,3,1,0.75
1267,108.57,4,5,0.44
1268,108.67,4,6,0.4
1269,108.72,1,2,0.33
1270,108.75,3,5,0.38
1271,108.8,23,33,0.41
1272,108.9,35,44,0.44
1273,108.95,4,1,0.8
1274,109.0,119,431,0.22
1275,109.03,2,1,0.67
1276,109.2,3,7,0.3
1277,109.23,2,3,0.4
1278,109.25,2,11,0.15
1279,109.3,1,6,0.14
1280,109.33,5,4,0.56
1281,109.35,5,3,0.62
1282,109.38,1,4,0.2
1283,109.4,1,3,0.25
1284,109.44,2,2,0.5
1285,109.45,1,1,0.5
1286,109.49,1,2,0.33
1287,109.5,1,13,0.07
1288,109.58,1,2,0.33
1289,109.65,32,39,0.45
1290,109.66,1,1,0.5
1291,109.67,2,2,0.5
1292,109.71,2,1,0.67
1293,109.75,1,4,0.2
1294,109.8,149,88,0.63
1295,110.0,907,528,0.63
1296,110.08,2,7,0.22
1297,110.11,1,4,0.2
1298,110.15,1,4,0.2
1299,110.16,1,3,0.25
1300,110.2,2,5,0.29
1301,110.25,4,2,0.67
1302,110.33,2,3,0.4
1303,110.4,3,19,0.14
1304,110.43,2,2,0.5
1305,110.5,9,33,0.21
1306,110.6,1,2,0.33
1307,110.68,1,1,0.5
1308,110.7,35,57,0.38
1309,110.71,1,5,0.17
1310,110.75,8,11,0.42
1311,110.77,3,1,0.75
1312,110.78,2,1,0.67
1313,110.8,5,13,0.28
1314,110.84,1,2,0.33
1315,110.88,1,5,0.17
1316,110.97,2,1,0.67
1317,111.0,56,107,0.34
1318,111.15,2,5,0.29
1319,111.2,2,13,0.13
1320,111.25,3,4,0.43
1321,111.3,1,11,0.08
1322,111.33,1,8,0.11
1323,111.35,9,15,0.38
1324,111.4,1,2,0.33
1325,111.42,1,1,0.5
1326,111.59,1,2,0.33
1327,111.6,28,63,0.31
1328,111.65,1,5,0.17
1329,111.69,1,1,0.5
1330,111.75,2,9,0.18
1331,111.78,4,9,0.31
1332,111.83,3,2,0.6
1333,111.9,2,1,0.67
1334,111.92,1,4,0.2
1335,112.0,41,170,0.19
1336,112.01,3,6,0.33
1337,112.03,1,3,0.25
1338,112.05,5,7,0.42
1339,112.2,39,60,0.39
1340,112.22,1,2,0.33
1341,112.25,1,3,0.25
1342,112.32,2,2,0.5
1343,112.33,6,6,0.5
1344,112.42,2,6,0.25
1345,112.5,77,126,0.38
1346,112.58,1,2,0.33
1347,112.59,5,5,0.5
1348,112.63,4,9,0.31
1349,112.67,34,237,0.13
1350,112.7,2,8,0.2
1351,112.8,10,15,0.4
1352,112.87,2,2,0.5
1353,112.95,1,2,0.33
1354,113.0,19,81,0.19
1355,113.05,7,19,0.27
1356,113.1,4,2,0.67
1357,113.3,1,2,0.33
1358,113.33,4,11,0.27
1359,113.39,2,1,0.67
1360,113.4,50,41,0.55
1361,113.41,1,1,0.5
1362,113.5,2,5,0.29
1363,113.55,3,2,0.6
1364,113.56,1,2,0.33
1365,113.57,1,3,0.25
1366,113.6,6,8,0.43
1367,113.62,2,2,0.5
1368,113.67,3,3,0.5
1369,113.7,2,7,0.22
1370,113.85,1,2,0.33
1371,113.9,4,6,0.4
1372,114.0,62,199,0.24
1373,114.04,2,2,0.5
1374,114.14,1,2,0.33
1375,114.25,2,1,0.67
1376,114.28,1,1,0.5
1377,114.29,2,3,0.4
1378,114.3,60,88,0.41
1379,114.33,3,6,0.33
1380,114.4,2,93,0.02
1381,114.5,1,22,0.04
1382,114.55,1,1,0.5
1383,114.67,2,3,0.4
1384,114.69,1,2,0.33
1385,114.73,2,5,0.29
1386,114.75,18,29,0.38
1387,114.8,1,9,0.1
1388,114.9,5,11,0.31
1389,115.0,290,734,0.28
1390,115.03,1,2,0.33
1391,115.2,44,50,0.47
1392,115.25,1,4,0.2
1393,115.32,2,2,0.5
1394,115.37,2,1,0.67
1395,115.5,15,21,0.42
1396,115.55,1,2,0.33
1397,115.56,1,1,0.5
1398,115.6,19,28,0.4
1399,115.63,3,2,0.6
1400,115.67,2,3,0.4
1401,115.68,1,6,0.14
1402,115.74,2,1,0.67
1403,115.75,3,1,0.75
1404,115.84,2,1,0.67
1405,116.0,38,82,0.32
1406,116.1,130,178,0.42
1407,116.11,2,1,0.67
1408,116.28,2,5,0.29
1409,116.33,4,17,0.19
1410,116.4,1,4,0.2
1411,116.43,2,1,0.67
1412,116.45,12,9,0.57
1413,116.5,10,25,0.29
1414,116.53,1,1,0.5
1415,116.55,1,3,0.25
1416,116.6,1,2,0.33
1417,116.62,2,2,0.5
1418,116.67,5,8,0.38
1419,116.7,2,4,0.33
1420,116.72,1,1,0.5
1421,116.73,1,2,0.33
1422,116.75,3,4,0.43
1423,116.79,1,1,0.5
1424,116.8,1,6,0.14
1425,116.85,1,4,0.2
1426,116.95,1,6,0.14
1427,117.0,212,352,0.38
1428,117.04,2,9,0.18
1429,117.12,2,1,0.67
1430,117.18,1,1,0.5
1431,117.2,1,8,0.11
1432,117.29,1,3,0.25
1433,117.3,16,25,0.39
1434,117.33,1,3,0.25
1435,117.41,1,1,0.5
1436,117.45,3,5,0.38
1437,117.5,4,4,0.5
1438,117.51,1,1,0.5
1439,117.6,5,10,0.33
1440,117.64,1,1,0.5
1441,117.67,4,8,0.33
1442,117.68,1,1,0.5
1443,117.71,1,2,0.33
1444,117.73,3,3,0.5
1445,117.74,1,1,0.5
1446,117.8,1,6,0.14
1447,117.81,6,6,0.5
1448,117.82,1,1,0.5
1449,117.9,41,55,0.43
1450,118.0,76,148,0.34
1451,118.06,3,1,0.75
1452,118.08,1,4,0.2
1453,118.13,1,5,0.17
1454,118.15,17,21,0.45
1455,118.2,5,8,0.38
1456,118.25,1,4,0.2
1457,118.29,4,2,0.67
1458,118.3,1,1,0.5
1459,118.33,1,5,0.17
1460,118.4,1,1,0.5
1461,118.5,5,32,0.14
1462,118.58,2,8,0.2
1463,118.62,2,1,0.67
1464,118.65,2,2,0.5
1465,118.67,2,5,0.29
1466,118.7,2,1,0.67
1467,118.71,1,1,0.5
1468,118.75,5,4,0.56
1469,118.8,94,109,0.46
1470,118.96,1,1,0.5
1471,119.0,97,230,0.3
1472,119.1,7,9,0.44
1473,119.16,2,2,0.5
1474,119.17,2,2,0.5
1475,119.2,2,7,0.22
1476,119.25,7,25,0.22
1477,119.28,2,1,0.67
1478,119.33,2,6,0.25
1479,119.4,1,8,0.11
1480,119.44,2,2,0.5
1481,119.5,4,9,0.31
1482,119.52,2,3,0.4
1483,119.57,1,2,0.33
1484,119.7,21,24,0.47
1485,119.71,2,1,0.67
1486,119.75,1,2,0.33
1487,119.83,1,2,0.33
1488,119.85,25,62,0.29
1489,119.97,1,2,0.33
1490,120.0,953,601,0.61
1491,120.02,1,1,0.5
1492,120.06,4,1,0.8
1493,120.27,1,1,0.5
1494,120.28,1,3,0.25
1495,120.3,2,1,0.67
1496,120.33,2,3,0.4
1497,120.34,1,1,0.5
1498,120.35,1,3,0.25
1499,120.36,1,1,0.5
1500,120.38,1,5,0.17
1501,120.4,1,2,0.33
1502,120.43,1,2,0.33
1503,120.5,2,8,0.2
1504,120.58,1,1,0.5
1505,120.6,58,61,0.49
1506,120.69,3,1,0.75
1507,120.7,14,19,0.42
1508,120.71,2,1,0.67
1509,120.82,1,1,0.5
1510,120.83,5,3,0.62
1511,120.9,2,5,0.29
1512,120.96,1,1,0.5
1513,121.0,63,85,0.43
1514,121.01,1,1,0.5
1515,121.05,5,1,0.83
1516,121.1,2,9,0.18
1517,121.14,1,1,0.5
1518,121.2,1,5,0.17
1519,121.21,1,1,0.5
1520,121.25,1,3,0.25
1521,121.33,8,20,0.29
1522,121.47,1,1,0.5
1523,121.5,95,139,0.41
1524,121.55,2,11,0.15
1525,121.6,5,11,0.31
1526,121.67,1,4,0.2
1527,121.7,1,2,0.33
1528,121.75,1,6,0.14
1529,121.8,5,6,0.45
1530,121.88,2,4,0.33
1531,122.0,27,70,0.28
1532,122.04,1,2,0.33
1533,122.1,2,3,0.4
1534,122.33,8,7,0.53
1535,122.4,50,205,0.2
1536,122.45,3,1,0.75
1537,122.5,5,12,0.29
1538,122.63,1,1,0.5
1539,122.67,1,7,0.12
1540,122.7,3,12,0.2
1541,122.76,1,2,0.33
1542,122.86,2,2,0.5
1543,123.0,51,131,0.28
1544,123.1,1,3,0.25
1545,123.11,1,2,0.33
1546,123.12,1,2,0.33
1547,123.2,2,17,0.11
1548,123.25,4,15,0.21
1549,123.3,62,75,0.45
1550,123.33,6,16,0.27
1551,123.38,1,1,0.5
1552,123.5,5,38,0.12
1553,123.6,2,4,0.33
1554,123.62,1,3,0.25
1555,123.75,15,10,0.6
1556,123.8,1,4,0.2
1557,123.84,2,2,0.5
1558,123.9,2,3,0.4
1559,123.98,3,5,0.38
1560,124.0,47,174,0.21
1561,124.1,9,14,0.39
1562,124.2,14,18,0.44
1563,124.25,6,5,0.55
1564,124.36,1,1,0.5
1565,124.4,3,1,0.75
1566,124.5,5,19,0.21
1567,124.53,2,1,0.67
1568,124.6,2,1,0.67
1569,124.65,3,3,0.5
1570,124.67,3,7,0.3
1571,124.7,1,3,0.25
1572,124.74,1,1,0.5
1573,124.8,7,7,0.5
1574,125.0,216,226,0.49
1575,125.1,81,161,0.33
1576,125.2,2,3,0.4
1577,125.25,1,7,0.12
1578,125.28,1,1,0.5
1579,125.33,3,6,0.33
1580,125.4,2,10,0.17
1581,125.46,1,3,0.25
1582,125.5,1,6,0.14
1583,125.52,1,1,0.5
1584,125.55,7,2,0.78
1585,125.6,1,3,0.25
1586,125.62,1,1,0.5
1587,125.67,4,3,0.57
1588,125.7,5,1,0.83
1589,125.71,2,1,0.67
1590,125.8,16,22,0.42
1591,125.9,2,2,0.5
1592,126.0,349,501,0.41
1593,126.01,1,1,0.5
1594,126.1,1,2,0.33
1595,126.13,1,1,0.5
1596,126.3,2,8,0.2
1597,126.33,5,9,0.36
1598,126.4,2,2,0.5
1599,126.48,2,1,0.67
1600,126.5,1,4,0.2
1601,126.6,2,7,0.22
1602,126.64,1,2,0.33
1603,126.65,3,3,0.5
1604,126.67,17,13,0.57
1605,126.71,1,1,0.5
1606,126.8,2,5,0.29
1607,126.9,88,131,0.4
1608,127.0,26,101,0.2
1609,127.1,2,4,0.33
1610,127.14,2,1,0.67
1611,127.15,1,6,0.14
1612,127.2,7,6,0.54
1613,127.22,1,1,0.5
1614,127.25,3,1,0.75
1615,127.33,2,12,0.14
1616,127.38,2,4,0.33
1617,127.47,2,1,0.67
1618,127.5,12,24,0.33
1619,127.58,4,1,0.8
1620,127.6,2,5,0.29
1621,127.62,2,2,0.5
1622,127.65,1,1,0.5
1623,127.67,5,7,0.42
1624,127.71,2,5,0.29
1625,127.75,2,2,0.5
1626,127.8,41,48,0.46
1627,127.83,1,3,0.25
1628,127.93,5,3,0.62
1629,127.94,1,1,0.5
1630,128.0,42,169,0.2
1631,128.1,3,4,0.43
1632,128.2,1,3,0.25
1633,128.25,1,11,0.08
1634,128.28,1,1,0.5
1635,128.4,4,10,0.29
1636,128.5,1,9,0.1
1637,128.57,1,4,0.2
1638,128.69,1,1,0.5
1639,128.7,23,47,0.33
1640,128.71,1,1,0.5
1641,128.78,1,2,0.33
1642,128.8,7,7,0.5
1643,128.92,1,1,0.5
1644,129.0,100,224,0.31
1645,129.1,1,1,0.5
1646,129.15,1,1,0.5
1647,129.2,8,20,0.29
1648,129.29,1,1,0.5
1649,129.3,1,2,0.33
1650,129.33,4,9,0.31
1651,129.48,1,1,0.5
1652,129.5,9,18,0.33
1653,129.58,1,2,0.33
1654,129.6,24,49,0.33
1655,129.67,1,3,0.25
1656,129.7,5,13,0.28
1657,129.73,2,1,0.67
1658,129.9,3,6,0.33
1659,129.96,1,4,0.2
1660,130.0,804,405,0.67
1661,130.05,24,35,0.41
1662,130.2,3,1,0.75
1663,130.22,1,2,0.33
1664,130.33,4,9,0.31
1665,130.4,2,2,0.5
1666,130.48,1,1,0.5
1667,130.5,161,204,0.44
1668,130.6,2,1,0.67
1669,130.67,8,13,0.38
1670,130.75,1,2,0.33
1671,130.78,2,2,0.5
1672,130.8,6,5,0.55
1673,130.9,15,20,0.43
1674,131.0,20,101,0.17
1675,131.1,1,4,0.2
1676,131.13,2,1,0.67
1677,131.14,2,1,0.67
1678,131.2,4,9,0.31
1679,131.25,1,2,0.33
1680,131.26,1,1,0.5
1681,131.4,46,42,0.52
1682,131.5,1,12,0.08
1683,131.52,1,1,0.5
1684,131.6,5,7,0.42
1685,131.63,1,1,0.5
1686,131.67,4,3,0.57
1687,131.7,2,10,0.17
1688,131.75,7,12,0.37
1689,132.0,19,78,0.2
1690,132.05,3,2,0.6
1691,132.18,2,6,0.25
1692,132.25,1,2,0.33
1693,132.3,64,38,0.63
1694,132.33,5,5,0.5
1695,132.44,1,5,0.17
1696,132.48,2,1,0.67
1697,132.5,7,18,0.28
1698,132.6,32,50,0.39
1699,132.67,1,5,0.17
1700,132.77,2,1,0.67
1701,132.8,1,3,0.25
1702,132.86,2,2,0.5
1703,132.88,3,1,0.75
1704,132.9,3,8,0.27
1705,133.0,32,102,0.24
1706,133.07,1,2,0.33
1707,133.1,1,3,0.25
1708,133.11,1,1,0.5
1709,133.17,1,2,0.33
1710,133.2,25,16,0.61
1711,133.29,1,2,0.33
1712,133.33,9,27,0.25
1713,133.45,2,4,0.33
1714,133.5,7,16,0.3
1715,133.6,3,4,0.43
1716,133.67,1,2,0.33
1717,133.74,3,3,0.5
1718,133.75,1,2,0.33
1719,133.8,2,6,0.25
1720,133.98,1,3,0.25
1721,134.0,58,134,0.3
1722,134.1,36,47,0.43
1723,134.17,1,1,0.5
1724,134.25,2,3,0.4
1725,134.3,22,20,0.52
1726,134.33,2,2,0.5
1727,134.36,1,1,0.5
1728,134.4,1,5,0.17
1729,134.46,1,1,0.5
1730,134.5,3,17,0.15
1731,134.55,1,2,0.33
1732,134.67,1,2,0.33
1733,134.73,2,7,0.22
1734,134.8,1,4,0.2
1735,134.83,1,2,0.33
1736,134.85,1,12,0.08
1737,134.86,1,2,0.33
1738,135.0,318,350,0.48
1739,135.13,1,1,0.5
1740,135.15,7,10,0.41
1741,135.2,2,6,0.25
1742,135.27,6,2,0.75
1743,135.3,1,3,0.25
1744,135.31,1,1,0.5
1745,135.33,12,10,0.55
1746,135.4,1,3,0.25
1747,135.45,1,4,0.2
1748,135.5,3,10,0.23
1749,135.6,2,6,0.25
1750,135.64,1,2,0.33
1751,135.9,73,99,0.42
1752,135.91,1,1,0.5
1753,136.0,50,137,0.27
1754,136.1,1,4,0.2
1755,136.14,1,1,0.5
1756,136.2,3,5,0.38
1757,136.29,1,2,0.33
1758,136.33,1,2,0.33
1759,136.35,1,2,0.33
1760,136.5,6,41,0.13
1761,136.67,5,8,0.38
1762,136.75,1,1,0.5
1763,136.8,23,32,0.42
1764,137.0,24,68,0.26
1765,137.14,4,2,0.67
1766,137.25,12,14,0.46
1767,137.34,1,1,0.5
1768,137.38,1,1,0.5
1769,137.4,3,2,0.6
1770,137.5,4,7,0.36
1771,137.52,2,5,0.29
1772,137.57,1,7,0.12
1773,137.6,1,2,0.33
1774,137.67,10,3,0.77
1775,137.7,55,120,0.31
1776,137.71,2,1,0.67
1777,137.75,1,8,0.11
1778,137.8,1,3,0.25
1779,137.85,1,1,0.5
1780,137.89,1,1,0.5
1781,138.0,24,107,0.18
1782,138.02,3,2,0.6
1783,138.13,1,2,0.33
1784,138.15,2,1,0.67
1785,138.25,1,3,0.25
1786,138.3,1,1,0.5
1787,138.33,4,10,0.29
1788,138.38,14,9,0.61
1789,138.5,2,21,0.09
1790,138.55,6,9,0.4
1791,138.6,47,33,0.59
1792,138.67,1,4,0.2
1793,138.71,1,1,0.5
1794,138.83,1,5,0.17
1795,138.9,2,3,0.4
1796,139.0,84,202,0.29
1797,139.05,3,4,0.43
1798,139.14,2,1,0.67
1799,139.2,2,13,0.13
1800,139.28,9,1,0.9
1801,139.33,1,6,0.14
1802,139.5,132,159,0.45
1803,139.51,1,3,0.25
1804,139.52,1,1,0.5
1805,139.6,3,2,0.6
1806,139.68,4,1,0.8
1807,139.8,1,4,0.2
1808,139.95,6,11,0.35
1809,140.0,457,386,0.54
1810,140.14,2,1,0.67
1811,140.25,2,3,0.4
1812,140.27,2,3,0.4
1813,140.33,1,5,0.17
1814,140.4,94,86,0.52
1815,140.7,4,12,0.25
1816,140.76,2,1,0.67
1817,140.8,1,12,0.08
1818,140.9,1,2,0.33
1819,140.94,2,2,0.5
1820,140.98,1,2,0.33
1821,141.0,41,106,0.28
1822,141.1,2,4,0.33
1823,141.14,3,1,0.75
1824,141.3,36,16,0.69
1825,141.33,2,5,0.29
1826,141.46,1,1,0.5
1827,141.5,4,10,0.29
1828,141.56,2,1,0.67
1829,141.6,1,7,0.12
1830,141.67,1,6,0.14
1831,141.68,1,3,0.25
1832,141.7,2,1,0.67
1833,141.75,2,4,0.33
1834,142.0,20,59,0.25
1835,142.1,2,3,0.4
1836,142.2,34,53,0.39
1837,142.3,1,2,0.33
1838,142.33,1,5,0.17
1839,142.36,1,1,0.5
1840,142.38,1,1,0.5
1841,142.43,1,1,0.5
1842,142.5,1,19,0.05
1843,142.67,4,5,0.44
1844,142.8,2,4,0.33
1845,142.88,1,3,0.25
1846,143.0,13,46,0.22
1847,143.1,57,42,0.58
1848,143.2,2,7,0.22
1849,143.28,4,3,0.57
1850,143.29,1,1,0.5
1851,143.33,4,5,0.44
1852,143.38,2,1,0.67
1853,143.4,3,3,0.5
1854,143.43,1,2,0.33
1855,143.5,4,13,0.24
1856,143.55,5,2,0.71
1857,143.57,2,1,0.67
1858,143.6,1,4,0.2
1859,143.7,4,6,0.4
1860,144.0,128,230,0.36
1861,144.14,2,2,0.5
1862,144.2,2,1,0.67
1863,144.23,1,1,0.5
1864,144.33,5,1,0.83
1865,144.45,1,3,0.25
1866,144.5,11,18,0.38
1867,144.57,1,1,0.5
1868,144.6,1,1,0.5
1869,144.63,1,1,0.5
1870,144.67,1,6,0.14
1871,144.8,5,6,0.45
1872,144.9,8,18,0.31
1873,145.0,49,157,0.24
1874,145.1,3,4,0.43
1875,145.2,4,7,0.36
1876,145.25,1,1,0.5
1877,145.35,3,2,0.6
1878,145.4,1,3,0.25
1879,145.5,6,9,0.4
1880,145.6,1,4,0.2
1881,145.67,2,9,0.18
1882,145.71,4,2,0.67
1883,145.8,16,15,0.52
1884,145.87,1,3,0.25
1885,145.88,2,1,0.67
1886,146.0,48,88,0.35
1887,146.1,1,8,0.11
1888,146.11,1,1,0.5
1889,146.2,6,9,0.4
1890,146.25,3,6,0.33
1891,146.33,2,6,0.25
1892,146.4,1,6,0.14
1893,146.5,1,12,0.08
1894,146.57,1,2,0.33
1895,146.6,3,5,0.38
1896,146.67,11,23,0.32
1897,146.7,22,50,0.31
1898,146.78,1,1,0.5
1899,146.8,1,3,0.25
1900,146.92,1,3,0.25
1901,146.93,2,1,0.67
1902,146.96,2,2,0.5
1903,147.0,40,71,0.36
1904,147.1,1,1,0.5
1905,147.15,1,1,0.5
1906,147.2,1,3,0.25
1907,147.25,3,9,0.25
1908,147.3,1,3,0.25
1909,147.5,3,6,0.33
1910,147.6,10,16,0.38
1911,147.67,2,7,0.22
1912,147.9,19,24,0.44
1913,148.0,15,62,0.19
1914,148.1,1,3,0.25
1915,148.13,1,2,0.33
1916,148.25,1,1,0.5
