tt0113092,Dean Cain,Thomas Ian Griffith,Justin Whalin,Jodi Bianca Wise,Trae Thomas,Michelle Krusiec,Stephen Ramsey,Denis Sharp,Lisa Foster,Violeta Markovska
tt0113086,Dimas González,José Torres,,,,,,,,
tt0116748,Juhi Chawla,Anil Kapoor,Rishi Kapoor,Tinnu Anand,Govardhan Asrani,Suresh Chatwal,Tisca Chopra,Sulabha Deshpande,Dinesh Hingoo,Inder Khosla
tt0116391,Jackie Shroff,Nana Patekar,Kumar Gaurav,Jaaved Jaaferi,Juhi Chawla,Shagufta Ali,Mukesh Khanna,Gulshan Grover,Tinnu Anand,Imtiaz Khan
tt0118694,Tony Leung Chiu-wai,Maggie Cheung,Siu Ping-Lam,Tung Cho 'Joe' Cheung,Rebecca Pan,Kelly Lai Chen,Man-Lei Chan,Kam-Wah Koo,Szu-Ying Chien,Paulyn Sun
tt0118710,Patrick Clarke,Beverley Elder,Conn Horgan,Malachy McCourt,Roger Davis,Ruth Miller,Valentina Olmos,Neale Harper,William Stone Mahoney,Brian Mallon
tt0118852,Al Pacino,Jerry Orbach,Susan Floyd,Ellen McElduff,Michel Moinot,Judette Jones,Paul J.Q. Lee,Joel Eidelsberg,Maria Gentile,Christopher Evan Welch
tt0119866,Gérard Lanvin,Charlotte Gainsbourg,Eric Ruf,Tania Da Costa,Liliane Rovère,Catherine Sola,Laura Martins Correa,Angélica Chaves,Bérénice Bejo,Holly Massee
tt0119495,Michael Muhney,Mary Kay Cook,Jon Collins,Jimmy Slonina,Heidi Mokrycki,Jeff Anderson,Will Carpenter,Chuck Raucci,Kim Wade,Tiffany Paulsen
tt0119966,Tom Breeding,Jeff Britt,Paula Rester,Craig McGonagill,Ramiro L. Ramirez,James Kersey,Allie Smith,Clay Parsley,Reagan Johnson,Margaret O. Smith
tt0120202,Philip Seymour Hoffman,William H. Macy,Rebecca Pidgeon,Michael Higgins,Michael Bradshaw,Morris Lamore,Allen Soule,Clark Gregg,Ricky Jay,Julia Stiles
tt0120467,Brian O'Halloran,Bryan Johnson,Jerry Lewkowitz,Ethan Suplee,Matthew Maher,Don Gentile,Thomas W. Leidner,Michael Tierney,David Gilbert,Erik Johnson
tt0123003,Alex D. Linz,Shirley MacLaine,Gary Sinise,Joey Lauren Adams,Kathy Bates,Kiami Davael,Stacey Halprin,Jennifer Tilly,Gwen Verdon,Brett Butler
tt0122161,Dennis Hopper,Marley Shelton,Devon Gummersall,Talia Shire,Michael Cudlitz,Peter Onorati,Richard Portnow,Cheri Oteri,Ryan Bollman,Joel Traywick
tt0120117,Govinda,Tabu,Karisma Kapoor,Shweta Menon,Nirmal Pandey,Sushma Seth,Kiran Kumar,Johny Lever,Rana Jung Bahadur,Vishnu Sharma
tt0120626,Stefano Accorsi,Maria de Medeiros,Joaquim de Almeida,Frédéric Pierrot,Fele Martínez,Manuel João Vieira,Marcantonio Del Carlo,Emmanuel Salinger,Rita Durão,Manuel Manquiña
tt0120263,Lars Nordh,Stefan Larsson,Bengt C.W. Carlsson,Torbjörn Fahlström,Sten Andersson,Rolando Núñez,Lucio Vucina,Per Jörnelius,Peter Roth,Klas-Gösta Olsson
tt0120753,Jeremy Davies,Milla Jovovich,Mel Gibson,Jimmy Smits,Peter Stormare,Amanda Plummer,Gloria Stuart,Tom Bower,Donal Logue,Bud Cort
tt0120630,Mel Gibson,Julia Sawalha,Phil Daniels,Lynn Ferguson,Tony Haygarth,Jane Horrocks,Miranda Richardson,Timothy Spall,Imelda Staunton,Benjamin Whitrow
tt0120698,Stephen McHattie,Laura Harris,Jason Priestley,Gordon Michael Woolvett,Bernie Coulson,Louis Gossett Jr.,Linda Griffiths,Nicolas Van Burek,Donald Burda,Peter Keleghan
tt0122459,David Duchovny,Minnie Driver,Carroll O'Connor,Robert Loggia,Bonnie Hunt,David Alan Grier,Joely Richardson,Eddie Jones,Jim Belushi,Marianne Muellerleile
tt0127349,Billy Crudup,Bill Haugland,Nelson Landrieu,Ivonne Coll,Jennifer Connelly,Maxine Guess,Paul Hipp,Hal Holbrook,Lawrence Dane,Ed Harris
tt0130623,D.B. Sweeney,Julianna Margulies,Samuel E. Wright,Alfre Woodard,Ossie Davis,Max Casella,Hayden Panettiere,Peter Siragusa,Joan Plowright,Della Reese
tt0134630,Huey Lewis,Gwyneth Paltrow,Paul Giamatti,Andre Braugher,Lochlyn Munro,Carol Alexander,Michael J Rogers,Amanda Kravat,Ian Robison,Roger Haskett
tt0133752,Carmine Giovinazzo,Louis Ferreira,Karen Black,Peter Onorati,Richard Portnow,Jan Schweiterman,Darcy Belsher,Phillip Glasser,John Del Regno,Clint Curtis
