tt0110476,Viktor Rakov,Anastasiya Vertinskaya,Nikolay Burlyaev,Mikhail Ulyanov,Valentin Gaft,Aleksandr Filippenko,Vladimir Steklov,Viktor Pavlov,Aleksandra Zakharova,Sergey Garmash
tt0360323,James Marsden,Giovanni Ribisi,Brad Renfro,Piper Perabo,Dennis Hopper,Brian Dennehy,Lesley Ann Warren,Leo Rossi,Dash Mihok,Tommy Lee
tt0362225,François Cluzet,Marie-Josée Croze,André Dussollier,Kristin Scott Thomas,François Berléand,Nathalie Baye,Jean Rochefort,Marina Hands,Gilles Lellouche,Philippe Lefebvre
tt0362993,Tami Reynolds,Kris Park,Ivan Martin,Evan Brenner,Francesco Curá,Jimmy Drago,Andrew Fiscella,Danyelle Freeman,Daniel Harnett,Katie Hyde
tt0364745,Monet Mazur,Julian Morris,J.A.Q.,Johnny Pruitt,Fran Kranz,Rob Sullivan,Roderick Pannell,Woody Boley,Daniel Franzese,Leon Addison Brown
tt0364955,Max Minghella,Sophia Myles,John Malkovich,Jim Broadbent,Matt Keeslar,Ethan Suplee,Joel David Moore,Nick Swardson,Anjelica Huston,Adam Scott
tt0367027,Sook-Yin Lee,Peter Stickles,PJ DeBoy,Paul Dawson,Lindsay Beamish,Adam Hardman,Raphael Barker,David Pittu,Jeff Whitty,Mickey Cottrell
tt0367567,Johnathon Schaech,Sendi Bar,Angélica María,Nicholas Gonzalez,Seymour Cassel,Sonia Braga,Julio Bekhor,Gastón Melo,Daniela Schmidt,Grecia Estrada Ochoa
tt0366180,Chiranjeevi,Trisha Krishnan,Prakash Raj,Sharada,Mukesh Rishi,Kushboo,Brahmaji,Sunil,L.B. Sriram,Hema
tt0368863,Luciano Cazaux,Celina Zambón,Maya Lesca,Cristian Stevenot,Ernesto Duffour,Gastón Campana,Mónica Lacoste,Teresa Mejias,Julio Marticorena,Oscar Cagnoli
tt0370893,Meital Dohan,Alon Aboutboul,Yuval Segal,Uri Klauzner,Moni Moshonov,Rita Shukrun,Ofra Weingarten,Nissim Levy,David Danino,Dganit Barak
tt0373900,Joleigh Fiore,Bret Roberts,Brittany Daniel,Joseph McKelheer,Vanessa Nigro,Channon Roe,Valerie Stodghill,Tomas Arana,Clifton Collins Jr.,Rhino Michaels
tt0373999,Sven Medvesek,Sandra Ceccarelli,Zarko Potocnjak,Goran Grgic,Andrea Buscemi,Mladen Vulic,Radko Polic,Vanja Drach,Mise Martinovic,Vlatko Dulic
tt0375154,James Franco,Sophia Myles,Rufus Sewell,David O'Hara,Mark Strong,Henry Cavill,Bronagh Gallagher,Ronan Vibert,Lucy Russell,JB Blanc
tt0378816,Shelley Andagan,Lisa Arturo,Bre Blair,Mel Braxton,Lou George,Bill Glass,Anna Hsieh,Teri Jaworski,Christine Klotz,Elana Krausz
tt0377904,Giovanni Brignola,Gabrielle Scharnitzky,Elisabetta D'Arco,Rainer Winkelvoss,Arnoldo Foà,Lydia Billiet,Tatjana Blacher,Manfred Breitenstein,Jock Bruno,Michele Campanale
tt0377320,Sally Kirkland,Damon Shalit,Daphne Zuniga,JoAnna Garcia Swisher,Peter Dobson,Edward Albert,Leigh Taylor-Young,Sam Pancake,Renée Taylor,John Colton
tt0381053,Josh Wise,Chelse Swain,Sean Shanks,Amanda MacDonald,Tony LaThanh,Corbin Bernsen,Toni Turpen,Carlos A. Cabarcas,Brishel Prichard,Jerry Lamont
tt0383478,Jonathan Tucker,Jeremy Renner,Ginnifer Goodwin,Christine Ebersole,Michael Fairman,Sean Sweeney,Neil Giuntoli,Googy Gress,Bodhi Elfman,Matt Bentle
tt0382765,Laura Linney,Gabriel Byrne,John Howard,Stelios Yiakmis,Chris Haywood,Tatea Reilly,Eva Rees,Deborra-Lee Furness,Eva Lazzaro,Maya Daniels
tt0384798,Mimi Michaels,Laura Anderson,Carl Ballantine,Teres Byrne,Kiera Chaplin,Barbara Kerr Condon,Angela de Malignon,Etienne Eckert,Linda Fitak,Michael Gier
tt0384814,Colin Farrell,Salma Hayek,Donald Sutherland,Eileen Atkins,Idina Menzel,Justin Kirk,Jeremy Crutchley,Ronald France,Dionysio Basco,Donna Mosley
tt0385757,Tristán Ulloa,Mimí Ardú,Tomás Lipan,Carolina Román,Takuta Gordillo,Daniela Carril,Rubén Fleitas,Titina Gaspar,Loris Curci,
tt0385726,Josh Lucas,Derek Luke,Austin Nichols,Jon Voight,Evan Jones,Schin A.S. Kerr,Alphonso McAuley,Mehcad Brooks,Sam Jones III,Damaine Radcliff
tt0387877,Josh Hartnett,Aaron Eckhart,Scarlett Johansson,Hilary Swank,Mia Kirshner,Mike Starr,Fiona Shaw,Patrick Fischler,James Otis,John Kavanagh
tt0386486,Buddy Dolan,Mikki Padilla,James Kyson,Nikki Knight,Simon Needham,America Young,Stacey Longoria,Gregory Franklin,Kandra King,Garret Sato
