tt0118141,Michael Blevis,Carlos Richardson,Lisa Fusco,Steven C. Stewart,Crispin Glover,John Insinna,Kelly Swiderski,Robin Adams,Adam Parfrey,Rikky Wittman
tt0319250,Ernesto D. Pasquini,Juan Aguilera,Adrián Airala,Virgilio Gigli,Luis Margani,José Luis Maronna,Ñoti Martínez,Tito Visentín,,
tt0320661,Orlando Bloom,Eva Green,Liam Neeson,Martin Hancock,Michael Sheen,Nathalie Cox,Eriq Ebouaney,Jouko Ahola,David Thewlis,Philip Glenister
tt0321463,Liam Norberg,Sofia Helin,Mats Helin,Reine Brynolfsson,Stina Ekblad,Ken Ring,Thorsten Flinck,Keve Hjelm,Valerio Amico,Leif Andrée
tt0322346,Boy Olmi,Pablo Ortolani,Marilina Ross,Silvia Montanari,Jorge Azurmendi,Fabio Aste,Patricia Palmer,Virginia Lago,Fabiana García Lago,Víctor Laplace
tt0321722,Marcelo Zanelli,Rosa Martínez Rivero,Marilyn Sánchez,Daniel Valdez,Audry Gutiérrez Alea,,,,,
tt0325191,Arsinée Khanjian,Setta Keshishian,Roula Said,Fadia Nadda,Jeff Seymour,Kathryn Winslow,Shawn Doyle,Aaron Abrams,Mary Lou Fallis,David Alpay
tt0325444,,,,,,,,,,
tt0326367,Julian Sands,Julianne Nicholson,Max Beesley,Mina Badie,Jennifer Lazea,Ashley Rose,,,,
tt0326905,Benjamin Bratt,Joseph Fiennes,James Franco,Robert Mammone,Max Martini,James Carpinello,Mark Consuelos,Craig McLachlan,Freddie Joe Farnsworth,Laird Macintosh
tt0328121,Lorraine Bracco,David Paymer,Emma Adele Galvin,David Krumholtz,Ross Babbit,Alexander Maldonado,Guillermo Diaz,Rosanna Arquette,Ralf Moeller,Tim Blake Nelson
tt0328503,Zulfi Sayed,Sonya Jehan,Kabir Bedi,Arbaaz Khan,Pooja Batra,Milind Gunaji,Vaquar Shaikh,Arbaaz Ali Khan,Negar Khan,Shahid Khan
tt0332047,Drew Barrymore,Jimmy Fallon,Jason Spevack,Jack Kehler,Scott Severance,Jessamy Finet,Maureen Keiller,Lenny Clarke,Ione Skye,KaDee Strickland
tt0336392,Sarita Choudhury,Germain Houde,Joost Siedhoff,Said Amel,Josep Maria Domènech,Pepa López,Pep Guinyol,Pep Sais,Pep Tosar,Mulie Jarju
tt0337122,Michael Phillip Edwards,Carl Bradshaw,Nadège August,Patrice Pitman Quinn,Ronald Goshop,David Roberson,Chance Smith,Patrice Clark,Isaac Michael Edwards,Niyah Edwards
tt0337678,Aleksandr Efimov,Kseniya Alfyorova,Valeriy Nikolaev,Michael Gor,Malcolm McDowell,Armand Assante,Rutger Hauer,Ivars Kalnins,Olga Yakovtseva,Anatoliy Zhuravlyov
tt0337646,Barbara Williams,Michael O'Keefe,Beth Broderick,Wendy Benson-Landes,Lackey Bevis,Patrick Bristow,Stan Cahill,Don Dowe,Robert Gossett,Aleks Lyons
tt0337610,Armand Assante,Sonny Marinelli,Raffaello Degruttola,Stanley Townsend,Clare Holman,Frankie Nasso,Jason Durran,Tony Schiena,Jeff Merchant,Ray Nicholas
tt0337656,Gil Bellows,Jennifer Westfeldt,Christian Kane,Kim Raver,Jamie Harrold,Elizabeth Peña,Stacy Keach,Gary Anthony Williams,Cynthia Martells,Dennis Burkley
tt0338294,Michael Rodrick,Debbie Rochon,Frank Olivier,Lloyd Kaufman,Bob Gosse,Michael Risley,James Burton,Mark Tchelistcheff,Rod Razor,Steve Olivieri
tt0337735,Joe McFadden,Kate Ashfield,Matthew Delamere,Christine Tremarco,Vas Blackwood,Karine Adrover,Karen Tomlin,Neve McIntosh,Christopher Simon,Troy Titus-Adams
tt0337573,Norman Reedus,Christian von Aster,André Hennicke,Waltraud Witte,Konstantin Graudus,Heinz Hoenig,Wotan Wilke Möhring,Ulrike Krumbiegel,Hauke Diekamp,Jürgen Schornagel
tt0339642,Johnny Knoxville,Elizabeth Banks,Beth Grant,Laura Cayouette,Thomas Jackson Burt,Ken Jackson,Sophie Traub,David Koechner,Matthew Sharp,James Parks
tt0338427,Steve Martin,Claire Danes,Jason Schwartzman,Bridgette Wilson-Sampras,Sam Bottoms,Frances Conroy,Rebecca Pidgeon,Samantha Shelton,Gina Doctor,Clyde Kusatsu
tt0339743,Julian Adams,Gwendolyn Edwards,Eric Holloway,Amy Redford,Tippi Hedren,Joshua Lindsey,Mickey Rooney,Weston Adams,Bob Dorian,Edwin McCain
tt0342272,Jamie Bell,Alison Pill,Chris Owen,Bill Pullman,Michael Angarano,Danso Gordon,Novella Nelson,Mark Webber,Trevor Cooper,Matthew Géczy
tt0342640,Jennifer Fontaine,Topher Straus,David E. Baker,Catfish Bates,J.J. Boone,Satie Gossett,Daniel Schweiger,Allison Thomas-Miller,Carla Toutz,
tt0342735,Bryce Dallas Howard,Isaach De Bankolé,Danny Glover,Willem Dafoe,Michaël Abiteboul,Lauren Bacall,Jean-Marc Barr,Geoffrey Bateman,Virgile Bramly,Ruben Brinkman
tt0340163,Bruce Willis,Kevin Pollak,Serena Scott Thomas,Jimmy Bennett,Michelle Horn,Ben Foster,Jonathan Tucker,Marshall Allman,Rumer Willis,Kim Coates
