tt0202813,Toni Bertorelli,Antonio Catania,Giuseppe Cederna,Duccio Giordano,Emilio Solfrizzi,Antonio Stornaiolo,Fabio Canino,Francesco Stella,Giuliana de Sio,Adel Bakri
tt0204174,Bryan Neal,Dara Hollingsworth,Dennis Haskins,Eric Jungmann,Dan Zukovic,Andrew Prine,Timothy Bottoms,Julian Swan,Alex Shiglie,Jeff Burr
tt0201951,Michela Noonan,Mitchell Butel,Samuel Johnson,Steve Adams,Anni Finsterer,Bojana Novakovic,Rob Carlton,Jack Finsterer,Nathan Page,Barry Dickins
tt0203427,Claude Perron,Albert Dupontel,Philippe Uchan,Michel Vuillermoz,Nicolas Marié,Patrick Ligardes,Michel Fau,Xavier Tchili,Paul Le Person,Yves Pignot
tt0202792,Vincenzo Salemme,Maurizio Casagrande,Carlo Buccirosso,Biagio Izzo,Mandala Tayde,Nando Paone,Tosca D'Aquino,Francesca Antonelli,Antonio Casagrande,Linda Moretti
tt0202433,Jean-Pierre Bacri,Nicole Garcia,Patrick Chesnais,Sam Karmann,François Chattot,Eléonore Bernheim,Lucas Bonnifait,Stéphane Höhn,Bruno Raffaelli,Francine Bergé
tt0204388,Leslie Culton,Jenny Wallace,Tiffany Jones,Jeff Weldy,Bill Randolph,Xavier Raines,Michael Jordan,Lou Vockell,,
tt0204665,Stephen Macht,Joel Brooks,Kevin McCorkle,Mark Kiely,Matthew Kimbrough,Susan Kellermann,Justina Machado,Viveka Davis,Gary Mauro,Glen Mauro
tt0204693,François Morel,Isabelle Gélinas,Pascal Elbé,Bob Martet,Thierry Nicolas,Aude Thirion,André Chazel,Jacques Le Carpentier,Xavier Letourneur,Patrick Massieu
tt0203503,Charlie Sheen,Christopher McDonald,David Sherrill,Jeff Cesario,Michael McGrady,Tia Carrere,Geoffrey Lewis,Matt Clark,Virginia Hamilton,Patricia Skeriotis
tt0205101,David Shipley,Bob Salie,Jerry Connell,Scott Ross,Eric Brooks,Phillip DeVona,Dick Mays,Patrick Parker,Ray Ross,Eileen Land
tt0205725,Niko Tarielashvili,Lily Lavina,Philippe Bas,Stephanie Hainque,Mirabelle Kirkland,Amiran Amiranashvili,Joachim Salinger,Emmanuel de Chauvigny,Otar Iosseliani,Narda Blanchet
tt0206013,Yukiji Asaoka,Tôru Masuoka,Masako Araki,Hayato Isohata,Naomi Uno,Akiko Yano,Kosanji Yanagiya,Tamao Nakamura,Chôchô Miyako,Jim Belushi
tt0206610,Sujit Saraf,Maheshwar Umasankar,Amit Nanavati,Rajiv Nema,Bill Johnson,Sanjay Rajagopalan,Rajnish Khosla,Ariadne Horstman,Sonal Sabu,Bharathi Ramavarjula
tt0206151,Victoria Abril,Charlotte de Turckheim,Alain Bashung,Philippe Giangreco,Marc Andréoni,Pierre-Jean Cherit,Rudi Rosenberg,Élodie Bollée,Antonio Valero,Thierry Buenafuente
tt0205924,Paolo Villaggio,Milena Vukotic,Anna Mazzamauro,Paolo Paoloni,Dodi Conti,Stefano Masciarelli,Mirta Pepe,Irma Capece Minutolo,Aldo Ralli,Evelina Gori
tt0203421,Ana Torrent,Olga Merediz,Larry Villanueva,Blythe Danner,Al Romero,Rae Dawn Chong,Alicia Borrachero,Arantxa de Juan,Lillian Hurst,Zoyla Oliver
tt0204471,Alexis Martin,Pierre Lebeau,Guylaine Tremblay,Gary Boudreault,Pierre Curzi,Tony Conte,Maude Guérin,Daniel Brière,Dean Hagopian,Pierre Harel
tt0204644,Peter DeLuise,Jamie Hendrix Collins,Jason Horgan,Emily Carpenter,Ron Adams,Jeffrey G. Bullock,Leeland B. Bullock,Matthew Croxton,Victoria Galen,Danny Gilroy
tt0205000,Rob Schneider,William Forsythe,Eddie Griffin,Arija Bareikis,Oded Fehr,Gail O'Grady,Richard Riehle,Jacqueline Obradors,Big Boy,Amy Poehler
tt0204972,Zachary Kranzler,Alie Ward,Tim Wiggins,Ingrit Maria,Michael Asberry,Karen Zimmerman,April Brunell,Nick Mullahey,Owen Thomas,Michael Gaffney
tt0205094,Anthony Crivello,John Kassir,C. Thomas Howell,Steve Scionti,Maurice Tubert,Myriam Tubert,Kalena Coleman,Olivier Debray,Pierre Dulat,Christian Aubert
tt0205269,Elie Kakou,Gilbert Melki,Isabelle Ferron,Alice Evans,Jean-Marie Lamour,Patrick Rombi,Cylia Malki,Laura Scozzi,Maka Kotto,Jacky Nercessian
tt0205011,Catherine Frot,Sébastien Cotterot,Barbara Schulz,Jacques Dacqmine,Christian Morin,Nathalie Lafaurie,Paul Minthe,Vania Vadim,Jean Desailly,Clément Thomas
tt0205451,Masami Kikuchi,Ai Orikasa,Yuri Amano,Takeshi Aono,Petrea Burchard,Richard Cansino,Jennifer Darling,Debi Derryberry,Rebecca Forstadt,Kikuko Inoue
tt0205505,Olivier Broche,François Morel,Micheline Presle,Marina Tomé,Valentin Morel,Natalia Dontcheva,Olivier Gourmet,Yolande Moreau,Hubert Deschamps,Gilles Dumesnil
tt0205979,Enzo Iacchetti,Natasha Stefanenko,Enrico Bertolino,Ale,Dario Ballantini,Claudio Batta,Giancarlo Bozzo,Michela Bruni,Stefano Chiodaroli,Sandro Ciotti
tt0205774,Martin Hynes,Judy Greer,Darryl McCane,Rachel True,Maggie Baird,Casey Lee,Lindsay Price,Cristine Rose,,
tt0206117,David Sánchez del Rey,Adriana Ozores,Roberto Álvarez,Antonio Gamero,Fedra Lorente,Marta Fernández Muro,Gloria Muñoz,Alejandro Martínez,David Martínez,Laura Calabuig
tt0206385,Jan Cvitkovic,Natasa Burger,Janez Rus,Mojca Fatur,Polona Lovsin,Drago Milinovic,Matjaz Javsnik,Ksenija Jambrosic,Branko Hostnik,Slavica Sabanovic
tt0206334,Nicholas Tse,Stephen Fung,Sam Lee,Grace Yip,Eric Tsang,Daniel Wu,Tôru Nakamura,Terence Yin,Francis Ng,Jaymee Ong
tt0206393,Gianni Cavina,Valentina Cervi,Carlo Delle Piane,Libero De Rienzo,Eliana Miglio,Chiara Muti,Paola Saluzzi,Mario Maranzana,Alfonso Santagata,Cinzia Mascoli
tt0207116,Michael A. Goorjian,Chandra West,David Lovgren,Tom Cavanagh,Peter Flemming,Kurt Max Runte,Nathaniel DeVeaux,Jennifer Beals,Dan MacDonald,Wendy Anderson
tt0208176,Mahmoud Hemida,Lebleba,Caroline Khalil,Safwa,Amr Waked,Sari Al Nagar,Saleh Fahmi,Sa'eed Saleh,Menha Batraoui,Menha Zeytoun
tt0208188,Anne Weber,Stefan Suske,Manuela Biedermann,Markus Wolff,Delia Mayer,André Jung,Karin Kienzer,Moritz Stäubli,Max Gertsch,Max Rüdlinger
tt0207943,Véra Briole,Manuel Blanc,Anouk Aimée,Jean-Michel Fête,Jean-François Gallotte,Aurélia Petit,Samuel Jouy,Serge Blumental,Jean 'Moebius' Giraud,Renée Le Calm
tt0209368,Claudia Karvan,Naomi Watts,Alice Garner,Tom Long,Aaron Jeffery,Felix Williamson,Hugo Weaving,Rebecca Frith,Marshall Napier,Loene Carmen
tt0207341,Karisma Kapoor,Salman Khan,Anil Kapoor,Sushmita Sen,Tabu,Saif Ali Khan,Himani Shivpuri,Amitabh Bachchan,Master Shahrukh,Master Varun
tt0207363,Katherine Adams,Jean-Guy Bouchard,Raymond Bouchard,Gregory Charles,Tony Conte,Martin Drainville,Denise Dubois,Michel Dumont,Gregory Hlady,Luis La Torre
tt0208349,Richard Berry,Jacqueline Bisset,Julie Gayet,Bruno Putzulu,Marie Collins,Sandrine Bonjean,Véronique Boulanger,Mirabelle Kirkland,Virgile Bayle,Christophe Andrei
tt0208694,Jean-Chrétien Sibertin-Blanc,Maggie Cheung,Darry Cowl,Bernard Campan,Paulette Dubost,Pascal Bonitzer,Ming Shan,Patricia Dinev,Fanny Ardant,Anne Laure Mey
tt0209049,Kike Díaz de Rada,Martxelo Rubio,Anabel Arraiza,Mario Pardo,Klara Badiola,Esther Esparza,Karmele Aranburu,Nagore Aranburu,Alaitz Azurmendi,Maiken Beitia
tt0208948,Susie Porter,Tamblyn Lord,Amanda Muggleton,Ashleigh Dumbleton,Chloe Dumbleton,Harriet Genest,Imogen Genest,Amy Colebourne,Stephanie Colebourne,Simone Dumbleton
tt0209055,Eileen Walsh,Rhys Ifans,Patsy Kensit,Sandra Voe,David O'Hara,Frances Grey,Zita Sattar,Amelia Curtis,Mossie Smith,Sarah McVicar
tt0208726,Martine Vandeville,Violeta Ferrer,Bernard Blancan,Jean-Marie Combelles,,,,,,
tt0208132,Thom Schioler,Jeff Hirsch,Dale Kopytko,Shane Brown,Shannen Eadie,Rami Posner,Robert Huculak,Richard Kahan,Geoff Banjavich,Dan Baker
tt0208783,Hildigunn Eyðfinsdóttir,Sigri Mitra Gaïni,Johan Dalsgaard,Elin K. Mouritsen,Peter Hesse Overgaard,Nora Bærentsen,Egi Dam,Lovisa Køtlum Petersen,Adelborg Linklett,Sverri Egholm
tt0208035,Tom McCarthy,Melora Hardin,Jerry Hardin,Louanne Stephens,Diedrich Bader,Dulcy Rogers,Robert Peters,Mark Pellegrino,Scarlett McAlister,Stephen James
tt0208997,Jordi Estadella,José Mota,Juan Muñoz,Carmen Alarcón,Roger Pera,Núria Domènech,Elisabet Bargalló,Vicky Martínez,Pilar Gefaell,Glòria Roig
tt0209188,Adam Vetri,Chelsea Lagos,Monica Trombetta,Jason Beck,Jim Gaffigan,Royden Mills,Justin Henry,Cloud Michaels,James Avenell,Robert T. Bogue
tt0208658,Stefania Rivi,Andrea Corneti,Wilson Saba,Paolo Sassanelli,Mimmo Mancini,Lorenzo Viaconzi,Umberto Franchini,Cordelio Sacco,Nicola Degli Esposti,Aurora Cretaro
tt0208871,Pak-Cheung Chan,Nick Cheung,Andy Lau,Jewel Lee,Kelly Lin,Alex Man,Yin Nam,Jing Wong,Fang Yu,
tt0208554,Sarah-Marie Julich,Jean-Luc Bideau,Valeria Bruni Tedeschi,Chloé Mimaut,Julie-Marie Parmentier,Magali Woch,Ingrid Molinier,Camille Rousselet,Marina Tomé,Lou Castel
tt0209923,Giovanni Bruno,Francesca Caracciolo,Marco Mario de Notaris,Angelica Di Majo,Nina Di Majo,Pietro Alessio Di Majo,Sonia Gessner,Marino Masé,Igor Milanese,Adele Nunziante Cesaro
tt0209973,Jalila Baccar,Tamim Chahal,Myrna Maakaron,Carmen Lebbos,Sotigui Kouyaté,Renée Dick,Bruno Todeschini,Paul Mattar,Hassan Mrad,
tt0210869,Jerzy Binczycki,Dariusz Brzóskiewicz,Pawel Burczyk,Witold Debicki,Piotr Fronczewski,Ewa Kasprzyk,Pawel 'Konjo' Konnak,Jerzy Lapinski,Edyta Lukaszewska,Igor Michalski
tt0210852,Tsai Chin,Kim Miyori,Roger Fan,Dennis Dun,Deborah Nishimura,Sasha Hsuczyk,Frederick Bailey,Lucille Soong,,
tt0210843,Ricardo Darín,Soledad Villamil,Ulises Dumont,Eduardo Blanco,Graciela Tenenbaum,Alfonso De Grazia,Alicia Zanca,Mariana Richaudeau,Alejandro Buzzoni,Rodrigo de la Serna
tt0210878,Robert Fischer,,,,,,,,,
tt0209445,Jerzy Stuhr,Gosia Dobrowolska,Danuta Szaflarska,Alex Mozdzynski,Ewa Skibinska,Krzysztof Stroinski,Jacek Romanowski,Maciej Niesiolowski,Janusz Michalowski,Anna Samusionek
tt0210056,Agnieszka Krukówna,Maciej Stuhr,Janusz Gajos,Adam Ferency,Stanislawa Celinska,Tomasz Dedek,Gabriela Kownacka,Krzysztof Stelmaszyk,Dariusz Kordek,Ewa Salacka
tt0209045,Arielle Dombasle,Maria de Medeiros,Thibault de Montalembert,Jean-Philippe Écoffey,Louis-Do de Lencquesaing,Dorothée Capelluto,Leonor Varela,Frédéric Beigbeder,Gaëla Le Devehat,Pascal Bonitzer
tt0209296,Gianmarco Tognazzi,Jacqueline Lustig,Kjersti Holmen,Ricky Memphis,Francine Berting,Benedetta Cappelloni,Sabrina Colle,Andrea De Liberato,Federica Di Martino,Francesca Figus
tt0210631,Vedran Mlikota,Josip Zovko,Elvis Bosnjak,Bruna Bebic,Edita Majic,Vanca Kljakovic,Ecija Ojdanic,Jasna Jukic,Saule Ashimova,Ivica Beatovic
tt0210688,Matthew Barker,Rachel Kimsey,Chris Marley,Brandy Snow,Douglas Caputo,Terra Allen,Chris Ratti,Frank Gerrish,Christopher T. VanDijk,
tt0210163,Vincent Lindon,François Berléand,Roschdy Zem,Zabou Breitman,Albert Dray,Catherine Mouchet,Françoise Sage,Pascal Leguennec,Catherine Davenier,Yoann Denaive
tt0210225,Leonardo Pieraccioni,Yamila Diaz,Paolo Hendel,Patrizia Loreti,Gabriella Pession,Angelo Russo,Rodolfo Corsato,Rosanna Susini,Sergio Forconi,Don Lurio
tt0210109,Patrick Chesnais,Bruno Solo,Marianne Denicourt,Valérie Bonneton,François Berléand,Anémone,Jean-Claude Brialy,Claire Maurier,Hélène Foubert,Valentine Varela
tt0211286,Sabine Azéma,Emmanuelle Béart,Charlotte Gainsbourg,Claude Rich,Françoise Fabian,Christopher Thompson,Jean-Pierre Darroussin,Isabelle Carré,Samuel Labarthe,Françoise Brion
tt0211347,Soledad Pastorutti,Ezequiel Abeijón,Celeste García Satur,Karina Dali,Matías Barki,Matías Fiszon,Mariela Fernández,Ezequiel Rodríguez,Francisco F. de Rosa,Mariano Marín
tt0211202,Billie James,Keskhemnu,Keith Davis,Helen Williams Nurse,Marilyn Torres,Jason Quarles,Jewdyer Osborne,Burnadair Lipscomb-Hunt,Phalana Tiller,Clark Jackson
tt0211303,Antoine de Caunes,Valentina Vargas,Gilbert Melki,Jean-Yves Lafesse,Tara Römer,Alicia Bustamante,Oscar Castro,Olivier Loustau,Adriana Pegueroles,Solène Bouton
tt0211372,Josiane Balasko,Fanny Ardant,Thierry Frémont,David-Alexandre Parquier,George Aguilar,Luca Barbareschi,Daniel Ceccaldi,Rodolfo De Souza,Fanny Valette,Enrique Dorante
tt0211358,Luis Brandoni,Susana Giménez,Rossy de Palma,Loles León,Betiana Blum,Rodolfo Ranni,Fabián Gianola,Gonzalo Urtizberéa,Guillermo Nimo,Nahuel Mutti
tt0210741,Ally Sheedy,Reg Rogers,Pamela Gray,Lara Harris,John Pyper-Ferguson,Alice Drummond,Alan North,Adrienne Shelly,Ben Vereen,Michael Emerson
tt0211310,Akira Kamiya,Kazue Ikura,Tesshô Genda,Mami Koyama,Yôko Asagami,Minami Takayama,Yûji Takada,Kinryû Arimoto,Toshiyuki Morikawa,Akio Nojima
tt0211534,Elsa Zylberstein,Frédéric Diefenthal,Alain Bashung,Élisabeth Vitali,Sonia Vollereaux,Patrick Braoudé,Smadi Wolfman,Françoise Pinkwasser,Darius Darnat,Maëva Demurger
tt0212574,Danilo 'Bata' Stojkovic,Branimir Popovic,Sonja Jaukovic,Petar Bozovic,Milutin 'Mima' Karadzic,Varja Djukic,Boro Stjepanovic,Ivana Tomicic,Milo Miranovic,Brano Vukovic
