0,1,2,3
tt10351180,Bad Boy,"7,4",2023
tt10425998,The Place in Between,NO DATA,2023
tt10545296,The Hunger Games: The Ballad of Songbirds and Snakes,NO DATA,2023
tt10548482,Raw Power,NO DATA,2023
tt10767052,Next Goal Wins,"6,5",2023
tt10849046,Cloud by Night,NO DATA,2023
tt10929648,Minamoto Monogatari,NO DATA,2023
tt10965102,Mujeres Silenciosas,NO DATA,2023
tt1099209,Silent Life: The Story of the Lady in Black,"7,7",2023
tt11100698,The Silent Prayer,NO DATA,2023
tt11143850,Amadeo,"6,0",2023
tt11145118,Creed III,"6,8",2023
tt11165686,Go Go,NO DATA,2023
tt11196176,Dark Room,NO DATA,2023
tt11197400,Ai Lun,NO DATA,2023
tt11253182,Vincent,NO DATA,2023
tt11306970,Black Nightmares,NO DATA,2023
tt11379234,Yuna,NO DATA,2024
tt11668514,Oliver Outloud,NO DATA,2023
tt11760408,Cookster,NO DATA,2023
tt11779282,Ladies Are Pimps Too,NO DATA,2023
tt11950404,Sophie's Rules,"7,1",2023
tt11972054,Bugsy the Becoming,NO DATA,2023
tt11998558,Varisu,"6,0",2023
tt1200263,The Color Purple,NO DATA,2023
tt12087678,Karanliktaki Kadin,NO DATA,2023
tt12109690,Piedade,NO DATA,2023
tt12226632,Big George Foreman,"6,6",2023
tt12261776,65,"5,4",2023
tt12422694,Getting to the Plug,NO DATA,2023
tt12518970,My,NO DATA,2023
tt12543840,Central Valley,NO DATA,2023
tt12573454,Sharper,"6,7",2023
tt12601334,The Nothingness Club - Não Sou Nada,"6,2",2023
tt12821606,The Internationalist,NO DATA,2023
tt12915716,Adipurush,"3,4",2023
tt12948086,Rhythm in Blues,NO DATA,2023
tt13130948,Shehzada,"4,5",2023
tt13131232,Mission Majnu,"7,1",2023
tt13131610,Bholaa Shankar,"3,2",2023
tt13137290,Demir Kadin Neslican,"7,0",2023
tt13225414,Meeting Kate,NO DATA,2023
tt13274016,Reptile,"6,8",2023
tt13290130,Los buenos modales,"6,0",2023
tt13301332,Broken Pearls,NO DATA,2023
tt13316134,Oneida Flats,NO DATA,2023
tt13457948,Sombras Brancas,"6,1",2023
tt13683908,Tarifte Ask Var,NO DATA,2023
tt13751694,Animal,NO DATA,2023
tt13761284,Shaakuntalam,"4,4",2023
tt13808564,The Assassin Unleashed,NO DATA,2023
tt13831566,Johnny and the Golden Gifts,NO DATA,2023
tt13893696,Aladdin: Live from the West End,NO DATA,2023
tt13904644,Spider-Man: Lotus,"3,3",2023
tt13929998,On a Wing and a Prayer,"5,5",2023
tt14117392,Pulcinella,NO DATA,2023
tt14160834,Rustin,"6,5",2023
tt14181874,The Mothership,NO DATA,2023
tt14223946,Bullets,"6,7",2023
tt14232442,Bratri,"7,7",2023
tt14277254,Neniu,NO DATA,2023
tt14295590,Mrs. Chatterjee vs. Norway,"7,3",2023
tt14303550,Peripheric Love,"6,4",2023
tt1432114,The Judas Kiss,NO DATA,2023
tt14326000,My Precious,"7,1",2023
tt14367552,Tomorrow Before After,"6,6",2023
tt14379088,Shin Kamen Raidâ,"6,1",2023
tt14388612,Gunfight at Rio Bravo,"4,2",2023
tt14446414,1919,NO DATA,2023
tt14472156,Paint,"4,9",2023
tt14496180,Halfway House,NO DATA,2023
tt14663154,Les âmes soeurs,"5,8",2023
tt14671498,Little Bastard,NO DATA,2023
tt14681272,SoulHood Saga II: The Finale,NO DATA,2023
tt14716702,Dekabr,NO DATA,2023
tt14728586,The Psychology of Beauty,NO DATA,2023
tt14734838,Red Rain,NO DATA,2023
tt14797058,A Princesa de Rangoon,NO DATA,2023
tt14802480,Big Sur,NO DATA,2023
tt14855340,90's Babiez,NO DATA,2023
tt14856936,Texas Grit,NO DATA,2023
tt14866430,Disconnected,NO DATA,2023
tt14904970,La Puerta Verde,NO DATA,2023
tt14914988,Satyaprem Ki Katha,"7,2",2023
tt14927264,Wayward Sons,NO DATA,2023
tt14960442,A Small Town Christmas,NO DATA,2023
tt14979412,First Nights,NO DATA,2023
tt14993250,Rocky Aur Rani Kii Prem Kahaani,"6,7",2023
tt15003962,FOG,NO DATA,2023
tt15021154,Exodus,"6,6",2023
tt15048870,Hajjan,"8,6",2024
tt15070886,Winnie Pooh Blood and Thunder,NO DATA,2023
tt15097144,"Mon chat et moi, la grande aventure de Rroû","6,1",2023
tt15120452,Love Is Not Enduring,NO DATA,2023
tt15121090,My World,NO DATA,2023
tt15140778,The Inn Between,NO DATA,2023
tt15174922,Divine Souls: Forever Young,NO DATA,2023
tt15179658,Jade Brooks Must Die!,NO DATA,2023
tt15211018,Hela bilden,NO DATA,2023
tt15216170,Andra akten,"6,5",2023
tt15282128,En dag kommer allt det här bli ditt,"6,1",2023
tt15303192,Rudhran,"5,2",2023
tt15334484,Ehrengard,NO DATA,2023
tt15341416,Kos,"7,5",2023
tt15337140,Ill Intent,NO DATA,2023
tt15361650,Let the Party Begin,"6,1",2023
tt15398776,Oppenheimer,"8,5",2023
tt15403280,Jasmine,NO DATA,2023
tt15422336,Nigah Marda Ayi Ve,"7,1",2023
tt15430628,Long ma jing shen,"6,3",2023
tt15438508,Bravado,NO DATA,2023
tt15482240,Oluja,"7,3",2023
tt15527576,Ovuda ce proci put,"7,4",2023
tt15531718,Le Grand Chariot,"6,1",2023
tt15559402,Fists of Justice,NO DATA,2023
tt15595576,Vicino al Verbo,NO DATA,2023
