tt0140612,Il tempo dell'amore,"6,5",2000
tt0139861,Arunachalam,"7,5",1997
tt0139699,Varsity Blues,"6,5",1999
tt0141116,Gengszterfilm,"5,8",1999
tt0145503,Sunshine,"7,5",2003
tt0145681,The Bone Collector,"6,7",2000
tt0143261,Friends & Lovers,"4,4",1999
tt0145653,Angela's Ashes,"7,3",2000
tt0141974,The War Zone,"7,3",1999
tt0142215,Histoires d'hiver,"7,0",1999
tt0142342,Big Daddy,"6,4",1999
tt0144688,Wildflowers,"5,5",1999
tt0142201,Crazy in Alabama,"6,2",2000
tt0144286,The Lost Son,"6,4",1999
tt0143924,Taxman,"5,3",1999
tt0144669,Vivid,"4,2",1999
tt0142804,Resurrection,"6,1",2000
tt0144715,Holy Smoke,"5,9",2000
tt0143746,Molly,"5,7",1999
tt0143900,St. Pauli Nacht,"6,1",1999
tt0144201,La fille sur le pont,"7,5",1999
tt0144134,The Cherry Orchard,"6,4",2000
tt0145893,Simply Irresistible,"5,2",1999
tt0143944,Toni,"5,2",1999
tt0144214,The General's Daughter,"6,4",1999
tt0144178,Dreaming of Joseph Lees,"6,3",2000
tt0145929,Návrat idiota,"7,2",1999
tt0145844,Intelligence,"6,0",2001
tt0144605,Shark in a Bottle,"3,6",1999
tt0146516,Buddy Boy,"6,3",2000
tt0146786,Game Day,"5,3",1999
tt0147643,Unbowed,"7,2",1999
tt0146879,The Hi-Line,"6,0",2000
tt0146838,Any Given Sunday,"6,9",2000
tt0148583,Passion,"5,7",1999
tt0147287,Row Your Boat,"5,3",1999
tt0147599,Thick as Thieves,"5,9",1999
tt0150337,The Divine Ryans,"5,9",1999
tt0148103,Emporte-moi,"6,9",2000
tt0150216,Cradle Will Rock,"6,8",2000
tt0149581,Absolutt blåmandag,"5,9",1999
tt0148303,Souvenirs intimes,"6,5",1999
tt0147800,10 Things I Hate About You,"7,3",1999
tt0149568,Aa Ab Laut Chalen,"5,3",1999
tt0150377,Double Jeopardy,"6,5",2000
tt0149357,My Father's Angel,"7,0",1999
tt0149691,Anywhere But Here,"6,2",2000
tt0150641,Fresh Air,"5,5",1999
tt0150634,Freak Weather,"6,7",2000
tt0150992,Hum Dil De Chuke Sanam,"7,4",1999
tt0151281,Ladies Room,"4,6",1999
tt0151568,Topsy-Turvy,"7,4",2000
tt0151047,In a Savage Land,"6,1",1999
tt0151137,Joan of Arc,"6,4",2000
tt0151331,Let the Devil Wear Black,"5,0",2000
