tt0369048,Walking on the Sky,"4,0",2005
tt0369053,Separate Lies,"6,4",2005
tt0369258,Bal-Kan-Kan,"7,7",2005
tt0371405,Window Theory,"3,9",2005
tt0372799,Bocce Balls,"7,7",2005
tt0371572,Beneath Still Waters,"3,8",2006
tt0371257,Stay,"6,7",2005
tt0372122,Adam & Steve,"5,8",2007
tt0372346,Iowa,"5,0",2005
tt0371853,La monja,"4,1",2005
tt0372784,Batman Begins,"8,2",2005
tt0371739,The Zodiac,"5,3",2006
tt0371212,Shooting Livien,"5,3",2005
tt0372942,Grace,"7,7",2006
tt0373450,Where the Truth Lies,"6,4",2005
tt0373760,Cinema Aspirinas® e Urubus,"7,3",2006
tt0373445,The Wendell Baker Story,"5,5",2005
tt0373416,Underclassman,"4,4",2005
tt0373747,Casa de Areia,"7,3",2005
tt0374089,Köshpendiler,"5,8",2005
tt0374298,Turetskiy gambit,"6,9",2005
tt0375008,Remedy,"4,1",2005
tt0376181,The Shadow Dancer,"6,6",2006
tt0374826,Little Chicago,"7,9",2005
tt0376127,Anniyan,"8,3",2005
tt0374923,On the One,"5,4",2006
tt0375210,White Noise,"5,5",2005
tt0376196,Slow Burn,"5,7",2007
tt0376105,Racing Stripes,"5,2",2005
tt0375611,Black,"8,1",2005
tt0376543,Colour Me Kubrick: A True...ish Story,"6,1",2006
tt0378565,Piggy Banks,"5,4",2005
tt0376304,Vida y color,"6,0",2006
tt0378715,Schneeland,"6,7",2005
tt0377043,The Californians,"4,8",2005
tt0377070,Hollywood Flies,"4,4",2005
tt0377864,Erosion,"4,2",2005
tt0377309,Three,"4,9",2006
tt0377107,Proof,"6,7",2005
tt0377800,Don't Come Knocking,"6,6",2005
tt0378854,Target of Opportunity,"3,8",2005
tt0379725,Capote,"7,3",2006
tt0380817,Winter Passing,"6,2",2006
tt0379341,Ghosts Never Sleep,"4,3",2005
tt0382053,The Good Humor Man,"5,8",2005
tt0380201,Back in the Day,"4,4",2005
tt0379033,The Works,"7,6",2005
tt0379917,Otra vuelta,"7,3",2005
tt0380389,Goal!,"6,7",2005
tt0380834,Une aventure,"4,9",2005
tt0381361,The Last Sign,"3,4",2005
tt0380635,Pogled sa Ajfelovog tornja,"4,8",2005
tt0381621,Stealaway,"6,8",2005
tt0380599,Oliver Twist,"6,8",2005
tt0381017,Aquitania,NO DATA,2005
tt0381505,Pretty Persuasion,"6,4",2006
tt0382365,Vet hard,"6,1",2005
tt0381690,Vers le sud,"6,3",2006
tt0382077,Hide and Seek,"5,9",2005
tt0382081,La historia del baúl rosado,"5,9",2005
tt0382073,Heights,"6,8",2005
tt0381667,Trois couples en quête d'orages,"5,1",2005
tt0382271,Rosario Tijeras,"6,3",2005
tt0382382,Things to Do Before You're 30,"5,6",2006
tt0382806,Look Both Ways,"7,0",2005
tt0382877,Ég veled!,"6,8",2005
tt0382628,Dark Water,"5,6",2005
tt0382810,Little Fish,"6,2",2005
tt0382627,Dallas Pashamende,"6,6",2005
tt0382717,Life of the Party,"5,3",2005
tt0382572,Die Bluthochzeit,"6,6",2005
tt0383041,Vom Suchen und Finden der Liebe,"5,7",2005
tt0383648,Sueño,"5,2",2005
tt0384286,Cry Wolf,"5,8",2005
tt0383274,A Coat of Snow,"5,5",2005
tt0385002,Hooligans,"7,4",2005
tt0383066,La Última Luna,"6,7",2005
tt0384699,Missing in America,"6,5",2006
tt0384686,The White Countess,"6,5",2006
tt0385006,How the Garcia Girls Spent Their Summer,"6,1",2008
tt0384847,Trouble with Sex,"5,1",2005
tt0383965,Police Beat,"6,8",2006
tt0385106,La mujer rota,"4,0",2007
tt0384573,Swimmers,"6,3",2005
tt0383518,Mouth to Mouth,"6,2",2008
tt0384929,The Dying Gaul,"6,4",2006
tt0383991,Cielo e terra,"5,1",2005
tt0385056,Lonesome Jim,"6,5",2005
tt0385622,Crash Landing,"3,7",2014
tt0384680,The Weather Man,"6,6",2006
tt0385700,Fainaru fantajî sebun adobento chirudoren,"7,2",2005
tt0386534,Inside Out,"5,3",2005
tt0386301,Avant l'oubli,"7,0",2005
tt0386733,Pure,"5,9",2005
tt0386421,Duck,"5,8",2007
tt0386751,The River King,"5,7",2005
tt0386565,Opbrud,"5,4",2005
tt0387131,The Constant Gardener,"7,4",2005
tt0388213,Loverboy,"5,3",2005
tt0388125,In Her Shoes,"6,5",2005
tt0387059,Bee Season,"5,5",2006
tt0388318,Paha maa,"7,4",2006
tt0388377,River Queen,"5,9",2006
tt0387037,Aurora Borealis,"6,7",2008
tt0387055,Batalla en el cielo,"5,5",2006
tt0387358,The Iris Effect,"3,7",2005
tt0387514,Prime,"6,2",2006
tt0387898,Caché,"7,3",2006
tt0388703,Alma mater,"6,4",2005
tt0389073,Killing Cupid,"5,3",2005
tt0388837,The Circle,"5,4",2005
tt0388727,Anklaget,"7,0",2005
tt0389377,O Signo do Caos,"7,0",2005
tt0388505,"Va, vis et deviens","7,8",2006
tt0388795,Brokeback Mountain,"7,7",2006
tt0388980,The Greatest Game Ever Played,"7,4",2005
tt0389911,Deck Dogz,"4,8",2005
tt0391304,A Lot Like Love,"6,6",2005
tt0389957,Edison,"5,3",2006
tt0390614,Waqt: The Race Against Time,"6,7",2005
tt0389823,Budjenje iz mrtvih,"6,5",2005
tt0390100,"Horcón, al sur de ninguna parte","5,6",2005
tt0391397,A Perfect Fit,"5,1",2005
tt0391728,Adam and Eve,"4,3",2008
tt0391452,The Signs of the Cross,"8,4",2007
tt0391493,Three Dollars,"6,1",2005
tt0391877,Confess,"4,7",2005
tt0392465,Mozart and the Whale,"6,7",2006
tt0393199,Deep Rescue,"3,2",2005
tt0393162,Coach Carter,"7,3",2005
tt0393529,The Nickel Children,"5,5",2005
tt0393109,Brick,"7,2",2006
tt0393423,Leef!,"6,9",2005
tt0395543,Forty Shades of Blue,"6,1",2005
tt0395488,Bye Bye Blackbird,"5,7",2005
tt0395795,Truce,"5,6",2005
tt0395424,3 Needles,"6,3",2006
tt0395553,Le courage d'aimer,"5,7",2005
tt0395197,Little Men,"7,9",2005
tt0395699,The Pacifier,"5,6",2005
tt0396273,Willenbrock,"6,9",2005
tt0395585,House of 9,"5,3",2005
tt0396116,Maman Last Call,"6,0",2005
tt0395461,Bab'Aziz,"7,5",2006
tt0395972,North Country,"7,3",2006
tt0395561,States of Grace,"6,8",2014
tt0396550,Dangerous Crosswinds,"7,5",2005
tt0396690,Kisna: The Warrior Poet,"4,5",2005
tt0396857,Shadowboxer,"5,5",2006
tt0396587,FAQs,"5,8",2005
tt0396652,Ice Princess,"6,0",2005
tt0396688,The King,"6,6",2006
tt0397103,Smile,"6,2",2005
tt0397535,Memoirs of a Geisha,"7,3",2006
tt0397530,Man to Man,"6,5",2005
tt0397413,La esperanza,"6,7",2005
