0,1,2,3
tt0087963,Quan jia fu,"6,7",2017
tt0100275,La telenovela errante,"6,5",2018
tt0137204,Joe Finds Grace,"8,5",2017
tt0460890,The Only Living Boy in New York,"6,3",2017
tt0491203,Tulip Fever,"6,2",2017
tt0491175,Suburbicon,"5,8",2017
tt0498381,Rings,"4,5",2017
tt0825334,Caravaggio and My Mother the Pope,"8,5",2017
tt0835802,Krystal,"5,5",2018
tt0874268,The Dot Man,"7,5",2017
tt10013288,The Promise,NO DATA,2017
tt10017460,Egise Taara Juvvalu,"4,6",2017
tt10017546,Ila Ayithe Ela,NO DATA,2017
tt10025790,Machiwarla Budha,NO DATA,2017
tt10034168,Ubuntu,"8,3",2017
tt10034136,Tatva,NO DATA,2017
tt10033760,Pahil Paul Jivanch,NO DATA,2017
tt10036406,Mbretëria,"6,2",2017
tt10042678,Barcley,NO DATA,2017
tt10045134,Inside the Walls,"4,8",2017
tt10048976,When Rumi meets Francis,NO DATA,2017
tt10048408,La ola de crímenes,NO DATA,2017
tt10076184,3 Is a Crowd,NO DATA,2017
tt10077598,The Girl From Future,NO DATA,2017
tt10079798,Bingo,NO DATA,2017
tt10078676,49 Ngày 2,"4,8",2017
tt10101974,One on One,"4,3",2017
tt10102296,Undga,"8,7",2017
tt10106368,Sem Raiz,NO DATA,2017
tt10108286,Blestyashchey zhizni lepestok,NO DATA,2017
tt10115300,Ruza,NO DATA,2017
tt10117046,Zygote,"7,2",2017
tt10121852,Huntash,NO DATA,2017
tt10133528,Khayyum Bhai,NO DATA,2017
tt10147214,Danza de Luna,NO DATA,2017
tt10160716,Mobile Phone Control,NO DATA,2017
tt10161888,Khopa,"6,4",2017
tt10163206,Marathon Zindagi,NO DATA,2017
tt10167826,A Mother's Story,NO DATA,2017
tt10169754,E Ee,"6,6",2017
tt10174300,Shyamchi Shala,NO DATA,2017
tt10182846,The Ol' Amity Blues,NO DATA,2017
tt10189426,Funny Young World,NO DATA,2017
tt10195216,"Papa, Come Home",NO DATA,2017
tt10218948,Aitebaar,NO DATA,2017
tt10215836,The Perfect Mistress III.,NO DATA,2017
tt10218800,Tu Mera Chaand,NO DATA,2017
tt10224178,Le Blu,NO DATA,2017
tt10230002,[S.O.S] Sói Trang,NO DATA,2017
tt10269890,14 Tirmeh,"4,2",2017
tt10285260,Zombe,NO DATA,2017
tt10295272,Kinbaku: Tsuki no Shô,NO DATA,2017
tt10314526,How Are You,"5,3",2017
tt10353010,Rangeela (telugu),NO DATA,2017
tt10399872,Cesare,NO DATA,2017
tt10399946,Crima si pedeapsa,NO DATA,2017
tt10405696,Terminal Behavior,NO DATA,2017
tt10408220,Camping,NO DATA,2017
tt10433062,O Pilla Nee Valla,NO DATA,2017
tt10436206,Cent anys després,NO DATA,2017
tt10443764,Only the Wind Knows,"5,4",2017
tt10448578,GEN Hi8,NO DATA,2017
tt10443780,The Preparation,"8,1",2017
tt10453114,Youth Dinner,"6,6",2017
tt10468098,A Stray Goat,"6,1",2017
tt10472938,Seita,NO DATA,2017
tt10499432,The Artist: Reborn,"6,1",2017
tt10505054,The Eighth Day of the Week,"7,8",2017
