tt0092960,En tres y dos,"6,6",2004
tt0146803,"Goodnight, Joseph Parker","6,5",2004
tt0159290,Bluebird,"7,4",2004
tt0168064,El Maya,"6,9",2004
tt0170508,Il resto di niente,"6,8",2005
tt0186785,Greener,"7,6",2005
tt0196811,Olga,"6,5",2004
tt0203912,Sin's Kitchen,"5,3",2004
tt0211070,Tricks,"6,8",2004
tt0212712,2046,"7,4",2005
tt0218400,Life Sentence,"6,3",2004
tt0222790,Raspberry & Lavender,"6,3",2004
tt0224025,Roomies,"4,1",2004
tt0225518,The Discontents,"8,2",2004
tt0226057,Laughing It Up,"4,2",2004
tt0229792,True Vinyl,"5,0",2004
tt0235970,Alone and Restless,"6,3",2004
tt0233911,Ice Men,"6,2",2004
tt0236189,Em & Me,"7,5",2004
tt0239235,Anji,"6,2",2004
tt0241025,Vanity Fair,NO DATA,2005
tt0240473,Edelweisspiraten,"6,1",2005
tt0246157,The Pornographer: A Love Story,"4,6",2004
tt0246404,The 24th Day,"6,4",2004
tt0259567,Perfect Opposites,"5,5",2005
tt0259729,La volpe a tre zampe,"7,8",2004
tt0265281,The Kings of Brooklyn,"6,6",2004
tt0263939,El rey,"6,4",2004
tt0265825,Sumas y restas,"6,7",2005
tt0265208,The Girl Next Door,"6,7",2004
tt0267379,Close Call,"4,1",2004
tt0273108,The Beautiful Country,"7,4",2005
tt0270841,Cyber Wars,"4,4",2004
tt0275491,La mala educación,"7,4",2004
tt0276806,Beat Angel,"8,1",2004
tt0277895,Mickey,"6,5",2004
tt0288896,A Year in the Death of Jack Richards,"6,1",2004
tt0286857,Off the Pages,NO DATA,2004
tt0286058,Secret Passage,"6,2",2004
tt0286218,Thérèse: The Story of Saint Thérèse of Lisieux,"6,3",2004
tt0285624,Irish Eyes,"4,9",2004
tt0287147,World Without Waves,"7,5",2004
tt0288833,The Sure Hand of God,"5,3",2004
tt0287733,Straight Into Darkness,"4,9",2004
tt0289879,The Butterfly Effect,"7,6",2004
tt0290218,Illusion,"7,2",2004
tt0290872,Stai con me,"6,0",2004
tt0290935,Y.M.I.,"3,7",2004
