tt0202457,Giorgio Faletti,Massimo Wertmüller,Ugo Piva,Gianfranco Jannuzzo,Enrico Gallì,Giusi Cataldo,Danila Stalteri,Lele Nucera,Francesco Venditti,Totò Crescenzi
tt0202416,Fiorello,Dario Fo,Maurizio Mattioli,Renato Cecchetto,Stefano De Sando,Melina Martello,Ilaria Stagni,Francesco Vairano,Mino Caprio,Gerolamo Alchieri
tt0206778,Bret Carr,Ernest Mingione,Starla Benford,Jon Jacobs,Aldo Cascio,Suzanne DiDonna,Burt Young,Mike Reagan,Michael Corleone,Freedom Williams
tt0206098,Alexander Chaplin,Cady McClain,Will Lyman,Alvin Epstein,Jane Nichols,James Spruill,Michael Bederman,Andrew van den Houten,Faran Krentcil,Kate Super
tt0207826,Rochelle Greenwood,Ben Eberhard,Dawn Perkins,Edmond Kato Wong,Kristina Copeland,Daniel Boileau,Kaj-Erik Eriksen,Bailee Reid,Amber Warnat,Andrew Morrison
tt0208491,Harvey Keitel,Andie MacDowell,Francesca Neri,Stefano Dionisi,Harry Dean Stanton,Mattia De Martino,Asia Argento,Luigi Maria Burruano,Angela Goodwin,Veronica Lazar
tt0209077,Adam Chubbuck,James Bullard,Seth Gray,Eddie Daniels,Zara McDowell,Maeve Quinlan,Stephen Jasso,Wade Williams,Tiffany Limos,Julio Oscar Mechoso
tt0210816,Emily Wagner,Julie Delpy,Billy Wirth,Bruce Ramsay,Freddy Savino,Darian Zahedi,Craig Borten,Ray Faze,Christian J. Meoli,Tara Subkoff
tt0210953,Clifton Collins Jr.,Greg Serano,Jacob Vargas,Lobo Sebastian,Priscilla Garita,Danny De La Paz,Emilio Rivera,Rudy Ramos,Jenny Gago,Yelba Osorio
tt0210971,Diogo Morgado,Karra Elejalde,Maitê Proença,Chico Díaz,Claudio Marzo,Gracindo Júnior,Zé Dumont,Roberto Bonfim,Carlos Santos,António Melo
tt0209464,Julie Delpy,Shaun Dingwall,Harriet Walter,Shirley Henderson,Timothy West,Frank Vercruyssen,Toni Barry,Jan Decleir,Dora van der Groen,Albert Delpy
tt0212797,Omero Antonutti,Pamela Villoresi,Giancarlo Giannini,Rutger Hauer,Vincenzo Peluso,Pier Paolo Capponi,Alessandro Gassmann,Gaetano Amato,Camillo Milli,Augusto Zucchi
tt0212132,David Gulpilil,Gary Sweet,Damon Gameau,Grant Page,Noel Wilton,,,,,
tt0213266,Paul Michael,Michael Cavalieri,Kehli O'Byrne,John Capodice,Lawrence Hilton-Jacobs,Peter Allas,Lira Angel,John Aprea,Will Beinbrink,Anthony Carro
tt0213824,Mimi Lazo,Armando Gutiérrez,Abril Schreiber,Luis Felipe Tovar,Juan Carlos Alarcón,Betty Sánchez,Patricia Reyes Spíndola,Laura Altieri,David Camero,Óscar León García
tt0215687,Ana Álvarez,José Antonio Rodríguez,Eloy Azorín,María Elena Jiménez,Carlos Padrón,Luisa María Jiménez,Jorge Sanz,Cristina Collado,Fernando Echevarría,Baudilio Espinosa
tt0217787,Susan May Pratt,Chris Noth,Jeremy Davies,John Pierson,Michele Placido,Laila Robins,Josef Sommer,Mary Louise Wilson,Samantha Buck,Tony Devon
tt0219272,Gene Bicknell,Petri Hawkins Byrd,Monty Cox,Michele Dalcin,Dion DeRizzo,D.J. DeRuy,Kellen DeRuy,Eddie Driscoll,John Enos III,Keith Hard
