tt0079644,Slamet Rahardjo,Rachmat Hidayat,Sardono W. Kusumo,El Manik,Jenny Rachman,Maruli Sitompul,Soerip,Mang Udel,,
tt0170260,Billy Zane,Kelly McGillis,Henry Rollins,Johnny Galecki,Roscoe Lee Browne,Muse Watson,Rebecca Koon,Joe Inscoe,Bill Roberson,Christopher Berry
tt0173498,Jason Priestley,Peter Dobson,Kane Picoy,Orien Richman,Richard Portnow,David Proval,Luca Palanca,Dinah Manoff,Alicia Coppola,Kathleen McClellan
tt0178642,Jordana Brewster,Cameron Diaz,Christopher Eccleston,Blythe Danner,Camilla Belle,Patrick Bergin,Isabelle Pasco,Moritz Bleibtreu,Philipp Weissert,Nikola Obermann
tt0179626,Robert De Niro,Edward Burns,Kelsey Grammer,Avery Brooks,Melina Kanakaredes,Karel Roden,Oleg Taktarov,Vera Farmiga,John DiResta,James Handy
tt0179844,Albert Finney,Paul Guilfoyle,Fele Martínez,,,,,,,
tt0180734,Keanu Reeves,Diane Lane,John Hawkes,Bryan Hearne,Julian Griffith,Michael B. Jordan,A. Delon Ellis Jr.,Kris D. Lofton,Michael Perkins,Brian M. Reed
tt0179435,Jennifer Esposito,Nick Moran,Stephen Lang,William B. Davis,Michael Kopsa,Alex Diakun,Brian Jensen,Mark Acheson,Ted Kozma,Jerry Walliser
tt0179344,Amber Smith,Byron Bay,L. Clyde Irvine,Erika Michaels,Ken Rush,Zoe Anderson,Chad Tillner,Derrick Bishop,Michelle Perry,Yvette McClendon
tt0180894,Rik van Uffelen,Ann Esch,Christophe Vienne,Refet Abazi,Ljupcho Todorovski,Aleksandar Mikic,Dejan Lilic,Sofija Kunovska,Mehmet Ulusoy,Aleksandar Bogoevski
tt0181796,Corbin Bernsen,Sreedevi Mina,Renée O'Connor,Dave Linden,Bruce Mercury,Gretchen Janke,Steve Van Wormer,A. 'Pete' Peters,Rick Batalla,Cassandra Beckerman
tt0181912,Bruno Putzulu,Cécile Camp,Jean Davy,Françoise Verny,Audrey Klebaner,Jérémie Lippmann,Claude Baignières,Rémo Forlani,Mark Hunter,Jean Lacouture
tt0182000,Samuel L. Jackson,Colm Feore,Ann Magnuson,Damir Andrei,Aunjanue Ellis-Taylor,Tamara Tunie,Peter MacNeill,Jay Rodan,Rodney Eastman,Anthony Michael Hall
tt0184384,Harold Perrineau,Stephanie Berry,Anthony DeSando,Francie Swift,Lonette McKee,Ron Cephas Jones,Joseph Siravo,Harry Jenkins,Carolyn Neff,Heather Spore
tt0184791,Mekhi Phifer,Julia Stiles,Martin Sheen,Josh Hartnett,Andrew Keegan,Rain Phoenix,Chris Freihofer,Elden Henson,John Heard,Anthony Johnson
tt0186202,Kiefer Sutherland,Marcus Thomas,Daryl Hannah,Pete Postlethwaite,Melinda Dillon,Molly Ringwald,Russell Means,Anthony Luke Lucero,Bo Hopkins,Timothy Daly
tt0186895,Marc Messier,Rémy Girard,Patrick Huard,Serge Thériault,Paul Houde,Luc Guérin,Yvan Ponton,Roc Lafortune,Michel Charette,Dominic Philie
tt0188024,Kenneth White,Kenn Whitaker,Gabriel Jarret,Walter Olkewicz,,,,,,
tt0188378,Ty Treadway,Chris Coyne,Keith Coogan,Pepper Carlson,Sean Mitchell,Joy Lang,Michael Kagan,Catherine O'Keefe,Peter Christian,Bonnie J. Kirk
tt0189541,Jaime Gomez,Seidy Lopez,Zach Galligan,Troy Winbush,Lupe Ontiveros,Stacy Haiduk,Evelina Fernández,Frank Medrano,Sal Lopez,Steve Valentine
tt0191177,Thomas Jay Ryan,Annunziata Gianzero,Richard Bakalyan,Andrew Borba,Rick Wessler,Michael DeLuise,Thomas Crawford,Alex McArthur,Will Lyman,Kent Burnham
tt0192237,Michael Degen,Franziska Petri,Suzanne von Borsody,Alexandra Maria Lara,Axel Milberg,Jochen Nickel,Andrea Sawatzki,Dietmar Schönherr,Jürgen Schornagel,Jasmin Schwiers
tt0192023,Erik Palladino,Ryan Reynolds,Dash Mihok,Carly Pope,Frances Bay,Matthew Lillard,James Earl Jones,Robert Forster,Colleen Wheeler,Louis Chirillo
tt0193365,Marty Maguire,Charis Michelsen,Robert Wahlberg,Karen MacDonald,Alisa Besher,Charley Broderick,Sandi Carroll,Lonnie Farmer,David Prete,Brian Goodman
tt0193560,James Van Der Beek,Rachael Leigh Cook,Ashton Kutcher,Dylan McDermott,Usher,Tom Skerritt,Randy Travis,Leonor Varela,Brian Martell,Alfred Molina
tt0196068,Fisher Stevens,Annabella Sciorra,Alex Porter,John Slattery,Annika Peterson,Ron Rifkin,Saverio Guerra,George Plimpton,Griffin Dunne,Maria Bello
tt0194704,Stacy Keach,Charlotte de Turckheim,Stefan Nelet,Linda Wang,Lovely Sapid,Jeff Robinson,Oscar Tevez,Isabelle Ling,Irene Oclarit,Telly Babasa
tt0196069,Shawn Ku,Christy Chung,Neelesha Barthel,Lhakpa Tsering,Tenzin Tashi,Jamayang Jinpa,Sherab Sangey,Kelsang Tashi,Tsepak Tsangpo,Norbu Dolma
tt0197862,Clea DuVall,Kevin Corrigan,Jennifer Aspen,Richmond Arquette,Terry Kiser,Stanley DeSantis,Shane Edelman,Mary Samuels,Judson Mills,Giovanny Blanco
tt0200483,Attila Bertalan,Pascale Bussières,Gérald Gagnon,Kena Molina,Max Firatli,Tony Robinow,Armando Soler,Richard Lemire,Russell Yuen,Eszter Sipos
tt0199481,Christopher Lambert,Klaus Maria Brandauer,Max von Sydow,Inés Sastre,Denis Charvet,Bernard-Pierre Donnadieu,Maria Kavardjikova,Yannis Baraban,Vincent Moscato,Jean-Pierre Rives
tt0200027,Drew Barrymore,Steve Zahn,Adam Garcia,Brittany Murphy,James Woods,Lorraine Bracco,Rosie Perez,Sara Gilbert,Peter Facinelli,Mika Boorem
tt0200191,Amanda Ooms,Rikard Wolff,Björn Granath,Björn Kjellman,Stina Ekblad,Shanti Roney,Hans Pålsson,Antti Reini,Reine Brynolfsson,Maria Heiskanen
tt0200422,Kirsten Dunst,Julie Walters,Geraldine James,Nathaniel Parker,Nick Stahl,James Fox,Paloma Baeza,Kenny Doughty,Angus Wright,Robert Glenister
tt0202470,Mark Wahlberg,Jennifer Aniston,Dominic West,Jason Bonham,Jeff Pilson,Zakk Wylde,Timothy Spall,Blas Elias,Nick Catanese,Brian Vander Ark
tt0201020,Liam Aiken,Frances Fisher,Alice Drummond,Frances Sternhagen,Jackie Bateman,Courtney Campbell,Laurel Holloman,Mark Webber,Tess Harper,Gary Cole
