0,1,2,3
tt0059325,Jahrgang 45,"6,4",1990
tt0059900,"Wenn du groß bist, lieber Adam","6,4",1990
tt0065188,"Vojtech, receny sirotek","6,4",1990
tt0068494,Domo Arigato,"4,9",1990
tt0075259,Spy Story,"5,9",1990
tt0081721,Vincent et moi,"6,2",1990
tt0090665,Asfour Stah,"6,7",1991
tt0093210,La hora 24,"5,5",1990
tt0093989,Xian sha lu,"6,0",1990
tt0094666,Any Man's Death,"4,3",1990
tt0094073,The Sun and the Moon,"7,6",1990
tt0094857,Chi se da feng bao,"6,1",1990
tt0095840,Payback,"4,3",1990
tt0096469,Wu ye tian shi,"5,2",1990
tt0096775,Agneekaal,"5,1",1990
tt0096992,Bumazhnye glaza Prishvina,"6,8",1990
tt0096937,Blagorodnyy razboynik Vladimir Dubrovskiy,"6,8",1990
tt0096025,Sailors Don't Cry,"5,6",1990
tt0096174,Stela,"6,4",1990
tt0095902,Primo Baby,"6,7",1990
tt0096500,Zbabelec,"6,3",1990
tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,"6,2",1990
tt0097339,Father,"7,0",1990
tt0096817,Los ángeles,"5,7",1991
tt0097129,Crossing the Line,"5,0",1990
tt0097298,Eternity,"2,7",1990
tt0096752,Abrahams Gold,"7,9",1990
tt0097573,In the Cold of the Night,"4,6",1990
tt0096763,Adultery,"5,9",1990
tt0097697,Könnyü vér,"6,0",1990
tt0097802,"Mado, poste restante","6,8",1990
tt0098144,La punyalada,"6,8",1990
tt0097968,Nezný barbar,"7,3",1990
tt0098139,Pont de Varsòvia,"6,6",1990
tt0098004,Nochevala tuchka zolotaya...,"7,1",1990
tt0097833,Marcowe migdaly,"6,6",1990
tt0097106,Conte de printemps,"7,1",1991
tt0096875,Catchfire,"5,3",1990
tt0096296,Tragediya v stile rok,"6,7",1990
tt0097115,Courage Mountain,"5,7",1990
tt0096838,L'assassina,NO DATA,1990
tt0096879,Bal na dworcu w Koluszkach,"5,8",1990
tt0096984,Brodyachiy avtobus,"6,7",1990
tt0097475,A halálraítélt,"7,1",1990
tt0096883,Ballbuster,"4,8",1990
tt0098657,Winckelmanns Reisen,"7,0",1991
tt0097348,Fung yue tung lo,"6,2",1990
tt0096825,"Any Time, Any Play","3,4",1990
tt0097738,La leyenda de una máscara,"5,9",1991
tt0096857,L'Autrichienne,"6,0",1990
tt0097049,"Chastnyy detektiv, ili operatsiya 'Kooperatsiya'","5,3",1990
tt0097571,In Fading Light,"7,6",1992
tt0098462,That Englishwoman: An Account of the Life of Emily Hobhouse,"5,0",1990
tt0099034,L'amour,"5,9",1990
tt0099044,Another 48 Hrs.,"5,9",1990
tt0098278,Scandalo segreto,"5,5",1990
tt0097855,Maxantimo,NO DATA,1990
tt0099240,Janggunui adeul,"6,4",1990
tt0097769,The Local Stigmatic,"5,6",1990
tt0097615,Je t'ai dans la peau,"6,9",1990
tt0097851,Mathilukal,"8,2",1990
tt0097863,Men in Love,"3,7",1990
tt0097850,¡Maten a Chinto!,"6,9",1990
tt0097848,Mat,"7,5",1993
tt0097578,"Inimene, keda polnud","6,6",1990
tt0097462,Guerriers et captives,"6,2",1990
tt0097709,Landstrykere,"6,7",1990
tt0097912,Morir en el golfo,"6,9",1990
tt0098542,"Ti, koyto si na nebeto","8,2",1990
tt0098658,Wings of Fame,"6,9",1990
tt0098461,Thanedaar,"5,4",1990
tt0098050,Ovejas negras,"5,8",1990
tt0097505,High Finance Woman,"4,1",1990
tt0098629,Weiningers Nacht,"7,1",1992
tt0098405,Stuk v dver,"6,1",1990
tt0098199,The Revenger,"5,0",1990
tt0098534,Tumultes,"6,4",1990
tt0098486,Der Todesking,"6,4",1990
tt0098514,Trois années,"5,6",1990
tt0097875,Meteo,"6,7",1990
tt0098532,Tulitikkutehtaan tyttö,"7,5",1990
tt0099215,Campioana,"6,6",1990
tt0098606,La voce della luna,"6,3",1990
tt0097894,The Missing Reel,"6,5",1990
tt0098584,La vengeance d'une femme,"5,9",1990
tt0099076,Awaargi,"6,0",1990
tt0099359,Daowen,"7,5",1990
tt0099219,A Captive in the Land,"5,2",1990
tt0099831,The Imported Bridegroom,"6,8",1990
tt0100400,Pozegnanie jesieni,"6,4",1990
tt0099424,Dip huet fung wan,"5,6",1990
tt0099688,Gorzka milosc,"3,6",1990
tt0099426,Dip huet gai tau,"7,5",1990
tt0099672,Goda människor,"5,3",1990
tt0099053,Archangel,"6,3",1990
tt0100297,Edinstveniyat svidetel,"7,2",1990
tt0100223,"Napló apámnak, anyámnak","6,6",1990
tt0099234,Caídos del cielo,"7,1",1991
tt0099323,The Crossing,"5,4",1990
tt0099669,La gloire de mon père,"7,6",1990
tt0099040,An Angel at My Table,"7,4",1991
tt0100222,Naked Tango,"5,9",1991
tt0100225,Ta nase písnicka ceská II,"6,4",1990
tt0099446,Docteur Petiot,"6,8",1990
tt0100322,Palach,"6,2",1990
tt0099214,La campagne de Cicéron,"6,6",1990
tt0100220,De nacht van de wilde ezels,"5,3",1990
tt0099502,Fatal Mission,"4,3",1990
tt0099221,Cargo,NO DATA,1990
tt0099402,Den lyubvi,"5,2",1990
tt0099261,Chinatown Connection,"4,7",1990
tt0099612,Frankenstein Unbound,"5,4",1990
tt0100389,Porte aperte,"7,2",1990
tt0099210,Caluga o Menta,"5,9",1990
tt0100293,On the Block,"5,1",1989
tt0099406,La désenchantée,"6,2",1990
tt0099850,Internal Affairs,"6,5",1990
tt0099416,Dei tau lung,"5,0",1990
tt0099425,Die xue jiang hu,"6,0",1990
tt0100344,Pang dong,"5,6",1990
tt0099226,Las cartas de Alou,"6,5",1990
tt0099445,Dr. M,"4,9",1990
tt0100251,Night Eyes,"4,2",1990
tt0099678,Golden Braid,"6,2",1991
tt0100230,The Natural History of Parking Lots,"7,3",1990
tt0099436,La discrète,"7,0",1990
tt0100359,Ha-Derech L'Ein Harod,"5,3",1990
tt0100375,Plein fer,"5,4",1990
