0,1,2,3
tt10351180,Bad Boy,"7,4",8
tt10425998,The Place in Between,NO DATA,84
tt10545296,The Hunger Games: The Ballad of Songbirds and Snakes,NO DATA,67
tt10548482,Raw Power,NO DATA,5
tt10767052,Next Goal Wins,"6,5",47
tt10849046,Cloud by Night,NO DATA,NO DATA
tt10929648,Minamoto Monogatari,NO DATA,84
tt10965102,Mujeres Silenciosas,NO DATA,NO DATA
tt1099209,Silent Life: The Story of the Lady in Black,"7,7",NO DATA
tt11100698,The Silent Prayer,NO DATA,NO DATA
tt11143850,Amadeo,"6,0",2
tt11145118,Creed III,"6,8",88
tt11165686,Go Go,NO DATA,80
tt11196176,Dark Room,NO DATA,NO DATA
tt11197400,Ai Lun,NO DATA,NO DATA
tt11253182,Vincent,NO DATA,4
tt11306970,Black Nightmares,NO DATA,NO DATA
tt11379234,Yuna,NO DATA,NO DATA
tt11668514,Oliver Outloud,NO DATA,NO DATA
tt11760408,Cookster,NO DATA,NO DATA
tt11779282,Ladies Are Pimps Too,NO DATA,79
tt11950404,Sophie's Rules,"7,1",76
tt11972054,Bugsy the Becoming,NO DATA,NO DATA
tt11998558,Varisu,"6,0",68
tt1200263,The Color Purple,NO DATA,NO DATA
tt12087678,Karanliktaki Kadin,NO DATA,33
tt12109690,Piedade,NO DATA,NO DATA
tt12226632,Big George Foreman,"6,6",41
tt12261776,65,"5,4",34
tt12422694,Getting to the Plug,NO DATA,NO DATA
tt12518970,My,NO DATA,35
tt12543840,Central Valley,NO DATA,80
tt12573454,Sharper,"6,7",68
tt12601334,The Nothingness Club - Não Sou Nada,"6,2",NO DATA
tt12821606,The Internationalist,NO DATA,72
tt12915716,Adipurush,"3,4",7
tt12948086,Rhythm in Blues,NO DATA,84
tt13130948,Shehzada,"4,5",NO DATA
tt13131232,Mission Majnu,"7,1",25
tt13131610,Bholaa Shankar,"3,2",33
tt13137290,Demir Kadin Neslican,"7,0",7
tt13225414,Meeting Kate,NO DATA,72
tt13274016,Reptile,"6,8",44
tt13290130,Los buenos modales,"6,0",NO DATA
tt13301332,Broken Pearls,NO DATA,NO DATA
tt13316134,Oneida Flats,NO DATA,63
tt13457948,Sombras Brancas,"6,1",NO DATA
tt13683908,Tarifte Ask Var,NO DATA,NO DATA
tt13751694,Animal,NO DATA,NO DATA
tt13761284,Shaakuntalam,"4,4",20
tt13808564,The Assassin Unleashed,NO DATA,9
tt13831566,Johnny and the Golden Gifts,NO DATA,76
tt13893696,Aladdin: Live from the West End,NO DATA,84
tt13904644,Spider-Man: Lotus,"3,3",NO DATA
tt13929998,On a Wing and a Prayer,"5,5",16
tt14117392,Pulcinella,NO DATA,NO DATA
tt14160834,Rustin,"6,5",91
tt14181874,The Mothership,NO DATA,43
tt14223946,Bullets,"6,7",NO DATA
tt14232442,Bratri,"7,7",76
tt14277254,Neniu,NO DATA,NO DATA
tt14295590,Mrs. Chatterjee vs. Norway,"7,3",19
